L1_orth,L1_L1wiktionary,L1_enwiktionary,L1_ipa,L1_en,L1_disambiguated,L1_suffix,L1_pos,L1_year,L1_macro_family,L1_family,L1_language,L1_region,L1_type,L1_loan,L1_certainty,L1_closest_wold_concept,L1_borrowability,L1_closest_wold_concept_similarity,hmInf_strF_vhF_onlyF
április,https://hu.wiktionary.org/wiki/április#Magyar,https://en.wiktionary.org/wiki/április#Hungarian,aːpriliʃ,April,0,-,n,1416,IE,Romance,Latin,no_info,general,+,certain,(),0.0,-1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(pp)(r|rk|jr|ɣr|lm)(ɑ|ȣ|i|e|ͽ|o)(l|ð|lk|lɣ|wð|r|wl)(ɑ|ȣ|i|e|ͽ|o)(t͡ʃʲ|t͡ʃ|ʃʲk|ŋt͡ʃʲ|t͡ʃʲk)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
apró,https://hu.wiktionary.org/wiki/apró#Magyar,https://en.wiktionary.org/wiki/apró#Hungarian,ɒproː,"ducky, fine, midget, minuscule, minute, nice, puny, pygmy, tiny, toy",0,-,a,1281,Turkic,no_info,no_info,no_info,no_info,+,uncertain,"('fine', 'fine')",0.536231884,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(pp)(r|rk|jr|ɣr|lm)(ͽ|o|u|ɑ|e)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
apró,https://hu.wiktionary.org/wiki/apró#Magyar,https://en.wiktionary.org/wiki/apró#Hungarian,ɒproː,"ducky, fine, midget, minuscule, minute, nice, puny, pygmy, tiny, toy",0,-,a,1281,Turkic,no_info,no_info,no_info,no_info,+,uncertain,"('fine', 'fine')",0.536231884,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(pp)(r|rk|jr|ɣr|lm)(ͽ|o|u|ɑ|e)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
apró-cseprő,https://hu.wiktionary.org/wiki/apró-cseprő#Magyar,https://en.wiktionary.org/wiki/apró-cseprő#Hungarian,ɒproː-t͡ʃɛprøː,petty,0,-,n,1598,no_info,no_info,no_info,no_info,reduplication,-,certain,"('petty', 'slave')",0.378571429,0.5441489820000001,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(pp)(r|rk|jr|ɣr|lm)(o|u)(t͡ʃʲ|jt͡ʃʲ)(æ|e|ͽ|ȣ̈|i|ɑ|o)(pp)(r|rk|jr|ɣr|lm)(e|ͽ|i|æ|s)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
apród,https://hu.wiktionary.org/wiki/apród#Magyar,https://en.wiktionary.org/wiki/apród#Hungarian,ɒproːd,page,0,-,n,1416,no_info,no_info,no_info,no_info,derivative,-,certain,"('page', 'read')",0.433544304,0.77531147,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(pp)(r|rk|jr|ɣr|lm)(o|u)(nt|mt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ár,https://hu.wiktionary.org/wiki/ár#Magyar,https://en.wiktionary.org/wiki/ár#Hungarian,aːr,price,4,-,n,1372,FU,no_info,no_info,no_info,no_info,-,certain,"('price', 'price')",0.431330472,0.99999994,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rw|rk|ɣ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ár,https://hu.wiktionary.org/wiki/ár#Magyar,https://en.wiktionary.org/wiki/ár#Hungarian,aːr,awl,2,-,n,1395,FU,no_info,no_info,no_info,no_info,-,certain,"('awl', 'awl')",0.278688525,0.99999994,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rw|rk|ɣ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ár,https://hu.wiktionary.org/wiki/ár#Magyar,https://en.wiktionary.org/wiki/ár#Hungarian,aːr,"current, flood, flow, high_water, stream, torrent, water, waves, high_tide",1,-,n,1395,Ug,no_info,no_info,no_info,no_info,-,certain,"('water', 'water')",0.091106291,1.000000119,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rw|rk|ɣ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ara,https://hu.wiktionary.org/wiki/ara#Magyar,https://en.wiktionary.org/wiki/ara#Hungarian,ɒrɒ,price,0,-,r,1479,Ug,no_info,no_info,no_info,no_info,-,certain,"('price', 'price')",0.431330472,0.99999994,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
arab,https://hu.wiktionary.org/wiki/arab#Magyar,https://en.wiktionary.org/wiki/arab#Hungarian,ɒrɒb,"Arab, arabesque, wog",0,-,a,1571,IE,Romance,Latin,no_info,general,+,certain,"('wog', 'awl')",0.278688525,0.5958920120000001,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(ɑ|ͽ|u|o|ȣ|e|æ)(mp)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
arany,https://hu.wiktionary.org/wiki/arany#Magyar,https://en.wiktionary.org/wiki/arany#Hungarian,ɒrɒɲ,"gold, red_gold, royal_metal, yellow_metal",0,-,n,1075,Ug,no_info,no_info,no_info,no_info,-,certain,"('gold', 'gold')",0.574742268,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(ɑ|ͽ|u|o|ȣ|e|æ)(nʲ|n|k)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
arasz,https://hu.wiktionary.org/wiki/arasz#Magyar,https://en.wiktionary.org/wiki/arasz#Hungarian,ɒrɒs,span,0,-,n,1405,FU,no_info,no_info,no_info,no_info,-,certain,"('span', 'wide')",0.045,0.696202695,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(ɑ|ͽ|u|o|ȣ|e|æ)(ʃʲ|j|t͡ʃʲ|s|kʃʲ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
arat,https://hu.wiktionary.org/wiki/arat#Magyar,https://en.wiktionary.org/wiki/arat#Hungarian,ɒrɒt,"harvest, reap",0,-,v,1372,no_info,no_info,no_info,no_info,contempted origin,+,certain,"('harvest', 'harvest')",0.272491349,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(ɑ|ͽ|u|o|ȣ|e|æ)(tt|kt|tk|pt|j)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árboc,https://hu.wiktionary.org/wiki/árboc#Magyar,https://en.wiktionary.org/wiki/árboc#Hungarian,aːrbot͡s,"mast, pole, rig, spar",0,-,n,1470,no_info,no_info,no_info,no_info,no_info,-,certain,"('mast', 'mast')",0.33962264200000003,1.000000119,"b, t͡s# not old"
arc,https://hu.wiktionary.org/wiki/arc#Magyar,https://en.wiktionary.org/wiki/arc#Hungarian,ɒrt͡s,"brow, cheek, cheeks, cheer, face, front, jib, jowl, kisser, leer, mug, mush, visage",0,-,n,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('cheek', 'cheek')",0.071428571,1.0,t͡s# not old
aréna,https://hu.wiktionary.org/wiki/aréna#Magyar,https://en.wiktionary.org/wiki/aréna#Hungarian,ɒreːnɒ,"amphitheatre, arena, ring",0,-,n,1550,IE,Romance,Latin,no_info,general,+,certain,"('ring', 'ring')",0.224137931,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(e|æ|ͽ|ɑ|i|ȣ|o|ȣ̈)(n)(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árenda,https://hu.wiktionary.org/wiki/árenda#Magyar,https://en.wiktionary.org/wiki/árenda#Hungarian,aːrɛndɒ,Arendal,0,-,n,1562,IE,Romance,Latin,no_info,general,+,certain,(),0.0,-1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(æ|e|ͽ|ȣ̈|i|ɑ|o)(n)(nt|w|j)(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
argumentum,https://hu.wiktionary.org/wiki/argumentum#Magyar,https://en.wiktionary.org/wiki/argumentum#Hungarian,ɒrɡumɛntum,argument,0,-,n,1569,IE,Romance,Latin,no_info,general,+,certain,"('argument', 'answer')",0.21630094,0.788422108,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(ŋ|ŋk)(u|ͽ)(m|ðʲm|lm)(æ|e|ͽ|ȣ̈|i|ɑ|o)(n)(j|tt|kt)(u|ͽ)(m|jm|lm)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
arkangyal,https://hu.wiktionary.org/wiki/arkangyal#Magyar,https://en.wiktionary.org/wiki/arkangyal#Hungarian,ɒrkɒnɟɒl,archangel,0,-,r,1200,IE,Romance,Latin,no_info,general,+,certain,"('archangel', 'altar')",0.686440678,0.526230156,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(kk|wkk)(ɑ|ͽ|u|o|ȣ|e|æ)(n)(nʲt͡ʃʲ|j|ðʲ|lj|l|n|t͡ʃʲ)(ɑ|ͽ|u|o|ȣ|e|æ)(l|ð|lk|w|lw|m)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árnyék,https://hu.wiktionary.org/wiki/árnyék#Magyar,https://en.wiktionary.org/wiki/árnyék#Hungarian,aːrɲeːk,"adumbration, cast_shadow, cloud, shade, shadow, umbrage",0,-,n,1395,no_info,no_info,no_info,no_info,derivative,-,uncertain,"('cloud', 'cloud')",0.164705882,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(n|nʲ)(e|æ|ͽ|ɑ|i|ȣ|o|ȣ̈)(kk|wkk|k|tt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árnyékszék,https://hu.wiktionary.org/wiki/árnyékszék#Magyar,https://en.wiktionary.org/wiki/árnyékszék#Hungarian,aːrɲeːkseːk,"john, lavatory, little_house, necessary, necessary_house, outhouse, petty, privy, privy-midden, rear, shit-house",0,-,n,1508,no_info,no_info,no_info,no_info,no_info,-,certain,"('necessary', 'need')",0.289090909,0.883835375,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(n|nʲ)(e|æ|ͽ|ɑ|i|ȣ|o|ȣ̈)(kk|wkk)(s|ʃʲ|t͡ʃʲ)(e|æ|ͽ|ɑ|i|ȣ|o|ȣ̈)(kk|wkk|k|tt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árok,https://hu.wiktionary.org/wiki/árok#Magyar,https://en.wiktionary.org/wiki/árok#Hungarian,aːrok,"chase, cut, dike, ditch, duct, dyke, furrow, groove, pit, trench, water_gang",0,-,n,1055,Turkic,no_info,no_info,no_info,general,+,certain,"('cut', 'cut')",0.081158498,1.000000119,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(u|ͽ|ɑ|o|ȣ|i|e)(kk|wkk|k|tt)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
aroma,https://hu.wiktionary.org/wiki/aroma#Magyar,https://en.wiktionary.org/wiki/aroma#Hungarian,ɒromɒ,"aroma, flavor, flavour, gust, savor, savour",0,-,n,1416,IE,Romance,Latin,no_info,general,+,certain,"('flavor', 'taste')",0.23877551,0.916434824,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(u|ͽ|ɑ|o|ȣ|i|e)(m|ðʲm|lm)(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árpa,https://hu.wiktionary.org/wiki/árpa#Magyar,https://en.wiktionary.org/wiki/árpa#Hungarian,aːrpɒ,barley,0,-,n,1329,Turkic,no_info,no_info,no_info,general,+,certain,"('barley', 'barley')",0.548165138,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(pp)(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árt,https://hu.wiktionary.org/wiki/árt#Magyar,https://en.wiktionary.org/wiki/árt#Hungarian,aːrt,"meddle, interfere, dabble, involve, pry, nose",2,-,v,1512,no_info,no_info,no_info,no_info,doublet-formation,-,certain,"('nose', 'nose')",0.026785714,0.99999994,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(tt|kt|tk|pt|j)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árt,https://hu.wiktionary.org/wiki/árt#Magyar,https://en.wiktionary.org/wiki/árt#Hungarian,aːrt,"harm, hurt, injure",1,-,v,1300,no_info,no_info,no_info,no_info,contempted origin,+,certain,"('injure', 'injure')",0.186842105,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(tt|kt|tk|pt|j)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ártány,https://hu.wiktionary.org/wiki/ártány#Magyar,https://en.wiktionary.org/wiki/ártány#Hungarian,aːrtaːɲ,barrow,0,-,n,1247,Turkic,no_info,no_info,no_info,no_info,+,uncertain,"('barrow', 'beaver')",0.4375,0.606101334,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(j|tt|kt)(ɑ|ȣ|ͽ|o|u|e)(nʲ|n|k)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
articsóka,https://hu.wiktionary.org/wiki/articsóka#Magyar,https://en.wiktionary.org/wiki/articsóka#Hungarian,ɒrtit͡ʃoːkɒ,artichoke,0,-,n,1585,IE,Romance,Italian,mostly North-Italian,no_info,+,certain,"('artichoke', 'roast')",0.27919708,0.657370508,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(j|tt|kt)(ɑ|ȣ|i|e|ͽ|o)(t͡ʃʲ|jt͡ʃʲ)(o|u)(kk|wkk)(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
áru,https://hu.wiktionary.org/wiki/áru#Magyar,https://en.wiktionary.org/wiki/áru#Hungarian,aːru,"chaffer, goods, merchandise, ""sellers_over"", ware",0,-,n,1416,no_info,no_info,no_info,no_info,derivative,-,certain,"('goods', 'clothing')",0.19716981100000006,0.7453494070000001,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(ͽ)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árva,https://hu.wiktionary.org/wiki/árva#Magyar,https://en.wiktionary.org/wiki/árva#Hungarian,aːrvɒ,orphan,0,-,r,1372,FU,no_info,no_info,no_info,no_info,-,certain,"('orphan', 'orphan')",0.225941423,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(p|j|wk|w|k|ŋ)(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árva,https://hu.wiktionary.org/wiki/árva#Magyar,https://en.wiktionary.org/wiki/árva#Hungarian,aːrvɒ,orphan,0,-,r,1372,FU,no_info,no_info,no_info,no_info,-,certain,"('orphan', 'orphan')",0.225941423,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(p|j|wk|w|k|ŋ)(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
árvalányhaj,https://hu.wiktionary.org/wiki/árvalányhaj#Magyar,https://en.wiktionary.org/wiki/árvalányhaj#Hungarian,aːrvɒlaːɲhɒj,Stipa,0,-,n,1585,no_info,no_info,no_info,no_info,no_info,-,certain,(),0.0,-1.0,h not old
árvíz,https://hu.wiktionary.org/wiki/árvíz#Magyar,https://en.wiktionary.org/wiki/árvíz#Hungarian,aːrviːz,"flood, freshet, inundation",0,-,n,1395,no_info,no_info,no_info,no_info,no_info,-,certain,"('flood', 'storm')",0.23540146,0.7760505679999999,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(r|rk|jr|ɣr|lm)(p|j|wk|w|k|ŋ)(ɑ|o|e|i|ȣ̈|ɤ|ͽ)(t|t͡ʃʲ|p|k|ɣ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ás,https://hu.wiktionary.org/wiki/ás#Magyar,https://en.wiktionary.org/wiki/ás#Hungarian,aːʃ,"burrow, delve, dig, dug, grub, sink, sank, sunk, spade",0,-,v,1395,unknown,unknown,unknown,unknown,unknown,+,certain,"('dig', 'dig')",0.108346709,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(t͡ʃʲ|t͡ʃ|ʃʲk|ŋt͡ʃʲ|t͡ʃʲk)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ásít,https://hu.wiktionary.org/wiki/ásít#Magyar,https://en.wiktionary.org/wiki/ásít#Hungarian,aːʃiːt,"gape, yawn",0,-,v,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('yawn', 'yawn')",0.119047619,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(t͡ʃʲ|nʲt͡ʃʲ)(ɑ|o|e|i|ȣ̈|ɤ|ͽ)(tt|kt|tk|pt|j)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
aspirál,https://hu.wiktionary.org/wiki/aspirál#Magyar,https://en.wiktionary.org/wiki/aspirál#Hungarian,ɒʃpiraːl,aspirated,0,-,r,1563,IE,Romance,Latin,no_info,general,+,certain,"('aspirated', 'gourd')",0.263513514,0.454365373,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(t͡ʃʲ|nʲt͡ʃʲ)(pp)(ɑ|ȣ|i|e|ͽ|o)(r|rk|jr|ɣr|lm)(ɑ|ȣ|ͽ|o|u|e)(l|ð|lk|w|lw|m)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
áspiskígyó,https://hu.wiktionary.org/wiki/áspiskígyó#Magyar,https://en.wiktionary.org/wiki/áspiskígyó#Hungarian,aːʃpiʃkiːɟoː,asp,0,-,n,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('asp', 'centipede')",0.141025641,0.548299611,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(t͡ʃʲ|nʲt͡ʃʲ)(pp)(ɑ|ȣ|i|e|ͽ|o)(t͡ʃʲ|nʲt͡ʃʲ)(kk|wkk)(ɑ|o|e|i|ȣ̈|ɤ|ͽ)(nʲt͡ʃʲ|j|ðʲ|lj|l|n|t͡ʃʲ)(ͽ|o|u|ɑ|e)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
asszír,https://hu.wiktionary.org/wiki/asszír#Magyar,https://en.wiktionary.org/wiki/asszír#Hungarian,ɒsːiːr,Assyrian,0,-,a,1416,IE,Romance,Latin,no_info,general,+,certain,(),0.0,-1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(t͡ʃʲ|nʲt͡ʃʲ)(ɑ|o|e|i|ȣ̈|ɤ|ͽ)(r|rw|rk|ɣ)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
asszony,https://hu.wiktionary.org/wiki/asszony#Magyar,https://en.wiktionary.org/wiki/asszony#Hungarian,ɒsːoɲ,"girly, skirt, wife, wives, woman, women",0,-,n,1200,no_info,no_info,no_info,no_info,no_info,-,certain,"('skirt', 'skirt')",0.6097972970000001,1.0,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(t͡ʃʲ|nʲt͡ʃʲ)(u|ͽ|ɑ|o|ȣ|i|e)(nʲ|n|k)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
ásvány,https://hu.wiktionary.org/wiki/ásvány#Magyar,https://en.wiktionary.org/wiki/ásvány#Hungarian,aːʃvaːɲ,mineral,0,-,n,1226,no_info,no_info,no_info,no_info,derivative,-,certain,"('mineral', 'copper')",0.5864197529999999,0.717196107,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(t͡ʃʲ|nʲt͡ʃʲ)(p|j|wk|w|k|ŋ)(ɑ|ȣ|ͽ|o|u|e)(nʲ|n|k)?(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
aszfalt,https://hu.wiktionary.org/wiki/aszfalt#Magyar,https://en.wiktionary.org/wiki/aszfalt#Hungarian,ɒsfɒlt,"asphalt, bitumen, blacktop",0,-,n,1577,no_info,no_info,no_info,no_info,internationalism,+,certain,"('asphalt', 'wet')",0.0975,0.656849265,f not old
