L2_orth,L2_link,L2_latin,L2_ipa,L2_en,L2_pos,L2_in,hm1_strT_vhT_onlyF,hm20_strT_vhT_onlyF
𐌰𐌹𐍅𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐍃#Gothic,aiws,ɛws,", lifetime, eternity",n,ɛws,ͽwsͽ,"ͽwsͽ, ͽwse, ͽwsɑ, ͽwsæ, ȣ̈wsͽ, ȣ̈wse, ȣ̈wsɑ, ȣ̈wsæ, ewsͽ, ewse, ewsɑ, ewsæ, æwsͽ, æwse, æwsɑ, æwsæ, ɤwsͽ, ɤwse, ɤwsɑ, ɤwsæ"
𐌰𐌹𐍅𐍇𐌰𐍂𐌹𐍃𐍄𐌹𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐍇𐌰𐍂𐌹𐍃𐍄𐌹𐌰#Gothic,aiwxaristia,ɛwxarɪstɪa,"thanksgiving, , Eucharist",n,ɛwxarɪstɪa,ͽwkͽrͽsͽ,"ͽwkͽrͽsͽ, ͽwkͽrȣ̈sͽ, ͽwkȣ̈rͽsȣ̈, ͽwkȣ̈rȣ̈sȣ̈, ͽwsͽrͽsͽ, ͽwsͽrȣ̈sͽ, ͽwsȣ̈rͽsȣ̈, ͽwsȣ̈rȣ̈sȣ̈, ȣ̈wkͽrͽsͽ, ȣ̈wkͽrȣ̈sͽ, ȣ̈wkȣ̈rͽsȣ̈, ȣ̈wkȣ̈rȣ̈sȣ̈, ȣ̈wsͽrͽsͽ, ȣ̈wsͽrȣ̈sͽ, ȣ̈wsȣ̈rͽsȣ̈, ȣ̈wsȣ̈rȣ̈sȣ̈, ewkͽrͽsͽ, ewkͽrȣ̈sͽ, ewkȣ̈rͽsȣ̈, ewkȣ̈rȣ̈sȣ̈, ewsͽrͽsͽ, ewsͽrȣ̈sͽ, ewsȣ̈rͽsȣ̈, ewsȣ̈rȣ̈sȣ̈"
𐌰𐌹𐍈𐌰𐍄𐌿𐌽𐌳𐌹,https://en.wiktionary.org/wiki/𐌰𐌹𐍈𐌰𐍄𐌿𐌽𐌳𐌹#Gothic,aiƕatundi,ɛhʷatundɪ,bramble,n,ɛhʷatundɪ,ɣͽtͽnðͽ,"ɣͽtͽnðͽ, ɣͽtͽnðȣ̈, ɣͽtͽntͽ, ɣͽtͽntȣ̈, ɣͽtenðͽ, ɣͽtenðȣ̈, ɣͽtentͽ, ɣͽtentȣ̈, ɣȣ̈tͽnðͽ, ɣȣ̈tͽnðȣ̈, ɣȣ̈tͽntͽ, ɣȣ̈tͽntȣ̈, ɣȣ̈tenðͽ, ɣȣ̈tenðȣ̈, ɣȣ̈tentͽ, ɣȣ̈tentȣ̈, kͽtͽnðͽ, kͽtͽnðȣ̈, kͽtͽntͽ, kͽtͽntȣ̈, kͽtenðͽ, kͽtenðȣ̈, kͽtentͽ, kͽtentȣ̈, kȣ̈tͽnðͽ, kȣ̈tͽnðȣ̈, kȣ̈tͽntͽ, kȣ̈tͽntȣ̈, kȣ̈tenðͽ, kȣ̈tenðȣ̈, kȣ̈tentͽ, kȣ̈tentȣ̈"
𐌰𐌹𐍈𐍃,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌰𐌹𐍈𐍃#Gothic,aiƕs,ɛhʷs,,r,ɛhʷs,ͽɣsͽ,"ͽɣsͽ, ͽɣse, ͽɣsɑ, ͽksͽ, ͽkse, ͽksɑ, ͽjsͽ, ͽjse, ͽjsɑ, ȣ̈ɣsͽ, ȣ̈ɣse, ȣ̈ɣsɑ, ȣ̈ksͽ, ȣ̈kse, ȣ̈ksɑ, ȣ̈jsͽ, ȣ̈jse, ȣ̈jsɑ, eɣsͽ, eɣse, eɣsɑ, eksͽ, ekse, eksɑ, ejsͽ, ejse, ejsɑ"
𐌰𐌺,https://en.wiktionary.org/wiki/𐌰𐌺#Gothic,ak,ak,"but, however",r,ak,ͽkͽ,"ͽkͽ, ͽke, ͽkɑ, ͽkæ, ͽku, ȣ̈kͽ, ȣ̈ke, ȣ̈kɑ, ȣ̈kæ, ȣ̈ku, ɑkͽ, ɑke, ɑkɑ, ɑkæ, ɑku, ækͽ, æke, ækɑ, ækæ, æku"
𐌰𐌺𐌴,https://en.wiktionary.org/wiki/𐌰𐌺𐌴#Gothic,akē,ake,Alternative_spelling_of_𐌰𐌺𐌴𐌹,r,ake,ͽkͽ,"ͽkͽ, ͽkȣ̈, ͽke, ȣ̈kͽ, ȣ̈kȣ̈, ȣ̈ke, ɑkͽ, ɑkȣ̈, ɑke, ækͽ, ækȣ̈, æke"
𐌰𐌺𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌺𐌴𐌹#Gothic,akēi,akeɪ,but,r,akeɪ,ͽkͽwͽ,"ͽkͽwͽ, ͽkͽwȣ̈, ͽkͽjͽ, ͽkͽjȣ̈, ͽkȣ̈wͽ, ͽkȣ̈wȣ̈, ͽkȣ̈jͽ, ͽkȣ̈jȣ̈, ȣ̈kͽwͽ, ȣ̈kͽwȣ̈, ȣ̈kͽjͽ, ȣ̈kͽjȣ̈, ȣ̈kȣ̈wͽ, ȣ̈kȣ̈wȣ̈, ȣ̈kȣ̈jͽ, ȣ̈kȣ̈jȣ̈, ɑkͽwͽ, ɑkͽwȣ̈, ɑkͽjͽ, ɑkͽjȣ̈, ɑkȣ̈wͽ, ɑkȣ̈wȣ̈, ɑkȣ̈jͽ, ɑkȣ̈jȣ̈"
𐌰𐌺𐌴𐌹𐍄,https://en.wiktionary.org/wiki/𐌰𐌺𐌴𐌹𐍄#Gothic,akēit,akeɪt,vinegar,n,akeɪt,ͽkwͽwͽtͽ,"ͽkwͽwͽtͽ, ͽkwͽwͽte, ͽkwͽwȣ̈tͽ, ͽkwͽwȣ̈te, ͽkwȣ̈wͽtͽ, ͽkwȣ̈wͽte, ͽkwȣ̈wȣ̈tͽ, ͽkwȣ̈wȣ̈te, ͽkjͽjͽtͽ, ͽkjͽjͽte, ͽkjͽjȣ̈tͽ, ͽkjͽjȣ̈te, ͽkjȣ̈jͽtͽ, ͽkjȣ̈jͽte, ͽkjȣ̈jȣ̈tͽ, ͽkjȣ̈jȣ̈te, ȣ̈kwͽwͽtͽ, ȣ̈kwͽwͽte, ȣ̈kwͽwȣ̈tͽ, ȣ̈kwͽwȣ̈te, ȣ̈kwȣ̈wͽtͽ, ȣ̈kwȣ̈wͽte, ȣ̈kwȣ̈wȣ̈tͽ, ȣ̈kwȣ̈wȣ̈te, ȣ̈kjͽjͽtͽ, ȣ̈kjͽjͽte, ȣ̈kjͽjȣ̈tͽ, ȣ̈kjͽjȣ̈te, ȣ̈kjȣ̈jͽtͽ, ȣ̈kjȣ̈jͽte, ȣ̈kjȣ̈jȣ̈tͽ, ȣ̈kjȣ̈jȣ̈te"
𐌰𐌺𐌴𐍄,https://en.wiktionary.org/wiki/𐌰𐌺𐌴𐍄#Gothic,akēt,aket,Alternative_spelling_of_𐌰𐌺𐌴𐌹𐍄,n,aket,ͽkͽtͽ,"ͽkͽtͽ, ͽkͽte, ͽkͽtɑ, ͽkȣ̈tͽ, ͽkȣ̈te, ͽkȣ̈tɑ, ͽketͽ, ͽkete, ͽketɑ, ȣ̈kͽtͽ, ȣ̈kͽte, ȣ̈kͽtɑ, ȣ̈kȣ̈tͽ, ȣ̈kȣ̈te, ȣ̈kȣ̈tɑ, ȣ̈ketͽ, ȣ̈kete, ȣ̈ketɑ, ɑkͽtͽ, ɑkͽte, ɑkͽtɑ, ɑkȣ̈tͽ, ɑkȣ̈te, ɑkȣ̈tɑ, ɑketͽ, ɑkete, ɑketɑ"
𐌰𐌺𐍂𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌺𐍂𐌰𐌽#Gothic,akran,akran,fruit,n,akran,ͽkrͽnͽ,"ͽkrͽnͽ, ͽkrͽne, ͽkrͽnɑ, ͽkrͽnæ, ͽkrͽnu, ȣ̈krȣ̈nͽ, ȣ̈krȣ̈ne, ȣ̈krȣ̈nɑ, ȣ̈krȣ̈næ, ȣ̈krȣ̈nu, ɑkrɑnͽ, ɑkrɑne, ɑkrɑnɑ, ɑkrɑnæ, ɑkrɑnu, ækrænͽ, ækræne, ækrænɑ, ækrænæ, ækrænu"
𐌰𐌺𐍂𐌰𐌽𐌰𐌻𐌰𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌺𐍂𐌰𐌽𐌰𐌻𐌰𐌿𐍃#Gothic,akranalaus,akranalɔs,"profitless, unfruitful",a,akranalɔs,ͽkrͽnͽlͽ,"ͽkrͽnͽlͽ, ͽkrͽnͽle, ͽkrͽnͽlæ, ͽkrͽnͽli, ͽkrͽnͽlȣ̈, ȣ̈krȣ̈nȣ̈lͽ, ȣ̈krȣ̈nȣ̈le, ȣ̈krȣ̈nȣ̈læ, ȣ̈krȣ̈nȣ̈li, ȣ̈krȣ̈nȣ̈lȣ̈, ɑkrɑnɑlͽ, ɑkrɑnɑle, ɑkrɑnɑlæ, ɑkrɑnɑli, ɑkrɑnɑlȣ̈, ækrænælͽ, ækrænæle, ækrænælæ, ækrænæli, ækrænælȣ̈"
𐌰𐌺𐍂𐍃,https://en.wiktionary.org/wiki/𐌰𐌺𐍂𐍃#Gothic,akrs,akr̥s,field,n,akr̥s,ͽkrsͽ,"ͽkrsͽ, ͽkrse, ͽkrsɑ, ͽkrsæ, ͽkrsu, ȣ̈krsͽ, ȣ̈krse, ȣ̈krsɑ, ȣ̈krsæ, ȣ̈krsu, ɑkrsͽ, ɑkrse, ɑkrsɑ, ɑkrsæ, ɑkrsu, ækrsͽ, ækrse, ækrsɑ, ækrsæ, ækrsu"
𐌰𐌻𐌰𐌱𐌰𐌻𐍃𐍄𐍂𐌰𐌿𐌽,https://en.wiktionary.org/wiki/𐌰𐌻𐌰𐌱𐌰𐌻𐍃𐍄𐍂𐌰𐌿𐌽#Gothic,alabalstraun,alaβalstrɔn,"A_type_of_alabastron, that_is, , small_container, perhaps_, flask, phial_or_box, especially_one_containing_ointments",n,alaβalstrɔn,lͽwͽtrͽ,"lͽwͽtrͽ, lͽwͽtre, lͽwͽtræ, lͽwͽtri, lͽwͽtrȣ̈, lȣ̈wȣ̈trͽ, lȣ̈wȣ̈tre, lȣ̈wȣ̈træ, lȣ̈wȣ̈tri, lȣ̈wȣ̈trȣ̈, lɑwɑtrͽ, lɑwɑtre, lɑwɑtræ, lɑwɑtri, lɑwɑtrȣ̈, læwætrͽ, læwætre, læwætræ, læwætri, læwætrȣ̈"
𐌰𐌻𐌰𐌱𐍂𐌿𐌽𐍃𐍄𐍃,https://en.wiktionary.org/wiki/𐌰𐌻𐌰𐌱𐍂𐌿𐌽𐍃𐍄𐍃#Gothic,alabrunsts,alaβrunsts,burnt_offering,n,alaβrunsts,lͽwrͽstͽ,"lͽwrͽstͽ, lͽwrͽste, lͽwrͽstɑ, lͽwrȣstͽ, lͽwrȣste, lͽwrȣstɑ, lͽwrustͽ, lͽwruste, lͽwrustɑ, lɑwrͽstͽ, lɑwrͽste, lɑwrͽstɑ, lɑwrȣstͽ, lɑwrȣste, lɑwrȣstɑ, lɑwrustͽ, lɑwruste, lɑwrustɑ, luwrͽstͽ, luwrͽste, luwrͽstɑ, luwrȣstͽ, luwrȣste, luwrȣstɑ, luwrustͽ, luwruste, luwrustɑ"
𐌰𐌻𐌰𐌸𐌰𐍂𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌻𐌰𐌸𐌰𐍂𐌱𐌰#Gothic,alaþarba,alaθarba,"in_want, needy",a,alaθarba,lͽt͡ʃͽrpͽ,"lͽt͡ʃͽrpͽ, lͽt͡ʃͽrwͽ, lͽsͽrpͽ, lͽsͽrwͽ, lͽtͽrpͽ, lͽtͽrwͽ, lȣ̈t͡ʃȣ̈rpȣ̈, lȣ̈t͡ʃȣ̈rwȣ̈, lȣ̈sȣ̈rpȣ̈, lȣ̈sȣ̈rwȣ̈, lȣ̈tȣ̈rpȣ̈, lȣ̈tȣ̈rwȣ̈, lɑt͡ʃɑrpɑ, lɑt͡ʃɑrwɑ, lɑsɑrpɑ, lɑsɑrwɑ, lɑtɑrpɑ, lɑtɑrwɑ, læt͡ʃærpæ, læt͡ʃærwæ, læsærpæ, læsærwæ, lætærpæ, lætærwæ"
𐌰𐌻𐌰𐌹𐌺𐍃𐌰𐌽𐌳𐍂𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌻𐌰𐌹𐌺𐍃𐌰𐌽𐌳𐍂𐌿𐍃#Gothic,alaiksandrus,alɛksandrus,Alexander,n,alɛksandrus,lͽksͽðrͽ,"lͽksͽðrͽ, lͽksͽðre, lͽksͽtrͽ, lͽksͽtre, lͽksȣ̈ðrͽ, lͽksȣ̈ðre, lͽksȣ̈trͽ, lͽksȣ̈tre, lȣ̈ksͽðrͽ, lȣ̈ksͽðre, lȣ̈ksͽtrͽ, lȣ̈ksͽtre, lȣ̈ksȣ̈ðrͽ, lȣ̈ksȣ̈ðre, lȣ̈ksȣ̈trͽ, lȣ̈ksȣ̈tre, leksͽðrͽ, leksͽðre, leksͽtrͽ, leksͽtre, leksȣ̈ðrͽ, leksȣ̈ðre, leksȣ̈trͽ, leksȣ̈tre"
𐌰𐌻𐌰𐌺𐌾𐍉,https://en.wiktionary.org/wiki/𐌰𐌻𐌰𐌺𐌾𐍉#Gothic,alakjō,alakjo,"all_together, in_unison",r,alakjo,wͽlͽkjͽ,"wͽlͽkjͽ, wͽlͽkje, wͽlͽkjæ, wȣ̈lȣ̈kjͽ, wȣ̈lȣ̈kje, wȣ̈lȣ̈kjæ, wɑlɑkjͽ, wɑlɑkje, wɑlɑkjæ, jͽlͽkjͽ, jͽlͽkje, jͽlͽkjæ, jȣ̈lȣ̈kjͽ, jȣ̈lȣ̈kje, jȣ̈lȣ̈kjæ, jɑlɑkjͽ, jɑlɑkje, jɑlɑkjæ, kͽlͽkjͽ, kͽlͽkje, kͽlͽkjæ, kȣ̈lȣ̈kjͽ, kȣ̈lȣ̈kje, kȣ̈lȣ̈kjæ, kɑlɑkjͽ, kɑlɑkje, kɑlɑkjæ"
𐌰𐌻𐌰𐌼𐌰𐌽𐍃,https://en.wiktionary.org/wiki/𐌰𐌻𐌰𐌼𐌰𐌽𐍃#Gothic,alamans,alamans,all_of_humanity,n,alamans,lͽmͽns,"lͽmͽns, lȣ̈mȣ̈ns, lɑmɑns, læmæns"
𐌰𐌻𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌻𐌰𐌽#Gothic,alan,alan,"grow, be_nourished",v,al,ͽlͽnͽ,"ͽlͽnͽ, ͽlͽne, ͽlͽnɑ, ͽlͽnæ, ͽlͽnu, ȣ̈lȣ̈nͽ, ȣ̈lȣ̈ne, ȣ̈lȣ̈nɑ, ȣ̈lȣ̈næ, ȣ̈lȣ̈nu, ɑlɑnͽ, ɑlɑne, ɑlɑnɑ, ɑlɑnæ, ɑlɑnu, ælænͽ, ælæne, ælænɑ, ælænæ, ælænu"
𐌰𐌻𐌰𐍂𐌴𐌹𐌺𐍃,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌰𐌻𐌰𐍂𐌴𐌹𐌺𐍃#Gothic,alarēiks,alareɪks,,r,alareɪks,lͽrͽks,"lͽrͽks, lͽrȣ̈ks, lͽriks, lͽreks, lͽrjks, lȣ̈rͽks, lȣ̈rȣ̈ks, lȣ̈riks, lȣ̈reks, lȣ̈rjks, lɑrͽks, lɑrȣ̈ks, lɑriks, lɑreks, lɑrjks, lærͽks, lærȣ̈ks, læriks, læreks, lærjks"
𐌰𐌻𐌳𐍃,https://en.wiktionary.org/wiki/𐌰𐌻𐌳𐍃#Gothic,alds,alds,"generation, age",n,alds,ͽlðsͽ,"ͽlðsͽ, ͽlðse, ͽlðsɑ, ͽltsͽ, ͽltse, ͽltsɑ, ȣ̈lðsͽ, ȣ̈lðse, ȣ̈lðsɑ, ȣ̈ltsͽ, ȣ̈ltse, ȣ̈ltsɑ, ɑlðsͽ, ɑlðse, ɑlðsɑ, ɑltsͽ, ɑltse, ɑltsɑ, ælðsͽ, ælðse, ælðsɑ, æltsͽ, æltse, æltsɑ"
𐌰𐌻𐌳𐍉𐌼𐌹𐌽,https://en.wiktionary.org/wiki/𐌰𐌻𐌳𐍉𐌼𐌹𐌽#Gothic,aldōmin,aldomɪn,old_age,n,aldomɪn,ͽlðͽmͽnͽ,"ͽlðͽmͽnͽ, ͽlðͽmȣ̈nͽ, ͽlðemͽne, ͽlðemȣ̈ne, ͽltͽmͽnͽ, ͽltͽmȣ̈nͽ, ͽltemͽne, ͽltemȣ̈ne, ȣ̈lðͽmͽnͽ, ȣ̈lðͽmȣ̈nͽ, ȣ̈lðemͽne, ȣ̈lðemȣ̈ne, ȣ̈ltͽmͽnͽ, ȣ̈ltͽmȣ̈nͽ, ȣ̈ltemͽne, ȣ̈ltemȣ̈ne, ɑlðͽmͽnͽ, ɑlðͽmȣ̈nͽ, ɑlðemͽne, ɑlðemȣ̈ne, ɑltͽmͽnͽ, ɑltͽmȣ̈nͽ, ɑltemͽne, ɑltemȣ̈ne"
𐌰𐌻𐌴𐌹𐌽𐌰,https://en.wiktionary.org/wiki/𐌰𐌻𐌴𐌹𐌽𐌰#Gothic,alēina,aleɪna,"ell, cubit",n,aleɪna,ͽlwͽwͽnͽ,"ͽlwͽwͽnͽ, ͽlwͽwȣ̈nͽ, ͽlwȣ̈wͽnͽ, ͽlwȣ̈wȣ̈nͽ, ͽljͽjͽnͽ, ͽljͽjȣ̈nͽ, ͽljȣ̈jͽnͽ, ͽljȣ̈jȣ̈nͽ, ȣ̈lwͽwͽnȣ̈, ȣ̈lwͽwȣ̈nȣ̈, ȣ̈lwȣ̈wͽnȣ̈, ȣ̈lwȣ̈wȣ̈nȣ̈, ȣ̈ljͽjͽnȣ̈, ȣ̈ljͽjȣ̈nȣ̈, ȣ̈ljȣ̈jͽnȣ̈, ȣ̈ljȣ̈jȣ̈nȣ̈, ɑlwͽwͽnɑ, ɑlwͽwȣ̈nɑ, ɑlwȣ̈wͽnɑ, ɑlwȣ̈wȣ̈nɑ, ɑljͽjͽnɑ, ɑljͽjȣ̈nɑ, ɑljȣ̈jͽnɑ, ɑljȣ̈jȣ̈nɑ"
𐌰𐌻𐌴𐍅,https://en.wiktionary.org/wiki/𐌰𐌻𐌴𐍅#Gothic,alēw,alew,oil,n,alew,ͽlͽwͽ,"ͽlͽwͽ, ͽlͽwe, ͽlͽwɑ, ͽlȣ̈wͽ, ͽlȣ̈we, ͽlȣ̈wɑ, ͽlewͽ, ͽlewe, ͽlewɑ, ȣ̈lͽwͽ, ȣ̈lͽwe, ȣ̈lͽwɑ, ȣ̈lȣ̈wͽ, ȣ̈lȣ̈we, ȣ̈lȣ̈wɑ, ȣ̈lewͽ, ȣ̈lewe, ȣ̈lewɑ, ɑlͽwͽ, ɑlͽwe, ɑlͽwɑ, ɑlȣ̈wͽ, ɑlȣ̈we, ɑlȣ̈wɑ, ɑlewͽ, ɑlewe, ɑlewɑ"
𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼𐍃,https://en.wiktionary.org/wiki/𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼𐍃#Gothic,alēwabagms,alewaβaɣm̥s,olive_tree,n,alewaβaɣm̥s,lͽwwͽɣmͽ,"lͽwwͽɣmͽ, lͽwwͽɣme, lͽwwͽɣmɑ, lͽwwȣ̈ɣmͽ, lͽwwȣ̈ɣme, lͽwwȣ̈ɣmɑ, lͽwwɑɣmͽ, lͽwwɑɣme, lͽwwɑɣmɑ, lȣ̈wwͽɣmͽ, lȣ̈wwͽɣme, lȣ̈wwͽɣmɑ, lȣ̈wwȣ̈ɣmͽ, lȣ̈wwȣ̈ɣme, lȣ̈wwȣ̈ɣmɑ, lȣ̈wwɑɣmͽ, lȣ̈wwɑɣme, lȣ̈wwɑɣmɑ, lewwͽɣmͽ, lewwͽɣme, lewwͽɣmɑ, lewwȣ̈ɣmͽ, lewwȣ̈ɣme, lewwȣ̈ɣmɑ, lewwɑɣmͽ, lewwɑɣme, lewwɑɣmɑ"
𐌰𐌻𐌴𐍅𐌾𐌰,https://en.wiktionary.org/wiki/𐌰𐌻𐌴𐍅𐌾𐌰#Gothic,alēwja,alewja,"of_olives, pertaining_olives",a,alewja,wͽlͽwjͽ,"wͽlͽwjͽ, wͽlȣ̈wjͽ, wͽlewjͽ, wȣ̈lͽwjȣ̈, wȣ̈lȣ̈wjȣ̈, wȣ̈lewjȣ̈, wɑlͽwjɑ, wɑlȣ̈wjɑ, wɑlewjɑ, jͽlͽwjͽ, jͽlȣ̈wjͽ, jͽlewjͽ, jȣ̈lͽwjȣ̈, jȣ̈lȣ̈wjȣ̈, jȣ̈lewjȣ̈, jɑlͽwjɑ, jɑlȣ̈wjɑ, jɑlewjɑ, kͽlͽwjͽ, kͽlȣ̈wjͽ, kͽlewjͽ, kȣ̈lͽwjȣ̈, kȣ̈lȣ̈wjȣ̈, kȣ̈lewjȣ̈, kɑlͽwjɑ, kɑlȣ̈wjɑ, kɑlewjɑ"
𐌰𐌻𐌷𐍃,https://en.wiktionary.org/wiki/𐌰𐌻𐌷𐍃#Gothic,alhs,alhs,temple,n,alhs,ͽlɣsͽ,"ͽlɣsͽ, ͽlɣse, ͽlɣsɑ, ͽlksͽ, ͽlkse, ͽlksɑ, ͽljsͽ, ͽljse, ͽljsɑ, ȣ̈lɣsͽ, ȣ̈lɣse, ȣ̈lɣsɑ, ȣ̈lksͽ, ȣ̈lkse, ȣ̈lksɑ, ȣ̈ljsͽ, ȣ̈ljse, ȣ̈ljsɑ, ɑlɣsͽ, ɑlɣse, ɑlɣsɑ, ɑlksͽ, ɑlkse, ɑlksɑ, ɑljsͽ, ɑljse, ɑljsɑ"
𐌰𐌻𐌸𐌴𐌹𐍃,https://en.wiktionary.org/wiki/𐌰𐌻𐌸𐌴𐌹𐍃#Gothic,alþēis,alθeɪs,old,a,alθeɪs,ͽlt͡ʃͽwͽsͽ,"ͽlt͡ʃͽwͽsͽ, ͽlt͡ʃͽwȣ̈sͽ, ͽlt͡ʃͽjͽsͽ, ͽlt͡ʃͽjȣ̈sͽ, ͽlt͡ʃȣ̈wͽsͽ, ͽlt͡ʃȣ̈wȣ̈sͽ, ͽlt͡ʃȣ̈jͽsͽ, ͽlt͡ʃȣ̈jȣ̈sͽ, ͽlsͽwͽsͽ, ͽlsͽwȣ̈sͽ, ͽlsͽjͽsͽ, ͽlsͽjȣ̈sͽ, ͽlsȣ̈wͽsͽ, ͽlsȣ̈wȣ̈sͽ, ͽlsȣ̈jͽsͽ, ͽlsȣ̈jȣ̈sͽ, ȣ̈lt͡ʃͽwͽsͽ, ȣ̈lt͡ʃͽwȣ̈sͽ, ȣ̈lt͡ʃͽjͽsͽ, ȣ̈lt͡ʃͽjȣ̈sͽ, ȣ̈lt͡ʃȣ̈wͽsͽ, ȣ̈lt͡ʃȣ̈wȣ̈sͽ, ȣ̈lt͡ʃȣ̈jͽsͽ, ȣ̈lt͡ʃȣ̈jȣ̈sͽ, ȣ̈lsͽwͽsͽ, ȣ̈lsͽwȣ̈sͽ, ȣ̈lsͽjͽsͽ, ȣ̈lsͽjȣ̈sͽ, ȣ̈lsȣ̈wͽsͽ, ȣ̈lsȣ̈wȣ̈sͽ, ȣ̈lsȣ̈jͽsͽ, ȣ̈lsȣ̈jȣ̈sͽ"
𐌰𐌻𐌻𐌰𐌸𐍂𐍉,https://en.wiktionary.org/wiki/𐌰𐌻𐌻𐌰𐌸𐍂𐍉#Gothic,allaþrō,allaθro,from_every_direction,r,allaθro,wͽllͽt͡ʃrͽ,"wͽllͽt͡ʃrͽ, wͽllͽt͡ʃre, wͽllͽsrͽ, wͽllͽsre, wȣ̈llȣ̈t͡ʃrͽ, wȣ̈llȣ̈t͡ʃre, wȣ̈llȣ̈srͽ, wȣ̈llȣ̈sre, jͽllͽt͡ʃrͽ, jͽllͽt͡ʃre, jͽllͽsrͽ, jͽllͽsre, jȣ̈llȣ̈t͡ʃrͽ, jȣ̈llȣ̈t͡ʃre, jȣ̈llȣ̈srͽ, jȣ̈llȣ̈sre, kͽllͽt͡ʃrͽ, kͽllͽt͡ʃre, kͽllͽsrͽ, kͽllͽsre, kȣ̈llȣ̈t͡ʃrͽ, kȣ̈llȣ̈t͡ʃre, kȣ̈llȣ̈srͽ, kȣ̈llȣ̈sre"
𐌰𐌻𐌻𐌰𐌽𐌳𐌾𐍉,https://en.wiktionary.org/wiki/𐌰𐌻𐌻𐌰𐌽𐌳𐌾𐍉#Gothic,allandjō,allandjo,"completely, wholly, totally, fully, entirely",r,allandjo,wͽllͽðjͽ,"wͽllͽðjͽ, wͽllͽðje, wͽllͽtjͽ, wͽllͽtje, wȣ̈llȣ̈ðjͽ, wȣ̈llȣ̈ðje, wȣ̈llȣ̈tjͽ, wȣ̈llȣ̈tje, jͽllͽðjͽ, jͽllͽðje, jͽllͽtjͽ, jͽllͽtje, jȣ̈llȣ̈ðjͽ, jȣ̈llȣ̈ðje, jȣ̈llȣ̈tjͽ, jȣ̈llȣ̈tje, kͽllͽðjͽ, kͽllͽðje, kͽllͽtjͽ, kͽllͽtje, kȣ̈llȣ̈ðjͽ, kȣ̈llȣ̈ðje, kȣ̈llȣ̈tjͽ, kȣ̈llȣ̈tje"
𐌰𐌻𐌻𐌰𐍅𐌰𐌿𐍂𐍃𐍄𐍅𐌰,https://en.wiktionary.org/wiki/𐌰𐌻𐌻𐌰𐍅𐌰𐌿𐍂𐍃𐍄𐍅𐌰#Gothic,allawaurstwa,allawɔrstwa,"perfect, all_accomplishing",a,allawɔrstwa,ͽllͽwͽrͽ,"ͽllͽwͽrͽ, ͽllͽwerͽ, ͽllͽwærͽ, ͽllͽwirͽ, ͽllͽwȣ̈rͽ, ȣ̈llȣ̈wͽrȣ̈, ȣ̈llȣ̈werȣ̈, ȣ̈llȣ̈wærȣ̈, ȣ̈llȣ̈wirȣ̈, ȣ̈llȣ̈wȣ̈rȣ̈, ɑllɑwͽrɑ, ɑllɑwerɑ, ɑllɑwærɑ, ɑllɑwirɑ, ɑllɑwȣ̈rɑ, ællæwͽræ, ællæweræ, ællæwæræ, ællæwiræ, ællæwȣ̈ræ"
𐌰𐌻𐌻𐌰𐍅𐌴𐍂𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌻𐌻𐌰𐍅𐌴𐍂𐌴𐌹#Gothic,allawērēi,allawereɪ,"sincerity, agreeability, simplicity",n,allawereɪ,ͽllͽwͽrͽ,"ͽllͽwͽrͽ, ͽllͽwȣ̈rȣ̈, ͽllͽwere, ȣ̈llȣ̈wͽrͽ, ȣ̈llȣ̈wȣ̈rȣ̈, ȣ̈llȣ̈were, ɑllɑwͽrͽ, ɑllɑwȣ̈rȣ̈, ɑllɑwere, ællæwͽrͽ, ællæwȣ̈rȣ̈, ællæwere"
𐌰𐌻𐌻𐌿𐌷,https://en.wiktionary.org/wiki/𐌰𐌻𐌻𐌿𐌷#Gothic,alluh,alluh,"Compound_of_𐌰𐌻𐌻+_, clitic__𐌿𐌷.",r,alluh,ͽllͽɣͽ,"ͽllͽɣͽ, ͽllͽɣe, ͽllͽkͽ, ͽllͽke, ͽllȣɣͽ, ͽllȣɣe, ͽllȣkͽ, ͽllȣke, ɑllͽɣͽ, ɑllͽɣe, ɑllͽkͽ, ɑllͽke, ɑllȣɣͽ, ɑllȣɣe, ɑllȣkͽ, ɑllȣke, ullͽɣͽ, ullͽɣe, ullͽkͽ, ullͽke, ullȣɣͽ, ullȣɣe, ullȣkͽ, ullȣke"
