L2_orth,L2_latin,L2_en,L2_link,L2_ipa,L2_occurences,L2_certainty,L2_reconstructedness,L2_pos,hm1_strT_vhT_onlyF,hm20_strT_vhT_onlyF
𐌰𐌲𐌲𐍅𐌿𐍃,aggwus,narrow,https://koeblergerhard.de/wikiling/?f=got&page=7,aɡɡwus,2,certain,form,"Adj., a",ͽɣɣͽwͽsͽ,"ͽɣɣͽwͽsͽ, ͽɣɣͽwȣsͽ, ͽɣɣewͽse, ͽɣɣewȣse, ͽkkͽwͽsͽ, ͽkkͽwȣsͽ, ͽkkewͽse, ͽkkewȣse, ɑɣɣͽwͽsͽ, ɑɣɣͽwȣsͽ, ɑɣɣewͽse, ɑɣɣewȣse, ɑkkͽwͽsͽ, ɑkkͽwȣsͽ, ɑkkewͽse, ɑkkewȣse, uɣɣͽwͽsͽ, uɣɣͽwȣsͽ, uɣɣewͽse, uɣɣewȣse, ukkͽwͽsͽ, ukkͽwȣsͽ, ukkewͽse, ukkewȣse"
𐌰𐌲𐌹,agi,"blade, edge, point, sharpness, sword",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣɪ,0,certain,word,"F., n",ͽɣͽ,"ͽɣͽ, ͽɣȣ̈, ͽɣi, ͽɣe, ͽɣj, ȣ̈ɣͽ, ȣ̈ɣȣ̈, ȣ̈ɣi, ȣ̈ɣe, ȣ̈ɣj, ɑɣͽ, ɑɣȣ̈, ɑɣi, ɑɣe, ɑɣj, æɣͽ, æɣȣ̈, æɣi, æɣe, æɣj"
𐌰𐌲𐌾𐌰,agja,"blade, edge, point, sharpness, sword",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣja,0,certain,word,"F., n",ͽɣjͽ,"ͽɣjͽ, ȣ̈ɣjȣ̈, ɑɣjɑ, æɣjæ"
𐌰𐌲𐌹𐍃,agis,"awe, fear, fright, terror",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣɪs,20,certain,not_reconstructed,"N., n",ͽɣͽsͽ,"ͽɣͽsͽ, ͽɣͽse, ͽɣͽsɑ, ͽɣȣ̈sͽ, ͽɣȣ̈se, ͽɣȣ̈sɑ, ͽɣisͽ, ͽɣise, ͽɣisɑ, ȣ̈ɣͽsͽ, ȣ̈ɣͽse, ȣ̈ɣͽsɑ, ȣ̈ɣȣ̈sͽ, ȣ̈ɣȣ̈se, ȣ̈ɣȣ̈sɑ, ȣ̈ɣisͽ, ȣ̈ɣise, ȣ̈ɣisɑ, ɑɣͽsͽ, ɑɣͽse, ɑɣͽsɑ, ɑɣȣ̈sͽ, ɑɣȣ̈se, ɑɣȣ̈sɑ, ɑɣisͽ, ɑɣise, ɑɣisɑ"
𐌰𐌲𐌾𐌰𐌽,agjan,"frighten, worry",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣj,0,uncertain,word,"V., v",ͽɣjͽ,"ͽɣjͽ, ͽɣje, ͽɣjɑ, ͽɣjæ, ͽɣju, ȣ̈ɣjͽ, ȣ̈ɣje, ȣ̈ɣjɑ, ȣ̈ɣjæ, ȣ̈ɣju, ɑɣjͽ, ɑɣje, ɑɣjɑ, ɑɣjæ, ɑɣju, æɣjͽ, æɣje, æɣjɑ, æɣjæ, æɣju"
𐌰𐌲𐌺𐌾𐌰,agkja,"leg, pipe, tube",https://koeblergerhard.de/wikiling/?f=got&page=7,aŋkja,0,uncertain,word,"F., n",ͽŋkjͽ,"ͽŋkjͽ, ȣ̈ŋkjȣ̈, ɑŋkjɑ, æŋkjæ"
𐌰𐌲𐌻𐌰𐌹𐍄e𐌹,aglaitei,"licentiousness, debauchery",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛti,54,certain,not_reconstructed,"F., n",ͽɣlͽtͽ,"ͽɣlͽtͽ, ͽɣlͽtȣ̈, ͽɣlͽti, ͽɣlȣ̈tͽ, ͽɣlȣ̈tȣ̈, ͽɣlȣ̈ti, ͽɣletͽ, ͽɣletȣ̈, ͽɣleti, ȣ̈ɣlͽtͽ, ȣ̈ɣlͽtȣ̈, ȣ̈ɣlͽti, ȣ̈ɣlȣ̈tͽ, ȣ̈ɣlȣ̈tȣ̈, ȣ̈ɣlȣ̈ti, ȣ̈ɣletͽ, ȣ̈ɣletȣ̈, ȣ̈ɣleti, ɑɣlͽtͽ, ɑɣlͽtȣ̈, ɑɣlͽti, ɑɣlȣ̈tͽ, ɑɣlȣ̈tȣ̈, ɑɣlȣ̈ti, ɑɣletͽ, ɑɣletȣ̈, ɑɣleti"
𐌰𐌲𐌻𐌰𐌹𐍄e𐌹𐍃,aglaiteis,"lewd, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛtis,0,certain,word,"Adj., a",ͽɣlͽtͽsͽ,"ͽɣlͽtͽsͽ, ͽɣlͽtͽse, ͽɣlͽtȣ̈sͽ, ͽɣlͽtȣ̈se, ͽɣlȣ̈tͽsͽ, ͽɣlȣ̈tͽse, ͽɣlȣ̈tȣ̈sͽ, ͽɣlȣ̈tȣ̈se, ȣ̈ɣlͽtͽsͽ, ȣ̈ɣlͽtͽse, ȣ̈ɣlͽtȣ̈sͽ, ȣ̈ɣlͽtȣ̈se, ȣ̈ɣlȣ̈tͽsͽ, ȣ̈ɣlȣ̈tͽse, ȣ̈ɣlȣ̈tȣ̈sͽ, ȣ̈ɣlȣ̈tȣ̈se, ɑɣlͽtͽsͽ, ɑɣlͽtͽse, ɑɣlͽtȣ̈sͽ, ɑɣlͽtȣ̈se, ɑɣlȣ̈tͽsͽ, ɑɣlȣ̈tͽse, ɑɣlȣ̈tȣ̈sͽ, ɑɣlȣ̈tȣ̈se"
𐌰𐌲𐌻𐌰𐌹𐍄𐍃,aglaits,"lewd, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛts,0,uncertain,word,"Adj., a",wͽɣlͽtsͽ,"wͽɣlͽtsͽ, wͽɣlͽtse, wͽɣlȣ̈tsͽ, wͽɣlȣ̈tse, wȣ̈ɣlͽtsͽ, wȣ̈ɣlͽtse, wȣ̈ɣlȣ̈tsͽ, wȣ̈ɣlȣ̈tse, jͽɣlͽtsͽ, jͽɣlͽtse, jͽɣlȣ̈tsͽ, jͽɣlȣ̈tse, jȣ̈ɣlͽtsͽ, jȣ̈ɣlͽtse, jȣ̈ɣlȣ̈tsͽ, jȣ̈ɣlȣ̈tse, kͽɣlͽtsͽ, kͽɣlͽtse, kͽɣlȣ̈tsͽ, kͽɣlȣ̈tse, kȣ̈ɣlͽtsͽ, kȣ̈ɣlͽtse, kȣ̈ɣlȣ̈tsͽ, kȣ̈ɣlȣ̈tse"
𐌰𐌲𐌻𐌰𐌹𐍄𐌲𐌰𐍃𐍄𐌰𐌻𐌳𐍃,aglaitgastalds,"acquisitive, grasping, shamefully_greedy",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛtɡastalds,2,certain,not_reconstructed,"Adj., a",lͽtɣͽstͽ,"lͽtɣͽstͽ, lͽtɣȣ̈stȣ̈, lͽtɣɑstɑ, lͽtkͽstͽ, lͽtkȣ̈stȣ̈, lͽtkɑstɑ, lͽtŋͽstͽ, lͽtŋȣ̈stȣ̈, lͽtŋɑstɑ, lȣ̈tɣͽstͽ, lȣ̈tɣȣ̈stȣ̈, lȣ̈tɣɑstɑ, lȣ̈tkͽstͽ, lȣ̈tkȣ̈stȣ̈, lȣ̈tkɑstɑ, lȣ̈tŋͽstͽ, lȣ̈tŋȣ̈stȣ̈, lȣ̈tŋɑstɑ, letɣͽstͽ, letɣȣ̈stȣ̈, letɣɑstɑ, letkͽstͽ, letkȣ̈stȣ̈, letkɑstɑ, letŋͽstͽ, letŋȣ̈stȣ̈, letŋɑstɑ"
𐌰𐌲𐌻𐌰𐌹𐍄𐌹,aglaiti,"debauchery, licentiousness, dissipation",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛtɪ,2,certain,form,"N., n",ͽɣlͽtͽ,"ͽɣlͽtͽ, ͽɣlͽtȣ̈, ͽɣlͽti, ͽɣlȣ̈tͽ, ͽɣlȣ̈tȣ̈, ͽɣlȣ̈ti, ͽɣletͽ, ͽɣletȣ̈, ͽɣleti, ȣ̈ɣlͽtͽ, ȣ̈ɣlͽtȣ̈, ȣ̈ɣlͽti, ȣ̈ɣlȣ̈tͽ, ȣ̈ɣlȣ̈tȣ̈, ȣ̈ɣlȣ̈ti, ȣ̈ɣletͽ, ȣ̈ɣletȣ̈, ȣ̈ɣleti, ɑɣlͽtͽ, ɑɣlͽtȣ̈, ɑɣlͽti, ɑɣlȣ̈tͽ, ɑɣlȣ̈tȣ̈, ɑɣlȣ̈ti, ɑɣletͽ, ɑɣletȣ̈, ɑɣleti"
𐌰𐌲𐌻𐌰𐌹𐍄𐌹𐍅𐌰𐌿𐍂𐌳e𐌹,aglaitiwáurdei,"obscene_language, foul_language, shameful_speech, filthy_talk",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛtɪwɔrdi,2,certain,form,"F., n",lͽtwͽrðͽ,"lͽtwͽrðͽ, lͽtwͽrðȣ̈, lͽtwͽrtͽ, lͽtwͽrtȣ̈, lͽtwerðͽ, lͽtwerðȣ̈, lͽtwertͽ, lͽtwertȣ̈, lȣ̈twͽrðͽ, lȣ̈twͽrðȣ̈, lȣ̈twͽrtͽ, lȣ̈twͽrtȣ̈, lȣ̈twerðͽ, lȣ̈twerðȣ̈, lȣ̈twertͽ, lȣ̈twertȣ̈, letwͽrðͽ, letwͽrðȣ̈, letwͽrtͽ, letwͽrtȣ̈, letwerðͽ, letwerðȣ̈, letwertͽ, letwertȣ̈"
𐌰𐌲𐌻𐌰𐌹𐍄𐌹𐍅𐌰𐌿𐍂𐌳𐍃,aglaitiwáurds,verbally_obscene,https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛtɪwɔrds,0,certain,word,"Adj., a",ͽɣlͽtͽwͽ,"ͽɣlͽtͽwͽ, ͽɣlͽtͽwe, ͽɣlͽtȣ̈wͽ, ͽɣlͽtȣ̈we, ͽɣlȣ̈tͽwͽ, ͽɣlȣ̈tͽwe, ͽɣlȣ̈tȣ̈wͽ, ͽɣlȣ̈tȣ̈we, ȣ̈ɣlͽtͽwͽ, ȣ̈ɣlͽtͽwe, ȣ̈ɣlͽtȣ̈wͽ, ȣ̈ɣlͽtȣ̈we, ȣ̈ɣlȣ̈tͽwͽ, ȣ̈ɣlȣ̈tͽwe, ȣ̈ɣlȣ̈tȣ̈wͽ, ȣ̈ɣlȣ̈tȣ̈we, ɑɣlͽtͽwͽ, ɑɣlͽtͽwe, ɑɣlͽtȣ̈wͽ, ɑɣlͽtȣ̈we, ɑɣlȣ̈tͽwͽ, ɑɣlȣ̈tͽwe, ɑɣlȣ̈tȣ̈wͽ, ɑɣlȣ̈tȣ̈we"
𐌰𐌲𐌻𐌹𐌸𐌰,agliþa,"pressure, trial, tribulation, trouble",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɪθa,1,certain,form,"F., n",ͽɣlͽt͡ʃͽ,"ͽɣlͽt͡ʃͽ, ͽɣlͽsͽ, ͽɣlͽtͽ, ͽɣlȣ̈t͡ʃͽ, ͽɣlȣ̈sͽ, ͽɣlȣ̈tͽ, ͽɣlit͡ʃͽ, ͽɣlisͽ, ͽɣlitͽ, ȣ̈ɣlͽt͡ʃȣ̈, ȣ̈ɣlͽsȣ̈, ȣ̈ɣlͽtȣ̈, ȣ̈ɣlȣ̈t͡ʃȣ̈, ȣ̈ɣlȣ̈sȣ̈, ȣ̈ɣlȣ̈tȣ̈, ȣ̈ɣlit͡ʃȣ̈, ȣ̈ɣlisȣ̈, ȣ̈ɣlitȣ̈, ɑɣlͽt͡ʃɑ, ɑɣlͽsɑ, ɑɣlͽtɑ, ɑɣlȣ̈t͡ʃɑ, ɑɣlȣ̈sɑ, ɑɣlȣ̈tɑ, ɑɣlit͡ʃɑ, ɑɣlisɑ, ɑɣlitɑ"
𐌰𐌲𐌻𐌾𐌰𐌽,agljan,"harm, injure_the_health, be_physically_harmful_to, be_physiologically_injur>>>",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣl̥j,1,certain,form,"V., v",ͽɣljͽ,"ͽɣljͽ, ͽɣlje, ͽɣljɑ, ͽɣljæ, ͽɣlju, ȣ̈ɣljͽ, ȣ̈ɣlje, ȣ̈ɣljɑ, ȣ̈ɣljæ, ȣ̈ɣlju, ɑɣljͽ, ɑɣlje, ɑɣljɑ, ɑɣljæ, ɑɣlju, æɣljͽ, æɣlje, æɣljɑ, æɣljæ, æɣlju"
𐌰𐌲𐌻𐍉,aglō,"affliction, painfulness, tribulation",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlo,27,certain,not_reconstructed,"F., n",ͽɣlͽ,"ͽɣlͽ, ͽɣlȣ, ͽɣlo, ɑɣlͽ, ɑɣlȣ, ɑɣlo, uɣlͽ, uɣlȣ, uɣlo, oɣlͽ, oɣlȣ, oɣlo, ȣɣlͽ, ȣɣlȣ, ȣɣlo, ɤ,ɣlͽ, ɤ,ɣlȣ, ɤ,ɣlo"
𐌰𐌲𐌻𐍃,agls,"disgraceful, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣl̥s,1,certain,form,"Adj., a",ͽɣlsͽ,"ͽɣlsͽ, ͽɣlse, ͽɣlsɑ, ͽɣlsæ, ͽɣlsu, ȣ̈ɣlsͽ, ȣ̈ɣlse, ȣ̈ɣlsɑ, ȣ̈ɣlsæ, ȣ̈ɣlsu, ɑɣlsͽ, ɑɣlse, ɑɣlsɑ, ɑɣlsæ, ɑɣlsu, æɣlsͽ, æɣlse, æɣlsɑ, æɣlsæ, æɣlsu"
𐌰𐌲𐌻𐌿𐌱𐌰,agluba,"arduously, with_unpleasant_difficulty",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣluβa,2,certain,not_reconstructed,"Adv., r",ͽɣlͽwͽ,"ͽɣlͽwͽ, ͽɣlewͽ, ͽɣlæwͽ, ͽɣliwͽ, ͽɣlȣ̈wͽ, ȣ̈ɣlͽwȣ̈, ȣ̈ɣlewȣ̈, ȣ̈ɣlæwȣ̈, ȣ̈ɣliwȣ̈, ȣ̈ɣlȣ̈wȣ̈, ɑɣlͽwɑ, ɑɣlewɑ, ɑɣlæwɑ, ɑɣliwɑ, ɑɣlȣ̈wɑ, æɣlͽwæ, æɣlewæ, æɣlæwæ, æɣliwæ, æɣlȣ̈wæ"
𐌰𐌲𐌻𐌿𐍃,aglus,"difficult, toilsome",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlus,1,certain,form,"Adj., a",ͽɣlͽsͽ,"ͽɣlͽsͽ, ͽɣlͽse, ͽɣlͽsɑ, ͽɣlȣsͽ, ͽɣlȣse, ͽɣlȣsɑ, ͽɣlusͽ, ͽɣluse, ͽɣlusɑ, ɑɣlͽsͽ, ɑɣlͽse, ɑɣlͽsɑ, ɑɣlȣsͽ, ɑɣlȣse, ɑɣlȣsɑ, ɑɣlusͽ, ɑɣluse, ɑɣlusɑ, uɣlͽsͽ, uɣlͽse, uɣlͽsɑ, uɣlȣsͽ, uɣlȣse, uɣlȣsɑ, uɣlusͽ, uɣluse, uɣlusɑ"
𐌰𐌲𐍂𐌰,agra,"pointed, sharp",https://koeblergerhard.de/wikiling/?f=got&page=8,aɣra,0,uncertain,word,"Adj., a",ͽɣrͽ,"ͽɣrͽ, ȣ̈ɣrȣ̈, ɑɣrɑ, æɣræ"
𐌰𐌲𐍃,ags,"fearful, timid",https://koeblergerhard.de/wikiling/?f=got&page=8,aɣs,0,uncertain,word,"Adj., a",ͽɣsͽ,"ͽɣsͽ, ͽɣse, ͽɣsɑ, ͽɣsæ, ͽɣsu, ȣ̈ɣsͽ, ȣ̈ɣse, ȣ̈ɣsɑ, ȣ̈ɣsæ, ȣ̈ɣsu, ɑɣsͽ, ɑɣse, ɑɣsɑ, ɑɣsæ, ɑɣsu, æɣsͽ, æɣse, æɣsɑ, æɣsæ, æɣsu"
𐌰𐌷𐌰,aha,"mental_faculty, mind, understanding, reason, source_of_thought",https://koeblergerhard.de/wikiling/?f=got&page=8,aha,6,certain,form,"M., n",ͽɣͽ,"ͽɣͽ, ͽkͽ, ͽjͽ, ȣ̈ɣȣ̈, ȣ̈kȣ̈, ȣ̈jȣ̈, ɑɣɑ, ɑkɑ, ɑjɑ, æɣæ, ækæ, æjæ"
𐌰𐌷𐌰𐌺𐍃,ahaks,"dove, tame_white_dove, pigeon",https://koeblergerhard.de/wikiling/?f=got&page=8,ahaks,4,certain,not_reconstructed,"F., n",wͽɣͽks,"wͽɣͽks, wͽkͽks, wͽjͽks, wȣ̈ɣȣ̈ks, wȣ̈kȣ̈ks, wȣ̈jȣ̈ks, wɑɣɑks, wɑkɑks, wɑjɑks, jͽɣͽks, jͽkͽks, jͽjͽks, jȣ̈ɣȣ̈ks, jȣ̈kȣ̈ks, jȣ̈jȣ̈ks, jɑɣɑks, jɑkɑks, jɑjɑks, kͽɣͽks, kͽkͽks, kͽjͽks, kȣ̈ɣȣ̈ks, kȣ̈kȣ̈ks, kȣ̈jȣ̈ks, kɑɣɑks, kɑkɑks, kɑjɑks"
𐌰𐌷𐌰𐌽𐌰,ahana,chaff,https://koeblergerhard.de/wikiling/?f=got&page=8,ahana,1,certain,not_reconstructed,"F., N., nn",ͽɣͽnͽ,"ͽɣͽnͽ, ͽkͽnͽ, ͽjͽnͽ, ȣ̈ɣȣ̈nȣ̈, ȣ̈kȣ̈nȣ̈, ȣ̈jȣ̈nȣ̈, ɑɣɑnɑ, ɑkɑnɑ, ɑjɑnɑ, æɣænæ, ækænæ, æjænæ"
𐌰𐌷𐌾𐌰𐌽,ahjan,"assume, presume, think",https://koeblergerhard.de/wikiling/?f=got&page=8,ahj,1,certain,form,"V., v",ͽɣjͽ,"ͽɣjͽ, ͽɣje, ͽɣjɑ, ͽkjͽ, ͽkje, ͽkjɑ, ͽjjͽ, ͽjje, ͽjjɑ, ȣ̈ɣjͽ, ȣ̈ɣje, ȣ̈ɣjɑ, ȣ̈kjͽ, ȣ̈kje, ȣ̈kjɑ, ȣ̈jjͽ, ȣ̈jje, ȣ̈jjɑ, ɑɣjͽ, ɑɣje, ɑɣjɑ, ɑkjͽ, ɑkje, ɑkjɑ, ɑjjͽ, ɑjje, ɑjjɑ"
𐌰𐌷𐌼𐌰,ahma,spirit,https://koeblergerhard.de/wikiling/?f=got&page=8,ahma,155,certain,not_reconstructed,"M., n",ͽɣmͽ,"ͽɣmͽ, ͽkmͽ, ͽjmͽ, ȣ̈ɣmȣ̈, ȣ̈kmȣ̈, ȣ̈jmȣ̈, ɑɣmɑ, ɑkmɑ, ɑjmɑ, æɣmæ, ækmæ, æjmæ"
𐌰𐌷𐌼𐌰𐍄e𐌹𐌽𐍃,ahmateins,inspiration,https://koeblergerhard.de/wikiling/?f=got&page=8,ahmatins,1,certain,form,"F., n",ͽɣmͽtͽnͽ,"ͽɣmͽtͽnͽ, ͽɣmͽtͽne, ͽɣmͽtȣ̈nͽ, ͽɣmͽtȣ̈ne, ͽkmͽtͽnͽ, ͽkmͽtͽne, ͽkmͽtȣ̈nͽ, ͽkmͽtȣ̈ne, ȣ̈ɣmȣ̈tͽnͽ, ȣ̈ɣmȣ̈tͽne, ȣ̈ɣmȣ̈tȣ̈nͽ, ȣ̈ɣmȣ̈tȣ̈ne, ȣ̈kmȣ̈tͽnͽ, ȣ̈kmȣ̈tͽne, ȣ̈kmȣ̈tȣ̈nͽ, ȣ̈kmȣ̈tȣ̈ne, ɑɣmɑtͽnͽ, ɑɣmɑtͽne, ɑɣmɑtȣ̈nͽ, ɑɣmɑtȣ̈ne, ɑkmɑtͽnͽ, ɑkmɑtͽne, ɑkmɑtȣ̈nͽ, ɑkmɑtȣ̈ne"
𐌰𐌷𐌼𐌰𐍄𐌾𐌰𐌽,ahmatjan,inspire,https://koeblergerhard.de/wikiling/?f=got&page=8,ahmatj,0,uncertain,word,"V., v",wͽɣmͽtjͽ,"wͽɣmͽtjͽ, wͽɣmͽtje, wͽkmͽtjͽ, wͽkmͽtje, wȣ̈ɣmȣ̈tjͽ, wȣ̈ɣmȣ̈tje, wȣ̈kmȣ̈tjͽ, wȣ̈kmȣ̈tje, jͽɣmͽtjͽ, jͽɣmͽtje, jͽkmͽtjͽ, jͽkmͽtje, jȣ̈ɣmȣ̈tjͽ, jȣ̈ɣmȣ̈tje, jȣ̈kmȣ̈tjͽ, jȣ̈kmȣ̈tje, kͽɣmͽtjͽ, kͽɣmͽtje, kͽkmͽtjͽ, kͽkmͽtje, kȣ̈ɣmȣ̈tjͽ, kȣ̈ɣmȣ̈tje, kȣ̈kmȣ̈tjͽ, kȣ̈kmȣ̈tje"
𐌰𐌷𐌼e𐌹𐌽𐍃,ahmeins,spiritual,https://koeblergerhard.de/wikiling/?f=got&page=8,ahmins,13,certain,form,"Adj., a",wͽɣmͽnsͽ,"wͽɣmͽnsͽ, wͽɣmͽnse, wͽɣmȣ̈nsͽ, wͽɣmȣ̈nse, wͽkmͽnsͽ, wͽkmͽnse, wͽkmȣ̈nsͽ, wͽkmȣ̈nse, wȣ̈ɣmͽnsͽ, wȣ̈ɣmͽnse, wȣ̈ɣmȣ̈nsͽ, wȣ̈ɣmȣ̈nse, wȣ̈kmͽnsͽ, wȣ̈kmͽnse, wȣ̈kmȣ̈nsͽ, wȣ̈kmȣ̈nse, jͽɣmͽnsͽ, jͽɣmͽnse, jͽɣmȣ̈nsͽ, jͽɣmȣ̈nse, jͽkmͽnsͽ, jͽkmͽnse, jͽkmȣ̈nsͽ, jͽkmȣ̈nse, jȣ̈ɣmͽnsͽ, jȣ̈ɣmͽnse, jȣ̈ɣmȣ̈nsͽ, jȣ̈ɣmȣ̈nse, jȣ̈kmͽnsͽ, jȣ̈kmͽnse, jȣ̈kmȣ̈nsͽ, jȣ̈kmȣ̈nse"
𐌰𐌷𐍃,ahs,ear_of_grain,https://koeblergerhard.de/wikiling/?f=got&page=8,ahs,2,certain,word,"Adj., a",ͽɣsͽ,"ͽɣsͽ, ͽɣse, ͽɣsɑ, ͽksͽ, ͽkse, ͽksɑ, ͽjsͽ, ͽjse, ͽjsɑ, ȣ̈ɣsͽ, ȣ̈ɣse, ȣ̈ɣsɑ, ȣ̈ksͽ, ȣ̈kse, ȣ̈ksɑ, ȣ̈jsͽ, ȣ̈jse, ȣ̈jsɑ, ɑɣsͽ, ɑɣse, ɑɣsɑ, ɑksͽ, ɑkse, ɑksɑ, ɑjsͽ, ɑjse, ɑjsɑ"
𐌰𐌷𐍃,ahs,"sensible, levelheaded",https://koeblergerhard.de/wikiling/?f=got&page=8,ahs,2,certain,word,"Adj., a",ͽɣsͽ,"ͽɣsͽ, ͽɣse, ͽɣsɑ, ͽksͽ, ͽkse, ͽksɑ, ͽjsͽ, ͽjse, ͽjsɑ, ȣ̈ɣsͽ, ȣ̈ɣse, ȣ̈ɣsɑ, ȣ̈ksͽ, ȣ̈kse, ȣ̈ksɑ, ȣ̈jsͽ, ȣ̈jse, ȣ̈jsɑ, ɑɣsͽ, ɑɣse, ɑɣsɑ, ɑksͽ, ɑkse, ɑksɑ, ɑjsͽ, ɑjse, ɑjsɑ"
𐌰𐌷𐍃𐌰,ahsa,"axis, axle, name_of_arune",https://koeblergerhard.de/wikiling/?f=got&page=8,ahsa,1,certain,form,"F., n",ͽɣsͽ,"ͽɣsͽ, ͽksͽ, ͽjsͽ, ȣ̈ɣsȣ̈, ȣ̈ksȣ̈, ȣ̈jsȣ̈, ɑɣsɑ, ɑksɑ, ɑjsɑ, æɣsæ, æksæ, æjsæ"
𐌰𐌷𐍄𐌰𐌿,ahtau,eight,https://koeblergerhard.de/wikiling/?f=got&page=8,ahtɔ,4,certain,not_reconstructed,"Num., r",ͽɣtͽ,"ͽɣtͽ, ͽɣtȣ, ͽɣto, ͽktͽ, ͽktȣ, ͽkto, ͽjtͽ, ͽjtȣ, ͽjto, ɑɣtͽ, ɑɣtȣ, ɑɣto, ɑktͽ, ɑktȣ, ɑkto, ɑjtͽ, ɑjtȣ, ɑjto, uɣtͽ, uɣtȣ, uɣto, uktͽ, uktȣ, ukto, ujtͽ, ujtȣ, ujto"
𐌰𐌷𐍄𐌰𐌿𐌳𐍉𐌲𐍃,ahtaudōgs,"of_eight_days, lasting_eight_days, octodiurnal",https://koeblergerhard.de/wikiling/?f=got&page=8,ahtɔðoɣs,1,certain,not_reconstructed,"Adj., a",ͽɣtͽðͽɣͽ,"ͽɣtͽðͽɣͽ, ͽɣtͽðͽɣe, ͽɣtͽðȣɣͽ, ͽɣtͽðȣɣe, ͽɣtȣðͽɣͽ, ͽɣtȣðͽɣe, ͽɣtȣðȣɣͽ, ͽɣtȣðȣɣe, ͽktͽðͽɣͽ, ͽktͽðͽɣe, ͽktͽðȣɣͽ, ͽktͽðȣɣe, ͽktȣðͽɣͽ, ͽktȣðͽɣe, ͽktȣðȣɣͽ, ͽktȣðȣɣe, ɑɣtͽðͽɣͽ, ɑɣtͽðͽɣe, ɑɣtͽðȣɣͽ, ɑɣtͽðȣɣe, ɑɣtȣðͽɣͽ, ɑɣtȣðͽɣe, ɑɣtȣðȣɣͽ, ɑɣtȣðȣɣe, ɑktͽðͽɣͽ, ɑktͽðͽɣe, ɑktͽðȣɣͽ, ɑktͽðȣɣe, ɑktȣðͽɣͽ, ɑktȣðͽɣe, ɑktȣðȣɣͽ, ɑktȣðȣɣe"
𐌰𐌷𐍄𐌰𐌿𐍄𐌰𐌹𐌷𐌿𐌽,ahtautaihun,eighteen,https://koeblergerhard.de/wikiling/?f=got&page=8,ahtɔtɛhun,0,uncertain,word,"Num., r",ͽɣtͽtͽɣͽ,"ͽɣtͽtͽɣͽ, ͽɣtͽtͽɣȣ, ͽɣtȣtͽɣͽ, ͽɣtȣtͽɣȣ, ͽktͽtͽkͽ, ͽktͽtͽkȣ, ͽktȣtͽkͽ, ͽktȣtͽkȣ, ɑɣtͽtɑɣͽ, ɑɣtͽtɑɣȣ, ɑɣtȣtɑɣͽ, ɑɣtȣtɑɣȣ, ɑktͽtɑkͽ, ɑktͽtɑkȣ, ɑktȣtɑkͽ, ɑktȣtɑkȣ, uɣtͽtuɣͽ, uɣtͽtuɣȣ, uɣtȣtuɣͽ, uɣtȣtuɣȣ, uktͽtukͽ, uktͽtukȣ, uktȣtukͽ, uktȣtukȣ"
𐌰𐌷𐍄𐌰𐌿𐍄𐌴𐌷𐌿𐌽𐌳,ahtautēhund,eighty,https://koeblergerhard.de/wikiling/?f=got&page=8,ahtɔtehund,2,certain,not_reconstructed,"Num., r",ͽɣtͽtͽɣͽ,"ͽɣtͽtͽɣͽ, ͽɣtͽtͽɣȣ, ͽɣtȣtͽɣͽ, ͽɣtȣtͽɣȣ, ͽktͽtͽkͽ, ͽktͽtͽkȣ, ͽktȣtͽkͽ, ͽktȣtͽkȣ, ɑɣtͽtɑɣͽ, ɑɣtͽtɑɣȣ, ɑɣtȣtɑɣͽ, ɑɣtȣtɑɣȣ, ɑktͽtɑkͽ, ɑktͽtɑkȣ, ɑktȣtɑkͽ, ɑktȣtɑkȣ, uɣtͽtuɣͽ, uɣtͽtuɣȣ, uɣtȣtuɣͽ, uɣtȣtuɣȣ, uktͽtukͽ, uktͽtukȣ, uktȣtukͽ, uktȣtukȣ"
