hun_lemma,hun_year,info,info_en,disambiguated,hun_suffix,en_human,hun_en,orig,hun_orig_en,orig_tag,hun_pos,hun_ipa,regexroot
vár,1372,"1184 tn. (?), 1372 u.","1184 placename (?), after  1372 ",vár1,,"['to await', 'castle', 'to expect', 'fastness', 'hold', 'to look for', 'to tend', 'to wait']","await, castle, expect, fastness, hold, look_for, tend, wait","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,v,vaːr,r# not old/Gothic
kökény,1577,"1184 tn. (?), 1577","1184 placename (?),  1577",kökény,,['sloe'],sloe,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,køkeːɲ,"k, ɲ# not old/Gothic"
kebel,1200,"1186 tn. (?), 12. sz. vége",end of  12. century ,kebel,,"['bosom', 'breast', 'bust']","bosom, breast, bust",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,kɛbɛl,^(j|m|s)?(k)(e|o|æ)(mp)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
ól,1297,"1192 tn. (?), 1297","1192 placename (?),  1297",ól,,"['hutch', 'pen', 'pound']","hutch, pen, pound",a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,oːl,#o not old/Gothic
kender,1395,"1192 tn. (?), 1395 k.","1192 placename (?), ca.  1395 ",kender,,['hemp'],hemp,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,kɛndɛr,"nd, r# not old/Gothic"
rév,1265,"1192 tn., 1265","1192 placename,  1265",rév,,"['anchorage', 'ferry', 'haven', 'port', 'roads']","anchorage, ferry, haven, port, roads",1. Olasz (többnyire északolasz) jövevényszavak ,1. Italian (mostly Northern Italian) newcomer words,,n,reːv,"#r, v# not old/Gothic"
bodza,1337,"1192 tn., 1337","1192 placename,  1337",bodza,,['elderberry'],elderberry,d) Déli szláv jövevényszavak (általában) ?,d) South Slavic newcomer words (in general)?,,n,bod͡zɒ,"d͡z, ɒ# not old/Gothic"
közép,1372,"1192 tn., 1372 u.","1192 placename, after  1372 ",közép,,"['middle', 'midst']","middle, midst","3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,a,køzeːp,^(j|m|s)?(k)(e|i|æ|ɑ)(p|t)(e|i|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
lassú,1372,"1192 tn., 1372 u.","1192 placename, after  1372 ",lassú,,"['deliberate', 'leisurely', 'moderate', 'pokey', 'poky', 'slack', 'slow', 'unhurried']","deliberate, leisurely, moderate, pokey, poky, slack, slow, unhurried",1. Származékszavak ?,1. Derivatives?,,a,lɒʃʃuː,"ʃʃ, u# not old/Gothic"
csősz,1560,"1192 tn.,  1560 k.","1192 placename, ca.   1560 ",csősz,,keeper,keeper,"a) Besenyő, kun jövevényszavak ?","a) Besenyő, kun newcomer words?",,n,t͡ʃøːs,"#t͡ʃ, s# not old/Gothic"
haszon,1372,"1193  (?),  1372 u.","1193  (?), after   1372 ",haszon,,"['account', 'avail', 'balance in hand', 'benefit', 'boot', 'earnings', 'gain', 'gains', 'good', 'increment', 'proceeds', 'profit', 'return', 'spoil', 'stead', 'use', 'utility']","account, avail, balance_in_hand, benefit, boot, earnings, gain, gains, good, increment, proceeds, profit, return, spoil, stead, use, utility",4. Valószínűleg ősi szavak?,4. Probably ancient words?,,n,hɒson,^(j|m|s)?(k)(e|o|u|ɑ)(j|s)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
liba,1565,"1193  tn  (?),  1565","1193  placename (?),   1565",liba,,"['goosey', 'goosey-gander', 'goosey-goosey', 'goose, geese', 'goose']","goosey, goosey-gander, goosey-goosey, goose, geese, goose",1. Származékszavak ,1. Derivatives,,n,libɒ,ɒ# not old/Gothic
boldog,1200,"1193  tn.  (?),  12. sz.  vége",end of   12. century  ,boldog,,"['beaming', 'beatific', 'blessed', 'blissful', 'felicitate', 'felicitous', 'glad', 'happy', 'joyous']","beaming, beatific, blessed, blissful, felicitate, felicitous, glad, happy, joyous",,,,a,boldoɡ,ld not old/Gothic
int,1200,"1193  tn.  (?),  12. sz.  vége",end of   12. century  ,int,,"['to beckon', 'to exhort', 'to gesture', 'to motion', 'to waft', 'to wave', ""to wave one's hand""]","beckon, exhort, gesture, motion, waft, wave, ""wave_ones_hand""",,,,v,int,nt# not old/Gothic
harcsa,1395,"1193 tn. (?), 1395 k.","1193 placename (?), ca.  1395 ",harcsa,,"['catfish', 'great cat-fish', 'sheatfish']","catfish, great_cat-fish, sheatfish",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,hɒrt͡ʃɒ,"rt͡ʃ, ɒ# not old/Gothic"
rigó,1395,"1193 tn. (?), 1395 k.","1193 placename (?), ca.  1395 ",rigó,,['thrush'],thrush,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,riɡoː,#r not old/Gothic
boka,1405,"1193 tn. (?), 1405 k.","1193 placename (?), ca.  1405 ",boka,,['ankle'],ankle,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,bokɒ,"k, ɒ# not old/Gothic"
tüdő,1405,"1193 tn. (?), 1405 k.","1193 placename (?), ca.  1405 ",tüdő,,"['lung', 'lungs']","lung, lungs",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,tydøː,^(j|m|s)?(t)(i|æ|ɑ)(mt|nt|w)(e)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
zsold,1416,"1193 tn. (?), 1416 u.","1193 placename (?), after  1416 ",zsold,,military pay,military_pay,D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,ʒold,"#ʒ, ld# not old/Gothic"
csíz,1538,"1193 tn. (?), 1538","1193 placename (?),  1538",csíz,,['siskin'],siskin,,,,n,t͡ʃiːz,#t͡ʃ not old/Gothic
domború,1578,"1193 tn. (?), 1578","1193 placename (?),  1578",domború,,"['bulging', 'cambered', 'convex', 'convexo-concave', 'domed', 'gibbose', 'gibbous', 'in relief']","bulging, cambered, convex, convexo-concave, domed, gibbose, gibbous, in_relief",1. Származékszavak ,1. Derivatives,,a,domboruː,"#d, mb, u# not old/Gothic"
koboz,1620,"1193 tn. (?), 1620","1193 placename (?),  1620",koboz2,,koboz,koboz,"a) Besenyő, kun jövevényszavak ?","a) Besenyő, kun newcomer words?",,a,koboz,^(j|m|s)?(k)(e|i|o|u|ɑ)(mp)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
ház,1200,"1193 tn., 12. sz. vége",end of  12. century ,ház,,"['home', 'house', 'housing', 'place']","home, house, housing, place","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,haːz,^(j|m|s)?(k)(u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
magyal,1233,"1193 tn., 1233","1193 placename,  1233",magyal,,holly,holly,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,mɒɟɒl,^(j|m|s)?(m)(e|o|u|ɑ)(j|n)(e|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
tímár,12371240,"1193 tn.,  1237–1240","1193 placename,   1237–1240",tímár,,"['currier', 'skinner', 'tanner']","currier, skinner, tanner",1. Olasz (többnyire északolasz) jövevényszavak ?,1. Italian (mostly northern Italian) newcomer words?,,n,tiːmaːr,r# not old/Gothic
szurdok,1267,"1193 tn.,  1267","1193 placename,   1267",szurdok,,"['canyon', 'glen', 'gorge', 'gothic pass', 'gulch', 'notch']","canyon, glen, gorge, gothic_pass, gulch, notch",1. Származékszavak ,1. Derivatives,,n,surdok,rd not old/Gothic
város,1300,"1193 tn.,  13. sz.  eleje",beginning of   13. century  ,város,,"['borough', 'city', 'town']","borough, city, town",1. Származékszavak ,1. Derivatives,,n,vaːroʃ,^(j|m|s)?(w)(u|ɑ)(jr|r)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
áld,1372,"1193 tn., 1372 u.","1193 placename, after  1372 ",áld,,"['to bless, blest', 'to bless']","bless, blest, bless","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,v,aːld,"#a, ld# not old/Gothic"
egyház,1372,"1193 tn., 1372 u.","1193 placename, after  1372 ",egyház,,['church'],church,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,ɛɟhaːz,ɟh not old/Gothic
kel,1372,"1193 tn., 1372 u.","1193 placename, after  1372 ",kel1,,"['to rise, rose, risen']","rise, rose, risen","3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,v,kɛl,^(j|m|s)?(k)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
sárkány,1372,"1193 tn., 1372 u.","1193 placename, after  1372 ",sárkány,,"['brimstone', 'drake', 'vixen', 'wyvern']","brimstone, drake, vixen, wyvern",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,ʃaːrkaːɲ,"#ʃ, rk, ɲ# not old/Gothic"
kovács,1380,"1193 tn., 1380 k.","1193 placename, ca.  1380 ",kovács,,['forger'],forger,,,,n,kovaːt͡ʃ,t͡ʃ# not old/Gothic
agár,1395,"1193 tn., 1395 k.","1193 placename, ca.  1395 ",agár,,['greyhound'],greyhound,d) Nyugati szláv jövevényszavak (általában) ?,d) West Slavic newcomer words (usually)?,,n,ɒɡaːr,r# not old/Gothic
berek,1395,"1193 tn., 1395 k.","1193 placename, ca.  1395 ",berek,,"['grounds', 'grove']","grounds, grove",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,n,bɛrɛk,^(j|m|s)?(p)(e|o|æ)(jr|r)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
bivaly,1395,"1193 tn., 1395 k.","1193 placename, ca.  1395 ",bivaly,,['buffalo'],buffalo,,,,n,bivɒj,^(j|m|s)?(p)(e|i|o|u|æ)(j|m|ð|ŋ)(e|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
köböl,1395,"1193 tn., 1395 k.","1193 placename, ca.  1395 ",köböl,,measures of,measures_of,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,købøl,^(j|m|s)?(k)(e|i|æ|ɑ)(mp)(e|i|æ|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
szeder,1395,"1193 tn., 1395 k.","1193 placename, ca.  1395 ",szeder,,"['blackberry', 'mulberry']","blackberry, mulberry",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,sɛdɛr,r# not old/Gothic
ünő,1395,"1193 tn., 1395 k.","1193 placename, ca.  1395 ",ünő,,doe,doe,,,,r,ynøː,# not old/Gothic
görög,1405,"1193 tn., 1405 k.","1193 placename, ca.  1405 ",görög1,,"['to castor', 'Grecian']","castor, Grecian","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,a,ɡørøɡ,#ɡ not old/Gothic
konkoly,1405,"1193 tn., 1405 k.","1193 placename, ca.  1405 ",konkoly,,cockle,cockle,,,,n,konkoj,nk not old/Gothic
csörög,1536,"1193 tn., 1536","1193 placename,  1536",csörög,,"['to clank', 'to clink', 'to jangle', 'to jingle', 'to rattle']","clank, clink, jangle, jingle, rattle","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,t͡ʃørøɡ,#t͡ʃ not old/Gothic
homorú,1556,"1193 tn., 1556","1193 placename,  1556",homorú,,"['concave', 'convexo-concave', 'hollow']","concave, convexo-concave, hollow",1. Származékszavak ,1. Derivatives,,a,homoruː,u# not old/Gothic
atag,1193,1193,1193,-atag/-eteg,+,ATAG,ATAG,,,,n,ɒtɒɡ,^(j|m|s)?(o|ɑ)(kt|tk)(e|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
eteg,1193,1193,1193,-atag/-eteg,+,eteg,eteg,,,,n,ɛtɛɡ,^(j|m|s)?(e|i)(kt|tk)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
cser,1193,1193,1193,cser,,tern,tern,d) Déli szláv jövevényszavak (általában) ,d) South Slavic newcomer words (usually),,n,t͡ʃɛr,"#t͡ʃ, r# not old/Gothic"
i,1193,1193,1193,-i1,+,i,i,,,,r,i,#i# not old/Gothic
kútfő,1193,1193,1193,kútfő,,"['fount', 'parent']","fount, parent",13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,kuːtføː,tf not old/Gothic
ra,1193,1193,1193,-ra/-re,+,to,to,,,,n,rɒ,"#r, ɒ# not old/Gothic"
re,1193,1193,1193,-ra/-re,+,from,from,,,,n,rɛ,#r not old/Gothic
só,1194,1194,1194,-só/-ső,+,['salt'],salt,,,,n,ʃoː,#ʃ not old/Gothic
ső,1194,1194,1194,-só/-ső,+,salt,salt,,,,n,ʃøː,#ʃ not old/Gothic
juh,1372,"1198 tn. (?), 1372 u.","1198 placename (?), after  1372 ",juh,,['sheep'],sheep,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,juh,h# not old/Gothic
güzü,1395,"1198 tn. (?), 1395 k.","1198 placename (?), ca.  1395 ",güzü,,güzü,güzü,a) Török jövevényszavak általában ?,a) Turkish newcomers in general?,,n,ɡyzy,"#ɡ, y# not old/Gothic"
játék,1405,"1198 tn. (?), 1405 k.","1198 placename (?), ca.  1405 ",játék,,"['acting', 'action', 'backlash', 'clearance', 'game', 'play', 'quiz', 'shit', 'slack', 'sport']","acting, action, backlash, clearance, game, play, quiz, shit, slack, sport","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,jaːteːk,^(j|m|s)?(j)(u|ɑ)(kt|tk)(e|i|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
szökik,1405,"1198 tn. (?), 1405 k.","1198 placename (?), ca.  1405 ",szökik,,"['to escape', 'to fly, flew, flown', 'to spring, sprang, sprung']","escape, fly, flew, flown, spring, sprang, sprung",a) Török jövevényszavak általában ,a) Turkish newcomers in general,,v,søkik,k not old/Gothic
fitos,1604,"1198  tn.  (?),  1604","1198  placename  (?),   1604",fitos,,retrousse,retrousse,1. Származékszavak ,1. Derivatives,,n,fitoʃ,^(j|m|s)?(p)(e|i|o|u|æ)(kt|tk)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
bök,1673,"1198  tn.  (?),  1673","1198  placename  (?),   1673",bök,,"['to jog', 'to prickle', 'to stab']","jog, prickle, stab",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,v,bøk,^(j|m|s)?(p)(e|i|æ|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
kuka,1745,"1198  tn.  (?),  1745 k.","1198  placename  (?), ca.   1745 ",kuka1,,"['close-mouthed', 'dumb as a fish', 'dumpster', 'tongue-tied']","close-mouthed, dumb_as_a_fish, dumpster, tongue-tied",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,n,kukɒ,"k, ɒ# not old/Gothic"
hamar,1300,"1198 tn.,  13. sz.  eleje",beginning of   13. century  ,hamar,,['soon'],soon,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,r,hɒmɒr,r# not old/Gothic
kamara,1372,"1198 tn.,  1372 u.","1198 placename, after   1372 ",kamara,,chamber,chamber,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,kɒmɒrɒ,ɒ# not old/Gothic
süket,1372,"1198 tn.,  1372 u.","1198 placename, after   1372 ",süket,,"['deaf', 'dim-witted']","deaf, dim-witted",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,a,ʃykɛt,"#ʃ, k not old/Gothic"
emlő,1395,"1198 tn.,  1395 k.","1198 placename, ca.   1395 ",emlő,,"['breast', 'dug', 'teat']","breast, dug, teat",1. Származékszavak ,1. Derivatives,,n,ɛmløː,^(j|m|s)?(e|i)(m)(e)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
szömörcsög,1395,"1198 tn.,  1395 k.","1198 placename, ca.   1395 ",szömörcsög,,szömörcsög,szömörcsög,,,,n,sømørt͡ʃøɡ,rt͡ʃ not old/Gothic
lakik,1300,"1198 tn.,  a  13. sz.  eleje",beginning of   a  13. century  ,lakik1,,"['to abide', 'to dwell, dwelt', 'to house', 'to inhabit', 'to live', 'to lodge', 'to range in', 'to reside', 'to room']","abide, dwell, dwelt, house, inhabit, live, lodge, range_in, reside, room",,,,v,lɒkik,k not old/Gothic
l,1198,1198,1198,-l1,+,l,l,,,,r,l,#l# not old/Gothic
kárász,1395,"1199 tn. (?), 1395 k.","1199 placename (?), ca.  1395 ",kárász,,crucian,crucian,,,,n,kaːraːs,s# not old/Gothic
príma,1474,"1199 tn. (?), 1474","1199 placename (?),  1474",príma,,"['classy', 'prime', 'top notch']","classy, prime, top_notch",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,priːmɒ,"#pr, ɒ# not old/Gothic"
buta,1577,"1199 tn. (?), 1577","1199 placename (?),  1577",buta,,"[""to be out of one's skull"", 'to be ten pence a shilling', 'blunt', 'bovine', 'brainless', 'dead above the ears', 'dim-witted', 'doltish', 'dull', 'dumb', 'dumbshit', 'fatuous', 'foolish', 'heavy', 'insensible', 'mindless', 'obtuse', 'shit-brained', 'silly', 'stupid', 'thick']","""be_out_of_ones_skull"", be_ten_pence_a_shilling, blunt, bovine, brainless, dead_above_the_ears, dim-witted, doltish, dull, dumb, dumbshit, fatuous, foolish, heavy, insensible, mindless, obtuse, shit-brained, silly, stupid, thick",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,a,butɒ,ɒ# not old/Gothic
pina,1794,"1199 tn. (?), 1794 k.","1199 placename (?), ca.  1794 ",pina,,"['ass', 'cunt', 'futz', 'slit', 'tail']","ass, cunt, futz, slit, tail",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,pinɒ,"#p, ɒ# not old/Gothic"
rák,1395,"1199 tn., 1395 k.","1199 placename, ca.  1395 ",rák,,"['cancer', 'crab', 'crawfish, crawfish', 'crayfish, crayfish']","cancer, crab, crawfish, crawfish, crayfish, crayfish",,,,n,raːk,#r not old/Gothic
sügér,1435,"1199 tn., 1435 k.","1199 placename, ca.  1435 ",sügér,,"['bass', 'perch']","bass, perch",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,ʃyɡeːr,"#ʃ, r# not old/Gothic"
aszt,1200,12 sz. vége,end of 12 century ,-aszt/-eszt,+,asthma,asthma,,,,r,ɒst,st# not old/Gothic
eszt,1200,12 sz. vége,end of 12 century ,-aszt/-eszt,+,Estonian,Estonian,,,,a,ɛst,st# not old/Gothic
mi,1200,12 sz. vége,end of 12 century ,mi1,,['what'],what,"1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,r,mi,i# not old/Gothic
ad,1200,"12. sz. tn. (?), 12. sz. vége",end of  12. century ,ad,,"['to accord', 'to afford', 'to allow', 'to concede', 'to contribute', 'to extend', 'to furnish', 'to gift', 'to give, gave, given', 'to hand', 'to inflict', 'to lend, lent', 'to provide', 'to render', 'to yield']","accord, afford, allow, concede, contribute, extend, furnish, gift, give, gave, given, hand, inflict, lend, lent, provide, render, yield","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,v,ɒd,^(j|m|s)?(o|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
gyökér,1300,"12. sz.  tn.  (?),  13. sz.  eleje",beginning of   13. century  ,gyökér,,"['root', 'roots']","root, roots","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,n,ɟøkeːr,"#ɟ, k, r# not old/Gothic"
orom,1405,"12. sz.  tn.  (?),  1405 k.","12. century  placename  (?), ca.   1405 ",orom,,"['gable', 'head', 'peak', 'pinnacle', 'ridge', 'spire', 'summit', 'top', 'vertex', 'vertex, vertices']","gable, head, peak, pinnacle, ridge, spire, summit, top, vertex, vertex, vertices",1. Származékszavak ,1. Derivatives,,n,orom,"#o, m# not old/Gothic"
zsilip,1264,"12. sz. tn.,  1264","12. century placename,   1264",zsilip,,"['flood gate', 'sluice', 'sluice gate', 'sluice valve']","flood_gate, sluice, sluice_gate, sluice_valve",d) Déli szláv jövevényszavak (általában) ,d) South Slavic newcomer words (usually),,n,ʒilip,#ʒ not old/Gothic
ja,1213,12. sz.  vége  13. sz. eleje,beginning of 12. century  vége  13. century ,-ja/-i,+,ja,ja,,,,a,jɒ,ɒ# not old/Gothic
i,1213,12. sz.  vége  13. sz. eleje,beginning of 12. century  vége  13. century ,-ja/-i,+,i,i,,,,r,i,#i# not old/Gothic
ba,1372,"12. sz. vége, 1372 u.","end of 12. century , after  1372 ",-ba/-be,+,into,into,,,,r,bɒ,ɒ# not old/Gothic
be,1372,"12. sz. vége, 1372 u.","end of 12. century , after  1372 ",-ba/-be,+,"['inboard', 'on']","inboard, on",,,,r,bɛ,^(j|m|s)?(p)(ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
játok,1372,"12. sz. vége, 1372 u.","end of 12. century , after  1372 ",-játok/-itek,+,games,games,,,,n,jaːtok,^(j|m|s)?(j)(u|ɑ)(kt|tk)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
itek,1372,"12. sz. vége, 1372 u.","end of 12. century , after  1372 ",-játok/-itek,+,Itek,Itek,,,,v,itɛk,^(j|m|s)?(i)(kt|tk)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
lélek,1200,12. sz. vége,end of 12. century ,lélek,,"['breast', 'critter', 'ghost', 'metal', 'mind', 'psyche', 'soul', 'spirit']","breast, critter, ghost, metal, mind, psyche, soul, spirit",,,,n,leːlɛk,^(j|m|s)?(l)(e|i|æ)(l|lk|m|ð)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
a,1200,12. sz. vége,end of 12. century ,-a/-e2,+,the,the,,,,r,ɒ,#ɒ# not old/Gothic
e,1200,12. sz. vége,end of 12. century ,-a/-e2,+,e,e,,,,r,ɛ,#ɛ# not old/Gothic
a,1200,12. sz. vége,end of 12. century ,-a/-e3,+,the,the,,,,r,ɒ,#ɒ# not old/Gothic
e,1200,12. sz. vége,end of 12. century ,-a/-e3,+,e,e,,,,r,ɛ,#ɛ# not old/Gothic
a,1200,12. sz. vége,end of 12. century ,-a/-e4,+,the,the,,,,r,ɒ,#ɒ# not old/Gothic
e,1200,12. sz. vége,end of 12. century ,-a/-e4,+,e,e,,,,r,ɛ,#ɛ# not old/Gothic
á,1200,12. sz. vége,end of 12. century ,-á/-é1,+,the,the,,,,r,aː,#a# not old/Gothic
é,1200,12. sz. vége,end of 12. century ,-á/-é1,+,é,é,,,,r,eː,#e# not old/Gothic
á,1200,12. sz. vége,end of 12. century ,-á/-é2,+,the,the,,,,r,aː,#a# not old/Gothic
é,1200,12. sz. vége,end of 12. century ,-á/-é2,+,é,é,,,,r,eː,#e# not old/Gothic
al,1200,12. sz. vége,end of 12. century ,-al/-el~-ál/-él1,+,al,al,,,,n,ɒl,^(j|m|s)?(o|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
el,1200,12. sz. vége,end of 12. century ,-al/-el~-ál/-él1,+,"['aside', 'away', 'clear', 'off', 'past', 'way']","aside, away, clear, off, past, way",,,,r,ɛl,^(j|m|s)?(e|i)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
ál,1200,12. sz. vége,end of 12. century ,-al/-el~-ál/-él1,+,"['simulated', 'spurious', 'surreptitious']","simulated, spurious, surreptitious",,,,a,aːl,#a not old/Gothic
él,1200,12. sz. vége,end of 12. century ,-al/-el~-ál/-él1,+,"['crease', 'cutting edge', 'edge', 'to exist', 'face', 'head', 'ledge', 'to live', 'poignancy', 'to subsist']","crease, cutting_edge, edge, exist, face, head, ledge, live, poignancy, subsist",,,,v,eːl,^(j|m|s)?(e)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
alom,1200,12. sz. vége,end of 12. century ,-alom/-elem,+,['litter'],litter,,,,n,ɒlom,m# not old/Gothic
elem,1200,12. sz. vége,end of 12. century ,-alom/-elem,+,"['battery', 'cell', 'element', 'elementary body', 'simple body']","battery, cell, element, elementary_body, simple_body",,,,n,ɛlɛm,m# not old/Gothic
and,1200,12. sz. vége,end of 12. century ,-and/-end,+,and,and,,,,r,ɒnd,nd# not old/Gothic
end,1200,12. sz. vége,end of 12. century ,-and/-end,+,end,end,,,,r,ɛnd,nd# not old/Gothic
arkangyal,1200,12. sz. vége,end of 12. century ,arkangyal,,['archangel'],archangel,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,r,ɒrkɒnɟɒl,"rk, nɟ not old/Gothic"
at,1200,12. sz. vége,end of 12. century ,-at/-et2,+,at,at,,,,r,ɒt,^(j|m|s)?(o|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
et,1200,12. sz. vége,end of 12. century ,-at/-et2,+,et,et,,,,n,ɛt,^(j|m|s)?(e|i)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
az,1200,12. sz. vége,end of 12. century ,az,,"['it', 'that', 'that one', 'which']","it, that, that_one, which",,,,r,ɒz,^(j|m|s)?(o|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
ban,1200,12. sz. vége,end of 12. century ,-ban/-ben,+,in,in,,,,n,bɒn,^(j|m|s)?(p)(e|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
ben,1200,12. sz. vége,end of 12. century ,-ban/-ben,+,in,in,,,,n,bɛn,^(j|m|s)?(p)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
bele,1200,12. sz. vége,end of 12. century ,bele,,['into'],into,3. Megszilárdult ragos alak ,3. Solidified sticky shape,,r,bɛlɛ,^(j|m|s)?(p)(e|o|æ)(l|lk|m|ð)(ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
belül,1200,12. sz. vége,end of 12. century ,belül,,"['in', 'inboard', 'inside', 'internally', 'intro-', 'on the inside', 'within']","in, inboard, inside, internally, intro-, on_the_inside, within",3. Megszilárdult ragos alak ,3. Solidified sticky shape,,r,bɛlyl,^(j|m|s)?(p)(e|o|æ)(l|lk|m|ð)(i|æ|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
bírság,1200,12. sz. vége,end of 12. century ,bírság,,"['fine', 'forfeit', 'penalty', 'Scot']","fine, forfeit, penalty, Scot",1. Származékszavak ,1. Derivatives,,n,biːrʃaːɡ,rʃ not old/Gothic
bocsát,1200,12. sz. vége,end of 12. century ,bocsát,,release,release,b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,v,bot͡ʃaːt,t͡ʃ not old/Gothic
ból,1200,12. sz. vége,end of 12. century ,-ból/-ből,+,from,from,,,,n,boːl,^(j|m|s)?(p)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
ből,1200,12. sz. vége,end of 12. century ,-ból/-ből,+,from,from,,,,n,bøːl,^(j|m|s)?(p)(e|i|æ|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
