word,year,info,disambiguated,suffix,en,orig,pos_hun,wordipa
térd,1372,1372 u.,térd,,['knee'],b) Csuvasos típusú jövevényszavak ,n,teːrd
terít,1372,1372 u.,terít,,"['to extend', ""to lay down one's hand"", 'to spread out', 'to stretch out']",,v,tɛriːt
terjed,1372,1372 u.,terjed,,"['to be propagated', 'to catch on', 'to circulate', 'to diffuse', 'to extend', 'to make way', 'to multiply', 'to propagate', 'to range', 'to run, ran, run', 'to spread', 'to travel']",,v,tɛrjɛd
természet,1372,1372 u.,természet,,"['disposition', 'nature']",,n,tɛrmeːsɛt
tétova,1372,1372 u.,tétova,,['vague'],13. Szóösszetétellel keletkezett szavak ,a,teːtovɒ
tetszik,1372,1372 u.,tetszik,,"['to like', 'to list', 'to please', 'to relish']",1. Származékszavak ,v,tɛtsik
tévelyeg,1372,1372 u.,tévelyeg,,['to err'],"3. Ősi, ugor kori szavak ",v,teːvɛjɛɡ
tied,1372,1372 u.,tied,,['thine'],,a,tiɛd
tisztel,1372,1372 u.,tisztel,,"['to esteem', 'to fear', 'to honor', 'to honour', 'to prise', 'to respect', 'to revere', 'to reverence', 'to value', 'to venerate']",1. Származékszavak ?,v,tistɛl
tizenkettő,1372,1372 u.,tizenkettő,,['twelve'],,v,tizɛnkɛttøː
tova,1372,1372 u.,tova,,,,r,tovɒ
több,1372,1372 u.,több,,"['a few', 'more', 'plus', 'several', 'some']",,r,tøbb
tökél,1372,1372 u.,tökél,,,,v,tøkeːl
történik,1372,1372 u.,történik,,"['to befall, befell, befallen', 'to betide', 'to come, came, come', 'to come to pass', 'to hap', 'to happen', 'to pass', 'to transpire']",G) ISMERETLEN EREDETŰ SZAVAK ,v,tørteːnik
tulajdon,1372,1372 u.,tulajdon,,"['holding', 'own', 'ownership', 'peculiar', 'property', 'proper', 'propriety']",,n,tulɒjdon
tűz,1372,1372 u.,tűz2,,"['fire', 'firing', 'light', 'pep', 'to pin', 'stake', 'to stick, stuck', 'to stitch', 'to zap']","3. Ősi, ugor kori szavak ",v,tyːz
ugat,1372,1372 u.,ugat,,"['to bark', 'to bay', 'to bow-wow', 'to cry', 'to yap', 'to yelp', 'to yip']",,v,uɡɒt
ujj,1372,1372 u.,ujj1,,"['digit', 'finger']",,n,ujj
uk,1372,1372 u.,-uk/-ük2,+,,,r,uk
ük,1372,1372 u.,-uk/-ük2,+,,,r,yk
unszol,1372,1372 u.,unszol,,"['to press forward', 'to press on', 'to prod', 'to put on', 'to urge']",1. Származékszavak ?,v,unsol
után,1372,1372 u.,után,,"['after', 'past']",3. Megszilárdult ragos alak ,r,utaːn
utolsó,1372,1372 u.,utolsó,,"['extreme', 'final', 'last', 'ultimate']",1. Származékszavak ,a,utolʃoː
ünnep,1372,1372 u.,ünnep,,"['feast', 'festivity', 'holiday']",13. Szóösszetétellel keletkezett szavak ,n,ynnɛp
üvölt,1372,1372 u.,üvölt,,"['to bawl', 'to bellow', 'to blast', 'to howl', 'to roar', 'to squall', 'to ululate', 'to wail']",,v,yvølt
űz,1372,1372 u.,űz,,"['to chase', 'to conjure', 'to drive, drove, driven', 'to exercise', 'to follow', 'to gun for', 'to ply', 'to practice', 'to practise', 'to pursue', 'to tag']","3. Ősi, ugor kori szavak ?",v,yːz
üzen,1372,1372 u.,üzen,,"['to message', 'to send word']",,v,yzɛn
vagy,1372,1372 u.,vagy,,['else'],9. Szófajváltással keletkezett szavak ,r,vɒɟ
vakar,1372,1372 u.,vakar,,"['to clip', 'to curry', 'to groom', 'to rub', 'to scratch']",,a,vɒkɒr
vakmerő,1372,1372 u.,vakmerő,,"['adventurous', 'audacious', 'daring', 'foolhardy', 'intrepid', 'nervy', 'reckless']",13. Szóösszetétellel keletkezett szavak ,a,vɒkmɛrøː
valaki,1372,1372 u.,valaki,,"['any', 'anybody', 'one', 'person', 'somebody', 'somebody or other']",13. Szóösszetétellel keletkezett szavak ,r,vɒlɒki
vall,1372,1372 u.,vall,,"['to come across', 'to evidence', 'to profess', ""to spill one's guts""]",10. Szóhasadással keletkezett szavak ,v,vɒll
váll,1372,1372 u.,váll,,['shoulder'],,n,vaːll
ván,1372,1372 u.,-ván/-vén,+,,,r,vaːn
vén,1372,1372 u.,-ván/-vén,+,['old'],,r,veːn
vánkos,1372,1372 u.,vánkos,,"['bolster', 'cushion', 'pillow']",,a,vaːnkoʃ
végig,1372,1372 u.,végig,,"['all along', 'all over', 'over', 'to the last', 'through', 'till the last']",3. Megszilárdult ragos alak ,r,veːɡiɡ
vers,1372,1372 u.,vers,,"['lines', 'numbers', 'piece of poetry', 'poem', 'rhyme', 'verse']",,n,vɛrʃ
veszt,1372,1372 u.,veszt,,,1. Származékszavak ,v,vɛst
vetélkedik,1372,1372 u.,vetélkedik,,"['to emulate', 'to rival']",1. Származékszavak ,v,vɛteːlkɛdik
vetkőzik,1372,1372 u.,vetkőzik,,,1. Származékszavak ,v,vɛtkøːzik
vezér,1372,1372 u.,vezér,,"['captain', 'chief', 'cock of the school', 'cock of the walk', 'top']",,n,vɛzeːr
viasz,1372,1372 u.,viasz,,['wax'],c) Szlovén jövevényszavak ?,n,viɒs
vidék,1372,1372 u.,vidék,,"['boonies', 'countryside', 'environs', 'land', 'landscape', 'region', 'spot', 'territory', 'tract']",G) ISMERETLEN EREDETŰ SZAVAK ,n,videːk
vidul,1372,1372 u.,vidul,,,,v,vidul
vigasztal,1372,1372 u.,vigasztal,,"['to comfort', 'to console']",,v,viɡɒstɒl
vigília,1372,1372 u.,vigília,,,,r,viɡiːliɒ
vigyáz,1372,1372 u.,vigyáz,,"['to attend', ""to be on one's guard"", 'to look out', 'to mind', 'to pay attention', 'to see after', ""to stand on one's guard""]","2. Ősi, finnugor kori szavak ",v,viɟaːz
virrad,1372,1372 u.,virrad,,['to dawn'],,v,virrɒd
visz,1372,1372 u.,visz,,"['to actuate', 'to bear, bore, borne', 'to carry', 'to convey', 'to direct', 'to land', 'to propagate', 'to put, put', 'to take, took, taken', 'to tote']","2. Ősi, finnugor kori szavak ",v,vis
von,1372,1372 u.,von,,"['to carry', 'to draw, drew, drawn', 'to hale', 'to pull', 'to pull on']",G) ISMERETLEN EREDETŰ SZAVAK ,v,von
zördül,1372,1372 u.,zördül,,,"1. Hangutánzó, hangfestő szavak ",a,zørdyl
zsoltár,1372,1372 u.,zsoltár,,['psalm'],4. Bajor jövevényszavak ,n,ʒoltaːr
látogat,1372,1372 u.,látogat,,"['to attend', 'to spook', 'to visit']",,v,laːtoɡɒt
le,1372,1372 u.,le,,"['below', 'down', 'off']",,r,lɛ
legenda,1372,1372 u.,legenda,,['legend'],1. Latin jövevényszavak általában ,n,lɛɡɛndɒ
amlik,1372,1372 u,-amlik/-emlik,+,,,n,ɒmlik
emlik,1372,1372 u,-amlik/-emlik,+,,,n,ɛmlik
szor,1372,1372 u,-szor/-szer/-ször,+,,,v,sor
szer,1372,1372 u,-szor/-szer/-ször,+,,,n,sɛr
ször,1372,1372 u,-szor/-szer/-ször,+,,,n,sør
leg-,1372,1372,leg-,,,F) VITATOTT EREDETŰ SZAVAK ,r,lɛɡ-
gerinc,1575,"1373 tn. (?),  1575",gerinc,,"['backbone', 'ridge', 'saddle', 'spine', 'stagnation']",1. Származékszavak ?,n,ɡɛrint͡s
csillag,1416,"1373 tn.,  1416 u.",csillag,,"['asterisk', 'star']",,n,t͡ʃillɒɡ
ketrec,1373,1373,ketrec,,"['coop', 'hutch', 'pen']",c) Szlovák jövevényszavak ,n,kɛtrɛt͡s
tömlő,1404,"1374  tn.  (?),  1404",tömlő,,"['fire hose', 'hose', 'hose-pipe', 'manifold', 'sac']",F) VITATOTT EREDETŰ SZAVAK ,n,tømløː
sűrű,1372,"1374 tn.,  1372 u.",sűrű,,"['bushy', 'chunky', 'close', 'consistent', 'dense', 'rank', 'serried', 'stiff', 'thick', 'thicket']",,a,ʃyːryː
eretnek,1456,"1375 tn., 1456 k.",eretnek,,"['heretic', 'heretical']",1. Olasz (többnyire északolasz) jövevényszavak ,a,ɛrɛtnɛk
garázda,1519,"1375 tn., 1519",garázda,,"['riotous', 'rowdy', 'ruffianly', 'truculent']",,a,ɡɒraːzdɒ
uzsora,1416,"1376 tn., 1416 u.",uzsora,,"['extortionate', 'usury']",1. Latin jövevényszavak általában ,n,uʒorɒ
né,1376,1376,-né,+,,,n,neː
délceg,1377,1377,délceg,,,G) ISMERETLEN EREDETŰ SZAVAK ,r,deːlt͡sɛɡ
kilenc,1405,"1378 tn., 1405 k.",kilenc,,['nine'],I. Permi jövevényszavak ?,r,kilɛnt͡s
ánizs,1378,1378,ánizs,,,,n,aːniʒ
huszár,1378,1378,huszár,,['cavalryman'],,n,husaːr
lajt,1533,"1379  (?),  1533",lajt,,,4. Bajor jövevényszavak ,v,lɒjt
ángy,1380,1380 k.,ángy,,,,n,aːnɟ
cafrang,1380,1380 k.,cafrang,,,1. Származékszavak ,n,t͡sɒfrɒnɡ
erszény,1380,1380 k.,erszény,,['pouch'],,n,ɛrseːɲ
hüvely,1380,1380 k.,hüvely,,"['barrel', 'cod', 'hull', 'husk', 'pod', 'scabbard', 'sheath', 'shuck', 'sleeve', 'vagina, vaginae', 'vagina']",1. Származékszavak ,n,hyvɛj
ipa,1380,1380 k.,ipa,,,,r,ipɒ
kapca,1380,1380 k.,kapca,,,,n,kɒpt͡sɒ
menyegző,1380,1380 k.,menyegző,,['nuptials'],,n,mɛɲɛɡzøː
nadrág,1380,1380 k.,nadrág,,"['a pair of trousers', 'breeches', 'britches', 'drainpipes', 'nether garments', 'pair of trousers', 'pants', 'shorts', 'slacks', 'trousers']",,n,nɒdraːɡ
nyél,1380,1380 k.,nyél,,"['barrel', 'grip', 'haft', 'handle', 'mounting', 'pole', 'shaft', 'stem', 'stock', 'tiller']","1. Ősi, uráli kori szavak ",n,ɲeːl
rest,1380,1380 k.,rest,,"['languid', 'slothful', 'sluggard']",1. Olasz (többnyire északolasz) jövevényszavak ,n,rɛʃt
sarkantyú,1380,1380 k.,sarkantyú,,"['bleeders', 'breakwater', 'heel', 'spur']",1. Származékszavak ,n,ʃɒrkɒncuː
számszeríj,1380,1380 k.,számszeríj,,['crossbow'],,n,saːmsɛriːj
szándék,1380,1380 k.,szándék,,"['aim', 'counsel', 'design', 'determination', 'drift', 'intent', 'intention', 'meaning', 'mind', 'motion', 'notion', 'object', 'pretence', 'purport', 'purpose', 'resolution', 'resolve', 'tenor', 'thought', 'whereabouts', 'will']",,n,saːndeːk
székfű,1380,1380 k.,székfű,,,,n,seːkfyː
vékony,1380,1380 k.,vékony,,"['attenuate', 'fine', 'flimsy', 'lank', 'sheer', 'sleazy', 'slight', 'slim', 'tenuous', 'thin', 'wispy']","2. Ősi, finnugor kori szavak ",a,veːkoɲ
kalauz,1538,"1380 tn., 1538",kalauz,,"['conductor', 'guide', 'jumper', 'pilot', 'ticket inspector']","a) Besenyő, kun jövevényszavak ",n,kɒlɒuz
atlasz,1380,1380,atlasz1,,['atlas'],,n,ɒtlɒs
ány,1380,1380 k.,-ány/-ény2,+,,,r,aːɲ
ény,1380,1380 k.,-ány/-ény2,+,,,n,eːɲ
serleg,1402,"1381 tn. (?), 1402",serleg,,"['beaker', 'chalice', 'cup', 'mug', 'noria scoop', 'pot', 'stoop']",,a,ʃɛrlɛɡ
csutka,1604,"1381 tn. (?), 1604",csutka,,['butt'],,n,t͡ʃutkɒ
tunya,1456,"1381 tn., 1456 k.",tunya,,"['bovine', 'inert', 'laggard', 'languid', 'lazy', 'slack', 'slothful', 'sluggish', 'sluggard', 'torpid', 'vacant']",b) Horvát-szerb jövevényszavak ?,n,tuɲɒ
csoport,1536,"1382 tn (?), 1536",csoport,,"['band', 'bank', 'battery', 'bevy', 'bunch', 'clump', 'cluster', 'colony', 'company', 'gang', 'group', 'knot', 'number', 'party', 'platoon', 'posse', 'rating', 'section', 'set', 'team', 'troop', 'wing']",,n,t͡ʃoport
asztalnok,1405,"1382 tn.,  1405 k.",asztalnok,,,,n,ɒstɒlnok
lándzsa,1384,1384,lándzsa,,"['assegai', 'lance', 'pike', 'shaft', 'spear']",,n,laːnd͡ʒɒ
legel,1456,"1386 tn.,  1456 k.",legel,,"['to browse', 'to graze', 'to pasture']",,v,lɛɡɛl
zsombék,1619,"1386 tn.,  1619",zsombék,,,1. Származékszavak ?,n,ʒombeːk
bakacsin,1387,1387,bakacsin,,,,n,bɒkɒt͡ʃin
képes,1456,"1388  tn.  (?),  1456 k.",képes,,"['able', 'capable', 'susceptible']",,a,keːpɛʃ
bodnár,1584,"1388 tn.,  1584",bodnár,,,,n,bodnaːr
gúnya,1586,"1388 tn.,  1586",gúnya,,,,n,ɡuːɲɒ
darázs,1395,"1389  tn.  (?), 1395 k.",darázs,,['wasp'],G) ISMERETLEN EREDETŰ SZAVAK ,n,dɒraːʒ
varga,1500,"1389  tn.  (?),  1500 k.",varga,,,,n,vɒrɡɒ
kosz,1522,"1389  tn.  (?),  1522",kosz,,['mange'],"1. Hangutánzó, hangfestő szavak ?",n,kos
érsek,1405,"1389 tn.,  1405 k.",érsek,,"['archbishop', 'hierarch', 'metropolitan']",F) VITATOTT EREDETŰ SZAVAK ,n,eːrʃɛk
házsártos,1405,"1389 tn.,  1405 k.",házsártos,,"['cantankerous', 'crabby', 'frumpish', 'gruff', 'pugnacious', 'quarrelsome', 'rambunctious', 'scold', 'shrewd', 'vixenish', 'vixenly']",,a,haːʒaːrtoʃ
bulla,1495,"1389 tn., 1495 e.",bulla,,['bull'],1. Latin jövevényszavak általában ,n,bullɒ
kocsmáros,1527,"1389 tn., 1527",kocsmáros,,"['innkeeper', 'publican', 'saloon-keeper', 'tapster']",,n,kot͡ʃmaːroʃ
bosnyák,1693,"1389 tn., 1693",bosnyák,,,,n,boʃɲaːk
üszög,1395,"1390 tn., 1395 k.",üszög,,"['blight', 'mildew', 'mole', 'necrosis', 'rust']",G) ISMERETLEN EREDETŰ SZAVAK ,n,ysøɡ
elöljáró,1519,"1390 tn., 1519",elöljáró,,"['alderman, aldermen', 'premisory', 'principal', 'provost', 'superior']",,n,ɛløljaːroː
gálickő,1516,"1391  tn.  (?),  1516 k.",gálickő,,,,n,ɡaːlit͡skøː
macskaszem,1585,"1391 tn.,  1585",macskaszem,,"[""cat's eyes"", 'pavement reflector', 'reflector']",,n,mɒt͡ʃkɒsɛm
hordó,1391,1391,hordó,,"['barrel', 'butt', 'cask', 'keg']",,n,hordoː
tafota,1391,1391,tafota,,,1. Olasz (többnyire északolasz) jövevényszavak ,v,tɒfotɒ
kúszik,1801,"1392  tn.  (?), 1801",kúszik,,"['to clamber', 'to climb', 'to crawl', 'to creep, crept', 'to scramble', 'to trail']",,v,kuːsik
tömpe,1780,"1392  tn.  (?),1780",tömpe,,,10. Szóhasadással keletkezett szavak ,v,tømpɛ
sör,1395,"1392 tn.,  1395 k.",sör,,"['beer', 'hops', 'John Barleycorn', 'malt liquor', 'slosh']",D) VÁNDORSZÓK ,n,ʃør
bognár,1716,"1392 tn.,  1716",bognár,,,7. Hazai német jövevényszavak ,n,boɡnaːr
javas,1739,"1392 tn.,  1739",javas,,,1. Származékszavak ,n,jɒvɒʃ
zabla,1395,"1393 tn. (?), 1395 k.",zabla,,"['bit', 'curb']",,n,zɒblɒ
szablya,1479,"1393 tn. (?), 1479",szablya,,"['saber', 'sabre']",D) VÁNDORSZÓK ,n,sɒbjɒ
pózna,1551,"1393 tn. (?), 1551",pózna,,"['line pole', 'line post', 'peg', 'pole', 'spar', 'stake']",,n,poːznɒ
borbély,1480,"1393 tn., 1480",borbély,,"['barber', 'flash-house']",D) VÁNDORSZÓK ,n,borbeːj
cakó,1565,"1394 tn.  (?),  1565",cakó,,,,n,t͡sɒkoː
hegedű,1405,"1394 tn.,  1405 k.",hegedű,,"['fiddle', 'violin']",,n,hɛɡɛdyː
kontár,1525,"1394 tn.,  1525",kontár,,"['bungler', 'cobbler', 'dabbler', 'scamper', 'tinker', 'unworkmanlike']",1. Német jövevényszavak általában ?,a,kontaːr
irha,1405,"1395 k.  (?),  1405 k.",irha,,"['hide', 'pelt', 'true skin']",1. Német jövevényszavak általában ,n,irhɒ
férj,1416,"1395 k.  (?), 1416 u.",férj,,"['husband', 'man, men', 'old man']",,n,feːrj
küzd,1416,"1395 k.  (?), 1416 u.",küzd,,"['to battle', 'to be up against sg', 'to combat', 'to contend', 'to contest', 'to fight, fought', 'to fray', 'to strive, strove, striven', 'to struggle', 'to war', 'to wrestle']",,v,kyzd
kapocs,1450,"1395 k. (?), 1450 k.",kapocs,,"['brace', 'buckle', 'clam', 'clamp', 'clasp', 'clench', 'clip', 'fastener', 'hasp', 'hook and eye', 'key', 'Morse', 'strap', 'terminal']",,n,kɒpot͡ʃ
lélegzik,1506,"1395 k. (?), 1506",lélegzik,,"['to breathe', 'to respire', 'to take breath']",F) VITATOTT EREDETŰ SZAVAK ,v,leːlɛɡzik
tetemes,1577,"1395 k. (?), 1577",tetemes,,"['considerable', 'huge']",1. Származékszavak ,a,tɛtɛmɛʃ
sül,1405,"1395 k. (?),  1405 k.",sül,,"['to cook', 'to frizzle', 'to fry']",1. Származékszavak ,v,ʃyl
var,1405,"1395 k. (?),  1405 k.",var,,"['crust', 'scab']",,r,vɒr
ál,1395,1395 k.,-ál/-él2,+,"['simulated', 'spurious', 'surreptitious']",,a,aːl
él,1395,1395 k.,-ál/-él2,+,"['crease', 'cutting edge', 'edge', 'to exist', 'face', 'head', 'ledge', 'to live', 'poignancy', 'to subsist']",,v,eːl
ár,1395,1395 k.,ár2,,"['auger', 'cost', 'current', 'flood', 'flow', 'high water', 'price', 'pricker', 'prodding tool', 'puncheon', 'rate', 'stream', 'torrent', 'water', 'waves']","2. Ősi, finnugor kori szavak ",n,aːr
árvíz,1395,1395 k.,árvíz,,"['flood', 'freshet', 'inundation']",13. Szóösszetétellel keletkezett szavak ,n,aːrviːz
asztag,1395,1395 k.,asztag,,['stack'],,n,ɒstɒɡ
bajvívás,1395,1395 k.,bajvívás,,,13. Szóösszetétellel keletkezett szavak ,n,bɒjviːvaːʃ
barack,1395,1395 k.,barack,,,,n,bɒrɒt͡sk
béklyó,1395,1395 k.,béklyó,,"['bands', 'clog', 'cramp', 'fetter', 'hobble', 'shackle', 'side line']",a) Török jövevényszavak általában ?,n,beːkjoː
béles,1395,1395 k.,béles,,,,n,beːlɛʃ
bélés,1395,1395 k.,bélés,,"['lining', 'welt']",1. Származékszavak ,n,beːleːʃ
berill,1395,1395 k.,berill,,,,n,bɛrill
birsalma,1395,1395 k.,birsalma,,['quince'],13. Szóösszetétellel keletkezett szavak ,n,birʃɒlmɒ
bocskor,1395,1395 k.,bocskor,,['sandal'],1. Német jövevényszavak általában ?,n,bot͡ʃkor
cédrus,1395,1395 k.,cédrus,,,1. Latin jövevényszavak általában ,n,t͡seːdruʃ
cet,1395,1395 k.,cet,,['whale'],1. Latin jövevényszavak általában ,n,t͡sɛt
csákány,1395,1395 k.,csákány,,"['hack', 'hacker', 'pecker', 'pick', 'pickax', 'pickaxe', 'picker', 'pike']","a) Besenyő, kun jövevényszavak ?",n,t͡ʃaːkaːɲ
cséphadaró,1395,1395 k.,cséphadaró,,"['flail', 'flapper']",,n,t͡ʃeːphɒdɒroː
csésze,1395,1395 k.,csésze,,"['boat', 'cup']",,a,t͡ʃeːsɛ
csoroszlya,1395,1395 k.,csoroszlya,,,,n,t͡ʃorosjɒ
denevér,1395,1395 k.,denevér,,['bat'],G) ISMERETLEN EREDETŰ SZAVAK ,n,dɛnɛveːr
egér,1395,1395 k.,egér,,"['mouse, mice']","2. Ősi, finnugor kori szavak ",n,ɛɡeːr
egres,1395,1395 k.,egres,,['gooseberry'],1. Olasz (többnyire északolasz) jövevényszavak ,n,ɛɡrɛʃ
elefánt,1395,1395 k.,elefánt,,['elephant'],,n,ɛlɛfaːnt
eszköz,1395,1395 k.,eszköz,,"['appliance', 'contrivance', 'implement', 'instrument', 'lever', 'leverage', 'resort', 'tool', 'utensil', 'vehicle']",,n,ɛskøz
evez,1395,1395 k.,evez,,"['to paddle', 'to pull', 'to pull a boat', 'to pull an oar', 'to row', 'to scull', 'to scull a boat']","2. Ősi, finnugor kori szavak ?",a,ɛvɛz
ezerjófű,1395,1395 k.,ezerjófű,,,13. Szóösszetétellel keletkezett szavak ,n,ɛzɛrjoːfyː
fácán,1395,1395 k.,fácán,,['pheasant'],1. Olasz (többnyire északolasz) jövevényszavak ,n,faːt͡saːn
fagyal,1395,1395 k.,fagyal,,['privet'],"1. Ősi, uráli kori szavak ",a,fɒɟɒl
fahéj,1395,1395 k.,fahéj,,['cinnamon'],,n,fɒheːj
fedél,1395,1395 k.,fedél,,"['cap', 'cover', 'lap', 'lid', 'roof']","3. Ősi, ugor kori szavak ",n,fɛdeːl
fej,1395,1395 k.,fej1,,"['bean', 'can', 'crumpet', 'face', 'head', 'headpiece', 'knob', 'mask', 'to milk', 'nab', 'nob', 'noddle', 'nut', 'pate', 'skin', 'to sponge on', 'upper story']",,n,fɛj
fejsze,1395,1395 k.,fejsze,,"['ax', 'axe']",F) VITATOTT EREDETŰ SZAVAK ,n,fɛjsɛ
fogoly,1395,1395 k.,fogoly2,,"['captive', 'prisoner']","1. Ősi, uráli kori szavak ",n,foɡoj
fok,1395,1395 k.,fok2,,"['degree', 'extent', 'head', 'measure', 'notch', 'phase', 'rate', 'remove', 'stage']",,n,fok
fokhagyma,1395,1395 k.,fokhagyma,,['garlic'],13. Szóösszetétellel keletkezett szavak ,n,fokhɒɟmɒ
frigy,1395,1395 k.,frigy,,['covenant'],4. Bajor jövevényszavak ,n,friɟ
früstök,1395,1395 k.,früstök,,,4. Bajor jövevényszavak ,n,fryʃtøk
füge,1395,1395 k.,füge,,['fig'],,n,fyɡɛ
fülemüle,1395,1395 k.,fülemüle,,"['bulbul', 'nightingale']",,n,fylɛmylɛ
gallér,1395,1395 k.,gallér,,"['bands', 'collar', 'neck']",1. Német jövevényszavak általában ,n,ɡɒlleːr
gerely,1395,1395 k.,gerely,,"['lance', 'lancet']",,n,ɡɛrɛj
gerezd,1395,1395 k.,gerezd,,"['clove', 'section', 'segment']",,n,ɡɛrɛzd
gerezna,1395,1395 k.,gerezna,,,,n,ɡɛrɛznɒ
giliszta,1395,1395 k.,giliszta,,['worm'],,n,ɡilistɒ
griff,1395,1395 k.,griff,,['heel'],,n,ɡriff
gyeplő,1395,1395 k.,gyeplő,,"['leading rein', 'leading-rein', 'rein', 'ribbons']",b) Csuvasos típusú jövevényszavak ,n,ɟɛpløː
gyík,1395,1395 k.,gyík,,['lizard'],,n,ɟiːk
gyömbér,1395,1395 k.,gyömbér,,['ginger'],1. Latin jövevényszavak általában ,n,ɟømbeːr
hadar,1395,1395 k.,hadar,,"['to gab', 'to gabble', 'to jabber', 'to splutter', 'to sputter']","1. Hangutánzó, hangfestő szavak ",a,hɒdɒr
hágcsó,1395,1395 k.,hágcsó,,['round'],,n,haːɡt͡ʃoː
haris,1395,1395 k.,haris,,['corncrake'],"1. Hangutánzó, hangfestő szavak ",n,hɒriʃ
héj,1395,1395 k.,héj,,"['cod', 'hull', 'husk', 'peel', 'rind', 'scale', 'shell', 'shuck', 'skin']",,n,heːj
héja,1395,1395 k.,héja,,"['buzzard', 'hawk']",,n,heːjɒ
heveder,1395,1395 k.,heveder,,"['band', 'belt', 'chafing-mat', 'girth', 'sling', 'strap']",G) ISMERETLEN EREDETŰ SZAVAK ,n,hɛvɛdɛr
hiúz,1395,1395 k.,hiúz,,['lynx'],G) ISMERETLEN EREDETŰ SZAVAK ,n,hiuːz
hunyor,1395,1395 k.,hunyor,,,,n,huɲor
icce,1395,1395 k.,icce,,,,n,it͡st͡sɛ
iga,1395,1395 k.,iga,,['yoke'],,n,iɡɒ
író,1395,1395 k.,író,,"['author', 'pen', 'penman, penmen', 'writer']",,n,iːroː
iszap,1395,1395 k.,iszap,,"['dross', 'ooze', 'paddle', 'posh', 'silt', 'slime', 'slob', 'sludge', 'slurry']",,n,isɒp
jászol,1395,1395 k.,jászol,,['manger'],,n,jaːsol
kád,1395,1395 k.,kád,,"['tank', 'tub', 'vat']",,n,kaːd
kakukkfű,1395,1395 k.,kakukkfű,,['thyme'],,n,kɒkukkfyː
kámzsa,1395,1395 k.,kámzsa,,"['cowl', 'hood']",,n,kaːmʒɒ
kanál,1395,1395 k.,kanál,,"['bailer', 'scoop', 'spoon']",G) ISMERETLEN EREDETŰ SZAVAK ,n,kɒnaːl
karó,1395,1395 k.,karó,,"['crampon', 'crampoon', 'pale', 'peg', 'picket', 'pile', 'pole', 'post', 'spike', 'spile', 'stake', 'stick', 'support']",,n,kɒroː
kárpit,1395,1395 k.,kárpit,,['drape'],,n,kaːrpit
katáng,1395,1395 k.,katáng,,,,n,kɒtaːnɡ
kecsege,1395,1395 k.,kecsege,,,,n,kɛt͡ʃɛɡɛ
keszkenő,1395,1395 k.,keszkenő,,,9. Szófajváltással keletkezett szavak ,n,kɛskɛnøː
kesztyű,1395,1395 k.,kesztyű,,"['glove', 'mitt']",9. Szófajváltással keletkezett szavak ,n,kɛscyː
konty,1395,1395 k.,konty,,"['bun', 'knot of hair']",,n,konc
kopoltyú,1395,1395 k.,kopoltyú,,"['ear', 'gill']",9. Szófajváltással keletkezett szavak ,n,kopolcuː
kosár,1395,1395 k.,kosár,,"['basket', 'bin']",d) Déli szláv jövevényszavak (általában) ,n,koʃaːr
kökörcsin,1395,1395 k.,kökörcsin,,['pulsatilla'],,n,køkørt͡ʃin
költ,1395,1395 k.,költ2,,"['to breed, bred', 'to brood', 'to expend', 'to incubate', 'to versify']",1. Származékszavak ,v,kølt
kőműves,1395,1395 k.,kőműves,,"['bricklayer', 'mason']",,n,køːmyːvɛʃ
kürtő,1395,1395 k.,kürtő,,"['duct', 'flue', 'slot', 'stack', 'tunnel', 'vent']",1. Származékszavak ,n,kyrtøː
küszöb,1395,1395 k.,küszöb,,"['doorsill', 'door-step', 'sill', 'threshold']",I. Permi jövevényszavak ?,n,kysøb
lé,1395,1395 k.,lé,,"['juice', 'liquor']",,n,leː
lórom,1395,1395 k.,lórom,,,,n,loːrom
maláta,1395,1395 k.,maláta,,['malt'],c) Szlovák jövevényszavak ?,n,mɒlaːtɒ
mályva,1395,1395 k.,mályva,,['mauve'],1. Latin jövevényszavak általában ,n,maːjvɒ
matrac,1395,1395 k.,matrac,,['mattress'],,n,mɒtrɒt͡s
medence,1395,1395 k.,medence,,"['basin', 'bed', 'bowl', 'cove', 'hearth', 'hollow', 'pelvis', 'pool', 'recess', 'vat']",,n,mɛdɛnt͡sɛ
menta,1395,1395 k.,menta,,['mint'],,n,mɛntɒ
mérce,1395,1395 k.,mérce,,"['gage', 'gauge']",d) Déli szláv jövevényszavak (általában) ?,n,meːrt͡sɛ
metél,1395,1395 k.,metél,,,,n,mɛteːl
moly,1395,1395 k.,moly,,['moth'],,n,moj
mostoha,1395,1395 k.,mostoha,,,,a,moʃtohɒ
muslica,1395,1395 k.,muslica,,,,n,muʃlit͡sɒ
must,1395,1395 k.,must,,['must'],,n,muʃt
naspolya,1395,1395 k.,naspolya,,['medlar'],,n,nɒʃpojɒ
nász,1395,1395 k.,nász,,['nuptials'],,n,naːs
násznagy,1395,1395 k.,násznagy,,,,a,naːsnɒɟ
nemez,1395,1395 k.,nemez,,['felt'],II. Iráni (például alán) jövevényszavak ,n,nɛmɛz
néni,1395,1395 k.,néni,,['dame'],,n,neːni
nyárs,1395,1395 k.,nyárs,,"['broach', 'prod', 'spit']",G) ISMERETLEN EREDETŰ SZAVAK ,n,ɲaːrʃ
olló,1395,1395 k.,olló,,"['scissors', 'shears', 'trimmer']",11. Jelentéselkülönüléssel keletkezett szavak ?,n,olloː
