Old,New,C_cng,Count,all_examples
*m,l³,*m>l³, 1,"*ńoma>nyúl, "
*kʃʲ,st³,*kʃʲ>st³, 1,"*ńukśe>nyuszt, "
*t͡ʃʲt,ʃt³,*t͡ʃʲt>ʃt³, 1,"*oćtɜrɜ>ostor, "
*ðʲt,jd³,*ðʲt>jd³, 1,"*paδ'tɜ>fajd, "
*lɣ,l³,*lɣ>l³, 1,"*palγɜ>falu, "
*lʲ,ɟ³,*lʲ>ɟ³, 1,"*paĺa>fagy, "
*t͡ʃʲk,t͡ʃk³,*t͡ʃʲk>t͡ʃk³, 1,"*päćkɜ>fëcske, "
*t͡ʃ,ʃl³,*t͡ʃ>ʃl³, 1,"*päčɜ>fesl, "
*lβ,lh³,*lβ>lh³, 1,"*pilwe >fëlhő, "
*jk,0³,*jk>0³, 1,"*pojka>fiú, "
*l,ɟ³,*l>ɟ³, 1,"*pola>bogyó, "
*t͡ʃʲk,ʃ³,*t͡ʃʲk>ʃ³, 1,"*pućka >fos, "
*ʃʲ,sl³,*ʃʲ>sl³, 1,"*puśɜ>foszl, "
*β,l³,*β>l³, 1,"*puwɜ >fúl, "
*n,nɡ³,*n>nɡ³, 1,"*pȣnɜ>fing, "
*jt͡ʃʲ,js³,*jt͡ʃʲ>js³, 1,"*p¨jćɜ>fejsze, "
*ŋ,jt³,*ŋ>jt³, 1,"*reŋɜ >rejt, "
*βn,n³,*βn>n³, 1,"*säwnä>őn, "
*kʃʲ,s³,*kʃʲ>s³, 1,"*sikśe >ősz, "
*j,jj³,*j>jj³, 1,"*soja>ujj, "
*ðʲ,jj³,*ðʲ>jj³, 1,"*suδ'ɜ>ujj, "
*l,lv³,*l>lv³, 1,"*sula>olvad, "
*ʃʲ,0¹,*ʃʲ>0¹, 1,"*śakkɜ >szaka, "
*kk,js³,*kk>js³, 1,"*śakkɜ >szaka, "
*lʲ,ld³,*lʲ>ld³, 1,"*śaĺɜ>száldok, "
*0,ɟ³,*0>ɟ³, 1,"*śarɜ>szürügy, "
*ð,v³,*ð>v³, 1,"*śiδä >szív, "
*j,n³,*j>n³, 1,"*śijele>sün, "
*ʃʲ,z¹,*ʃʲ>z¹, 1,"*śoje>zaj, "
*m,mj³,*m>mj³, 1,"*śomɜ>szomjú, "
*rβ,rv³,*rβ>rv³, 1,"*śorwa>szarv, "
*lβ,l³,*lβ>l³, 1,"*tälwä>tél, "
*βð,l³,*βð>l³, 1,"*täwδe >tele, "
*β,d³,*β>d³, 1,"*täwe>tüdő, "
*pp,bb³,*pp>bb³, 1,"*teppɜ>több, "
*0,v³,*0>v³, 1,"*to>tova, "
*βk,v³,*βk>v³, 1,"*towkɜ>tavasz, "
*ðʲk,ɟ³,*ðʲk>ɟ³, 1,"*tuδ'ka>tőgy, "
*rj,rj³,*rj>rj³, 1,"*turja>tarja, "
*j,s³,*j>s³, 1,"*uje>úsz, "
*ðʲk,lɟ³,*ðʲk>lɟ³, 1,"*waδ'kɜ>völgy, "
*j,js³,*j>js³, 1,"*waja>vejsze, "
*jt͡ʃʲ,t͡ʃ³,*jt͡ʃʲ>t͡ʃ³, 1,"*wajće>vöcsök, "
*lʲ,ll³,*lʲ>ll³, 1,"*waĺɜ>villám, "
*r,rj³,*r>rj³, 1,"*warɜ>varjú, "
*r,rr³,*r>rr³, 1,"*warɜ>virrad, "
*ŋt͡ʃʲ,ʃ³,*ŋt͡ʃʲ>ʃ³, 1,"*wäŋćɜ>vés, "
*t͡ʃʲ,ɟ³,*t͡ʃʲ>ɟ³, 1,"*wića>vigyáz, "
*ln,n³,*ln>n³, 1,"*wolnɜ>ón, "
*rk,rr³,*rk>rr³, 1,"*workɜ>varr, "
*ðʲ,j³,*ðʲ>j³, 1,"*wuδ'e>új, "
*l,rd³,*l>rd³, 1,"*älɜ >Erdély, "
*tt,d͡z³,*tt>d͡z³, 1,"*ättɜ  >edz, "
*pp,pp³,*pp>pp³, 1,"*čeppɜ>süpped, "
*θ,h¹,*θ>h¹, 1,"*ϑäptɜ>hét, "
*pt,t³,*pt>t³, 1,"*ϑäptɜ>hét, "
*0,h³,*0>h³, 1,"*ju>joh, "
*r,l³,*r>l³, 1,"*jȣrɜ>gyalu, "
*r,rk³,*r>rk³, 1,"*karɜ>harkály, "
*nʲt͡ʃʲ,ʃh³,*nʲt͡ʃʲ>ʃh³, 1,"*käńćɜ>keshed, "
*tt,tc³,*tt>tc³, 1,"*kottɜŋɜ>hattyú, "
*nt,dv³,*nt>dv³, 1,"*k¨ntɜ>kedv, "
*n,nɲ³,*n>nɲ³, 1,"*k¨nɜ>könnyű, "
*nʲt͡ʃʲ,ʃ³,*nʲt͡ʃʲ>ʃ³, 1,"*mańćɜ>mese, "
*t͡ʃʲ,zt³,*t͡ʃʲ>zt³, 1,"*mećɜ>meztelen, "
*m,n¹,*m>n¹, 1,"*m¨kɜ  >nevet, "
*k,k³,*k>k³, 1,"*näkɜ  >nyék, "
*l,lt͡s³,*l>lt͡s³, 1,"*ńalɜ>nyolc, "
*ŋt,ld³,*ŋt>ld³, 1,"*oŋtɜ >oldal, "
*t͡ʃ,ʃt³,*t͡ʃ>ʃt³, 1,"*pičɜ  >füst, "
*ɣr,r³,*ɣr>r³, 1,"*pȣγrɜ>fárad, "
*lʲt͡ʃʲ,ɡɟ³,*lʲt͡ʃʲ>ɡɟ³, 1,"*pȣĺćɜ>faggyú, "
*kk,kk³,*kk>kk³, 1,"*rȣkkɜ>rokkan, "
*ɣ,r³,*ɣ>r³, 1,"*säγɜrɜ>szőr, "
*r,0³,*r>0³, 1,"*säγɜrɜ>szőr, "
*s,z¹,*s>z¹, 1,"*suŋɜ>zug, "
*j,d³,*j>d³, 1,"*sȣjɜ >szédül, "
*0,ld³,*0>ld³, 1,"*sȣŋɜ>száguld, "
*tt,k³,*tt>k³, 1,"*tajɜttɜ>titok, "
*lt,lt³,*lt>lt³, 1,"*tultɜ>táltos, "
*ɣ,z³,*ɣ>z³, 1,"*tüγɜtɜ>tűz, "
*mp,mb³,*mp>mb³, 1,"*tȣmpɜ>domb, "
