info_hun,Protohungarian,Gothic,info_got
"wära, CVCV, 980, 54606, V, , 6.25, beat, beat up, prügeln, schlagen, ver",wæra,wæra,"waira, , , , https://koeblergerhard.de/wikiling/?f=got&page=263 , wɛra, wɛra, CVCV"
"wese, CVCV, 987, 54619, N, , 8.0, decay, disease, need, danger, Verfall, Seuche, Not, Gefahr, vész",wese,wese,"visi, M., , , https://koeblergerhard.de/wikiling/?f=got&page=260 , vɪsɪ, vɪsɪ, CVCV"
"wisɜ, CVCV, 989, 54621, N, , 7.25, decay, disease, need, danger, Verfall, Seuche, Not, Gefahr, vész",wisɜ,wisɜ,"weisei, F., Weisheit, wisdom, https://koeblergerhard.de/wikiling/?f=got&page=270 , wisi, wisi, CVCV"
"wisa, CVCV, 990, 54622, N, , 7.25, decay, disease, need, danger, Verfall, Seuche, Not, Gefahr, vész",wisa,wisa,"weisa, F., Weise (F.) (2), manner (N.), way, https://koeblergerhard.de/wikiling/?f=got&page=270 , wisa, wisa, CVCV"
"wesɜ, CVCV, 993, 54625, N, , 7.25, decay, disease, need, danger, Verfall, Seuche, Not, Gefahr, vész",wesɜ,wesɜ,"wesei, F., Sein, being (N.), https://koeblergerhard.de/wikiling/?f=got&page=272 , wesi, wesi, CVCV"
"winɜ, CVCV, 1012, 54680, V, , 7.5, pull, remove, ziehen, entfernen, abwendig machen, von",winɜ,winɜ,"wida, F., Weite, reach (N.), https://koeblergerhard.de/wikiling/?f=got&page=272 , wɪda, wɪda, CVCV"
"wina, CVCV, 1013, 54681, V, , 7.5, pull, remove, ziehen, entfernen, abwendig machen, von",wina,wina,"wida, F., Weite, reach (N.), https://koeblergerhard.de/wikiling/?f=got&page=272 , wɪda, wɪda, CVCV"
"wɜne, CVCV, 1014, 54682, V, , 7.5, pull, remove, ziehen, entfernen, abwendig machen, von",wɜne,wɜne,"wadi, N., Pfand, pledge (N.), surety, financial commitment, guarantee, https://koeblergerhard.de/wikiling/?f=got&page=260 , wadɪ, wadɪ, CVCV"
"wenɜ, CVCV, 1018, 54686, V, , 7.0, pull, remove, ziehen, entfernen, abwendig machen, von",wenɜ,wenɜ,"wida, F., Weite, reach (N.), https://koeblergerhard.de/wikiling/?f=got&page=272 , wɪda, wɪda, CVCV"
"wena, CVCV, 1019, 54687, V, , 7.0, pull, remove, ziehen, entfernen, abwendig machen, von",wena,wena,"wida, F., Weite, reach (N.), https://koeblergerhard.de/wikiling/?f=got&page=272 , wɪda, wɪda, CVCV"
"wane, CVCV, 1020, 54688, V, , 7.0, pull, remove, ziehen, entfernen, abwendig machen, von",wane,wane,"wadi, N., Pfand, pledge (N.), surety, financial commitment, guarantee, https://koeblergerhard.de/wikiling/?f=got&page=260 , wadɪ, wadɪ, CVCV"
"wɜnɜ, CVCV, 1021, 54689, V, , 6.75, pull, remove, ziehen, entfernen, abwendig machen, von",wɜnɜ,wɜnɜ,"wida, F., Weite, reach (N.), https://koeblergerhard.de/wikiling/?f=got&page=272 , wɪda, wɪda, CVCV"
"wɜna, CVCV, 1022, 54690, V, , 6.75, pull, remove, ziehen, entfernen, abwendig machen, von",wɜna,wɜna,"wida, F., Weite, reach (N.), https://koeblergerhard.de/wikiling/?f=got&page=272 , wɪda, wɪda, CVCV"
"wanɜ, CVCV, 1025, 54693, V, , 6.25, pull, remove, ziehen, entfernen, abwendig machen, von",wanɜ,wanɜ,"wadi, N., Pfand, pledge (N.), surety, financial commitment, guarantee, https://koeblergerhard.de/wikiling/?f=got&page=260 , wadɪ, wadɪ, CVCV"
"wana, CVCV, 1026, 54694, V, , 6.25, pull, remove, ziehen, entfernen, abwendig machen, von",wana,wana,"fana, M., Stück Zeug, Zeugstück, Lappen, Tuch, Schweißtuch, piece of cloth, napkin, rag (N.) (1), handkerchief, https://koeblergerhard.de/wikiling/?f=got&page=64 , fana, fana, CVCV"
