#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung,link
1373,*feinan?,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=69
1374,"fenea, lat.got., *finja?",got,F.,Gerstengraupen,pearl barley,https://koeblergerhard.de/wikiling/?f=got&page=69
1375,*fēr?,got,N.,Nachstellung,ambush (N.),https://koeblergerhard.de/wikiling/?f=got&page=69
1376,fēra* 4,got,F.,"Seite, Gegend, Glied, Körperteil","side (N.), collateral part, adjacent section, district bordering a sea, maritime>>>",https://koeblergerhard.de/wikiling/?f=got&page=69
1377,fērja* 1,got,M.,"Aufpasser, Nachsteller","ambusher, waylayer, spy (M.)",https://koeblergerhard.de/wikiling/?f=got&page=69
1378,fers 1,got,M.,Mann,man (M.),https://koeblergerhard.de/wikiling/?f=got&page=69
1379,*fēteins?,got,F.,Kleidung,"clothes, garniture",https://koeblergerhard.de/wikiling/?f=got&page=69
1380,fētjan* 1,got,V.,schmücken,"dress up, adorn (V.)",https://koeblergerhard.de/wikiling/?f=got&page=69
1381,*feusa?,got,Sb.,Speck,"bacon, fat (N.)",https://koeblergerhard.de/wikiling/?f=got&page=70
1382,fian,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=70
1383,fidur-,got,Num.,vier,four,https://koeblergerhard.de/wikiling/?f=got&page=70
1384,fidurdōgs 1,got,Adj.,viertägig,"of the fourth day, quadru-diurnal",https://koeblergerhard.de/wikiling/?f=got&page=70
1385,fidurfalþs* 1,got,Adj.,"vierfältig, vierfach",fourfold,https://koeblergerhard.de/wikiling/?f=got&page=70
1386,*fidurragineis?,got,M.,Vierfürst,tetrarch,https://koeblergerhard.de/wikiling/?f=got&page=70
1387,fidurragini* 1,got,N.,"Vierfürstenamt, Tetrarchie","tetrarchate, office of a tetrarch",https://koeblergerhard.de/wikiling/?f=got&page=70
1388,fidwōr 12,got,Num.,vier,four,https://koeblergerhard.de/wikiling/?f=got&page=70
1389,fidwōrtaíhun 2,got,Num.,vierzehn,fourteen,https://koeblergerhard.de/wikiling/?f=got&page=70
1390,fidwōrtigjus,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=70
1391,fidwōrþūsundjos,got,Num.,viertausend,four thousand,https://koeblergerhard.de/wikiling/?f=got&page=70
1392,figgragulþ* 1,got,N.,"„Fingergold“, Fingerring","finger ring, „finger gold“",https://koeblergerhard.de/wikiling/?f=got&page=70
1393,figgrs* 1,got,M.,Finger,finger,https://koeblergerhard.de/wikiling/?f=got&page=70
1394,"fijan 23, fian*",got,V.,"hassen, verabscheuen","hate (V.), be inimical towards, feel hostile towards",https://koeblergerhard.de/wikiling/?f=got&page=70
1395,fijands 23=21,got,M.,Feind,"enemy, foe",https://koeblergerhard.de/wikiling/?f=got&page=70
1396,fijaþwa* 3,got,F.,Feindschaft,"enmity, hostility",https://koeblergerhard.de/wikiling/?f=got&page=70
1397,filaus 5,got,Adv.,"um vieles, viel","by much, greatly",https://koeblergerhard.de/wikiling/?f=got&page=70
1398,filegri*,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=70
1399,*filh?,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=70
1400,filhan 1,got,V.,"verbergen, begraben (V.)","hide (V.), conceal, conceal in the ground, bury, cover up for safekeeping",https://koeblergerhard.de/wikiling/?f=got&page=70
1401,"filigri* 2, filegri*, fililigri*",got,N.,"Höhle, Versteck","hiding-place, hideaway, den",https://koeblergerhard.de/wikiling/?f=got&page=71
1402,fililigri*,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=71
1403,*fill?,got,N.,"Fell, Haut","skin (N.), hide (N.)",https://koeblergerhard.de/wikiling/?f=got&page=71
1404,filleins* 1,got,Adj.,ledern,leathern,https://koeblergerhard.de/wikiling/?f=got&page=71
1405,*filli?,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=71
1406,"*-fills?, *fills?",got,Adj.,-häutig,-skinny,https://koeblergerhard.de/wikiling/?f=got&page=71
1407,*filma?,got,,,,https://koeblergerhard.de/wikiling/?f=got&page=71
1408,*filmei?,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=71
1409,*films?,got,M.,Schrecken,"bewildered stupor, astonishment, amazement",https://koeblergerhard.de/wikiling/?f=got&page=71
1410,*filtur?,got,Sb.,Filz,felt,https://koeblergerhard.de/wikiling/?f=got&page=71
1411,filu 79,got,"Adj., Adv., N.","viel, sehr, um vieles (Komp.)","much, copious amount, very (Adv.), copiously",https://koeblergerhard.de/wikiling/?f=got&page=71
1412,"*filudeis, *filuweis?",got,Adj.,arglistig,"crafty, cunning (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=71
1413,filudeisei* 2,got,F.,"Arglist, Schlauheit, List","craftiness, cunning (N.)",https://koeblergerhard.de/wikiling/?f=got&page=71
1414,filufaíhs* 1,got,Adj.,"sehr bunt, reichhaltig, mannigfaltig","very multicoloured, very variegated, much multicoloured, manifold",https://koeblergerhard.de/wikiling/?f=got&page=71
1415,filugalaufs* 1,got,Adj.,"sehr wertvoll, sehr kostbar","very precious, very costly, very valuable",https://koeblergerhard.de/wikiling/?f=got&page=71
1416,filusna 6,got,F.,"Vielheit, Menge, Übermaß","copiousness, abundance, plenitude, multitude",https://koeblergerhard.de/wikiling/?f=got&page=71
1417,filuwaúrdei* 1,got,F.,"vieles Reden, Schwatzhaftigkeit, Geschwätz","verbal plenitude, much wordiness, much speaking",https://koeblergerhard.de/wikiling/?f=got&page=71
1418,filuwaúrdjan* 1,got,V.,"viel Worte machen, viel plappern, viel reden","verbalize excessively, babble (V.), chatter (V.), speak a great deal",https://koeblergerhard.de/wikiling/?f=got&page=71
1419,*filuwaúrds?,got,Adj.,"viel redend, viel sprechend",talkative,https://koeblergerhard.de/wikiling/?f=got&page=71
1420,*filuweis,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=71
1421,fimf 23,got,Num.,fünf,five,https://koeblergerhard.de/wikiling/?f=got&page=72
1422,fimfhunda*,got,Num.,fünfhundert,five hundred,https://koeblergerhard.de/wikiling/?f=got&page=72
1423,*fimfta,got,Num.,fünfte,fifth,https://koeblergerhard.de/wikiling/?f=got&page=72
1424,fimftaíhun* 1,got,Num.,fünfzehn,fifteen,https://koeblergerhard.de/wikiling/?f=got&page=72
1425,fimftataíhunda* 1,got,Num.,fünfzehnte,fifteenth,https://koeblergerhard.de/wikiling/?f=got&page=72
1426,*fimftigjus,got,Num.,fünfzig,fifty,https://koeblergerhard.de/wikiling/?f=got&page=72
1427,*fimfþūsunjōs?,got,Num.,fünftausend,five thousand,https://koeblergerhard.de/wikiling/?f=got&page=72
1428,*finja?,got,F.,Gerste?,barley?,https://koeblergerhard.de/wikiling/?f=got&page=72
1429,"*Finnhaiþas, *Finnhaiþae",got,M.,Bewohner von Finnahaithi,inhabitants of Finnahaithi,https://koeblergerhard.de/wikiling/?f=got&page=72
1430,finþan* 5,got,V.,"erkennen, erfahren (V.)","find out, discover, recognize, learn, obtain knowledge of",https://koeblergerhard.de/wikiling/?f=got&page=72
1431,"fisc*, fisct",got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=72
1432,fiskja* 2,got,M.,Fischer,"fisher, fisherman",https://koeblergerhard.de/wikiling/?f=got&page=72
1433,fiskōn 1,got,V.,fischen,"fish (V.), go fishing",https://koeblergerhard.de/wikiling/?f=got&page=72
1434,fisks* 14,got,M.,Fisch,fish (N.),https://koeblergerhard.de/wikiling/?f=got&page=72
1435,fitan* 2,got,V.,"kreißen, gebären","undergo childbirth pangs (with), give birth (to) amid throes, be in labour (with>>>",https://koeblergerhard.de/wikiling/?f=got&page=72
1436,"flahta* 1, flahtō*?",got,"F., F.",Flechte,"braid (N.), plait (N.), braided hair, woven hair",https://koeblergerhard.de/wikiling/?f=got&page=72
1437,flahtō*,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=72
1438,*flaíhtan?,got,V.,flechten,"braid (V.), plait (V.)",https://koeblergerhard.de/wikiling/?f=got&page=72
1439,*flaskō,got,F.,Flasche,bottle (N.),https://koeblergerhard.de/wikiling/?f=got&page=72
1440,*flaugjan,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=72
1441,flautjan* 1,got,V.,prahlen,"bevainglorious, boast (V.), brag (V.)",https://koeblergerhard.de/wikiling/?f=got&page=73
1442,flauts* 2=1,got,Adj.,"ruhmsüchtig, prahlerisch","boastful, conceited, bragging (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=73
1443,flōdus 1,got,M.,"Strom, Flut","flood (N.), stream (N.), onrush of water, onflow of water",https://koeblergerhard.de/wikiling/?f=got&page=73
1444,flōkan* 1,got,V.,"betrauern, beklagen","beat one’s breast over, bewail, mourn (V.)",https://koeblergerhard.de/wikiling/?f=got&page=73
1445,fōdeins* 2,got,F.,"Nahrung, Speise","feeding (N.), nourishment, nutrition, nutriment, food",https://koeblergerhard.de/wikiling/?f=got&page=73
1446,fōdjan* 5,got,V.,"ernähren, aufziehen","feed, nourish, nurture, bring up, rear (V.)",https://koeblergerhard.de/wikiling/?f=got&page=73
1447,fōdr* 1,got,N.,Scheide,"scabbard, sheath (N.), casing",https://koeblergerhard.de/wikiling/?f=got&page=73
1448,fōn 20,got,N.,Feuer,fire (N.),https://koeblergerhard.de/wikiling/?f=got&page=73
1449,fōtubandi* 1,got,F.,"„Fußband“, Fußfessel, Fußschelle","foot shackle, foot-bonds, leg chains",https://koeblergerhard.de/wikiling/?f=got&page=73
1450,fōtubaūrd 3,got,N.,"Fußbank, Schemel","footstool, board for resting the feet",https://koeblergerhard.de/wikiling/?f=got&page=73
1451,fōtus 41,got,M.,Fuß,foot,https://koeblergerhard.de/wikiling/?f=got&page=73
1452,*fra-,got,"V., Partikel",ver...,for...,https://koeblergerhard.de/wikiling/?f=got&page=73
1453,fraatjan* 1,got,V.,zum Essen austeilen,"give away to be eaten, dispense as food",https://koeblergerhard.de/wikiling/?f=got&page=73
1454,frabaíran* 1,got,V.,"vertragen, ertragen","bear psychologically, sustain psychologically, endure",https://koeblergerhard.de/wikiling/?f=got&page=73
1455,frabaúhtabōka* 1,got,"F., N.",Verkaufsurkunde,"written deed of sale, sale document, sale deed, sales receipt",https://koeblergerhard.de/wikiling/?f=got&page=73
1456,frabugjan 10,got,V.,verkaufen,sell (V.),https://koeblergerhard.de/wikiling/?f=got&page=73
1457,fradailjan* 1,got,V.,verteilen unter,"distribute, lot out, dispense in portions",https://koeblergerhard.de/wikiling/?f=got&page=73
1458,"fragan* 1, fragjan*?",got,V.,fragen,"ask, test (V.), inquire of, make inquiry into, examine",https://koeblergerhard.de/wikiling/?f=got&page=73
1459,fragiban 25,got,V.,"vergeben (V.), verleihen, schenken, geben, gewähren","give (V.), grant (V.), remit (V.), forgive, pardon (V.), bestow",https://koeblergerhard.de/wikiling/?f=got&page=73
1460,fragifts* 3,got,F.,"Verleihung, Verlobung, Gabe","gift (N.), grant (N.), betrothal, presentation, bestowal, giving away, plightedn>>>",https://koeblergerhard.de/wikiling/?f=got&page=73
1461,fragildan* 3,got,V.,"vergelten, erstatten","repay (V.), recompense (V.), restore",https://koeblergerhard.de/wikiling/?f=got&page=74
1462,fragjan*,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=74
1463,*Fragka?,got,M.,Franke,Franconian,https://koeblergerhard.de/wikiling/?f=got&page=74
1464,frahinþan* 4,got,V.,"gefangennehmen, fangen","take captive, capture (V.)",https://koeblergerhard.de/wikiling/?f=got&page=74
1465,fraíhnan 57,got,V.,fragen,"ask a question, ask, question (V.)",https://koeblergerhard.de/wikiling/?f=got&page=74
1466,fraisan* 13,got,V.,versuchen,"put to the test, try, tempt, make trial of, test (V.)",https://koeblergerhard.de/wikiling/?f=got&page=74
1467,*fraista,got,F.,Versuchung,temptation,https://koeblergerhard.de/wikiling/?f=got&page=74
1468,*fraistōn,got,V.,versuchen,"try (V.), tempt, make trial of",https://koeblergerhard.de/wikiling/?f=got&page=74
1469,fraistubni* 5,got,F.,Versuchung,"testing (N.), temptation",https://koeblergerhard.de/wikiling/?f=got&page=74
1470,fraitan* 4,got,V.,"verzehren, fressen","devour, consume completely, eat completely up",https://koeblergerhard.de/wikiling/?f=got&page=74
1471,fraiw 23,got,N.,Same,seed (N.),https://koeblergerhard.de/wikiling/?f=got&page=74
1472,frakunnan 16,got,V.,verachten,"refuse to recognize, spurn (V.), disdain (V.), scorn (V.), despise",https://koeblergerhard.de/wikiling/?f=got&page=74
1473,*frakunþs?,got,"V., Adj.",verachtet,"spurned, disdained, despised",https://koeblergerhard.de/wikiling/?f=got&page=74
1474,fralēt* 6=5,got,N.,"Erlass, Entlassung","setting at liberty, release (N.), relinquishment, dispensation, forgiveness",https://koeblergerhard.de/wikiling/?f=got&page=74
1475,fralētan 32,got,V.,"lassen, freilassen, entlassen (V.), unterlassen (V.), zulassen, erlauben, erlass>>>","let go, release (V.), let free, let (V.), permit (V.), absolve, let down, lower >>>",https://koeblergerhard.de/wikiling/?f=got&page=74
1476,fralēts 1,got,M.,Freigelassener,"liberated man, freed man",https://koeblergerhard.de/wikiling/?f=got&page=74
1477,fralēwjan* 1,got,V.,verraten (V.),"hand over by means of opportunistic perfidy, betray",https://koeblergerhard.de/wikiling/?f=got&page=74
1478,fraliusan* 9,got,V.,verlieren,"lose (V.), ransom (V.)",https://koeblergerhard.de/wikiling/?f=got&page=74
1479,fralusnan* 3,got,V.,"verloren gehen, verloren werden","be lost, become lost, perish",https://koeblergerhard.de/wikiling/?f=got&page=74
1480,fralusts 9,got,F.,"Verderben, Verlust","destruction, perdition, loss",https://koeblergerhard.de/wikiling/?f=got&page=74
1481,fram 185=183,got,"Präp., Adv., V.","weiter, von, von ... her, von ... an, an, vor, seit, bei","forwards, forth, from, at, by, near, farther, thence, since, before, about",https://koeblergerhard.de/wikiling/?f=got&page=75
1482,framaldrs* 3,got,Adj.,"im Alter vorgeschritten, bejahrt","aged, advanced in age, well along in years, of advanced age",https://koeblergerhard.de/wikiling/?f=got&page=75
1483,"framaþeis* 9, framaþs*",got,Adj.,fremd,"strange, alien, foreign, alienated, estranged",https://koeblergerhard.de/wikiling/?f=got&page=75
1484,framaþjan* 1,got,V.,entfremden,"estrange, alienate",https://koeblergerhard.de/wikiling/?f=got&page=75
1485,framaþs*,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=75
1486,framgāhts* 1,got,F.,Fortschritt,"progress (N.), advancement, furtherance",https://koeblergerhard.de/wikiling/?f=got&page=75
1487,framis 2,got,"Adv., Adj.",weiter,"further, farther beyond",https://koeblergerhard.de/wikiling/?f=got&page=75
1488,*frams?,got,Adj.,tüchtig,"efficient, competent, capable",https://koeblergerhard.de/wikiling/?f=got&page=75
1489,framwaírþis 1,got,Adv.,fernerhin,"onward, forward, further",https://koeblergerhard.de/wikiling/?f=got&page=75
1490,*framwairþs?,got,Adj.,zukünftig,future (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=75
1491,framwigis 2,got,Adv.,"fortwährend, für immer","evermore, continuous, in perpetuity",https://koeblergerhard.de/wikiling/?f=got&page=75
1492,franiman 2,got,V.,"nehmen, in Besitz nehmen, in Empfang nehmen, gewinnen","acquire, take possession of, receive, take along",https://koeblergerhard.de/wikiling/?f=got&page=75
1493,fraqiman* 7,got,V.,"verzehren, ausgeben, vertun, verwenden","use up, expend, consume, exhaust (V.), spend, rise up",https://koeblergerhard.de/wikiling/?f=got&page=75
1494,fraqisteins* 1,got,F.,"Verderb, Vergeudung, Verschwendung","spoiling, spoilage",https://koeblergerhard.de/wikiling/?f=got&page=75
1495,fraqistjan 23,got,V.,"verderben, umbringen","annihilate, obliterate, destroy utterly",https://koeblergerhard.de/wikiling/?f=got&page=75
1496,fraqistnan* 17,got,V.,"umkommen, zugrunde gehen, verderben","be utterly destroyed, become utterly destroyed, perish (V.)",https://koeblergerhard.de/wikiling/?f=got&page=75
1497,fraqiþan* 7,got,V.,"für ungültig erklären, aufheben, verfluchen, verwünschen","speak ill of, deprecate, condemn, curse s.o.",https://koeblergerhard.de/wikiling/?f=got&page=75
1498,frarinnan* 1,got,V.,"sich verlaufen zu, geraten unter","run awry, run amiss, meet up with",https://koeblergerhard.de/wikiling/?f=got&page=75
1499,fraslindan* 1,got,V.,"verschlingen, verschlucken","swallow up, devour",https://koeblergerhard.de/wikiling/?f=got&page=75
1500,frastisibja 1,got,F.,Kindschaft,"familial adoption, adoption as children, sonship",https://koeblergerhard.de/wikiling/?f=got&page=75
1501,frasts* 1,got,"M., F.",Kind,"child, bairn",https://koeblergerhard.de/wikiling/?f=got&page=76
1502,fratrudan 1,got,V.,"treten, trampeln",trample (V.),https://koeblergerhard.de/wikiling/?f=got&page=76
1503,*fratwjan?,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=76
1504,fraþi 14,got,N.,"Verstand, Sinn, Gesinnung","understanding (N.), perception, viewpoint, attitude, disposition, mindedness",https://koeblergerhard.de/wikiling/?f=got&page=76
1505,fraþjamarzeins 1,got,F.,Verstandestäuschung,"comprehension-impediment, a thwarting of the understanding",https://koeblergerhard.de/wikiling/?f=got&page=76
1506,fraþjan 49=48,got,V.,"denken, erkennen, verstehen, merken, verständig sein (V.), der Meinung sein (V.)>>>","perceive, comprehend, understand, think, recognize, understand in a certain way,>>>",https://koeblergerhard.de/wikiling/?f=got&page=76
1507,*fraþjands?,got,"V., Adj.",verständig,"perceiving (Adj.), comprehending (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=76
1508,*fraþjei?,got,F.,"Klugheit, Verstand, Verständigkeit, Besonnenheit","rationality, reasonableness, discretion",https://koeblergerhard.de/wikiling/?f=got&page=76
1509,"*-fraþjis?, *fraþjis?",got,Adj.,gesinnt,-volent,https://koeblergerhard.de/wikiling/?f=got&page=76
1510,frauja 392=385,got,M.,Herr,"lord (M.), master (M.)",https://koeblergerhard.de/wikiling/?f=got&page=76
1511,fraujinassus* 2,got,M.,Herrschaft,"dominion, domination, mastery",https://koeblergerhard.de/wikiling/?f=got&page=76
1512,fraujinōn 7,got,V.,"herrschen, Herr sein (V.)","be lord, be master, rule (V.), lord it over, rule over",https://koeblergerhard.de/wikiling/?f=got&page=76
1513,fraujinōnds* 1,got,M.,"Herrscher, Herr","lord (M.), master (M.), ruler, sovereign",https://koeblergerhard.de/wikiling/?f=got&page=76
1514,*fraujis?,got,M.,Herr,"lord (M.), master (M.)",https://koeblergerhard.de/wikiling/?f=got&page=76
1515,*fraus,got,Adj.,froh,"happy, glad",https://koeblergerhard.de/wikiling/?f=got&page=76
1516,frawaírpan* 2,got,V.,"verwerfen, zerstreuen, wegwerfen","throw away, discard, jettison, cast off, scatter (V.)",https://koeblergerhard.de/wikiling/?f=got&page=76
1517,frawaírþan* 1,got,V.,"verderben, zugrunde gehen","degenerate, spoil (V.), perish, become corrupt",https://koeblergerhard.de/wikiling/?f=got&page=76
1518,frawardeins* 1,got,F.,Verderben,"destruction, corruption",https://koeblergerhard.de/wikiling/?f=got&page=76
1519,frawardjan* 9,got,V.,"verderben, entstellen","cause to degenerate, corrupt (V.), destroy",https://koeblergerhard.de/wikiling/?f=got&page=76
1520,frawaúrhts (1) 37,got,Adj.,"sündig, Sünder (= frawaúrhts subst.)","evil-doing (Adj.), sinful, subst. sinner",https://koeblergerhard.de/wikiling/?f=got&page=76
1521,frawaúrhts (2) 80,got,F.,Sünde,"transgression, evil-doing (N.), sin (N.), offence",https://koeblergerhard.de/wikiling/?f=got&page=77
1522,frawaúrkjan* 16,got,V.,"sündigen, (sich) versündigen, eine Sünde begehen","sin (V.), commit error, transgress, commit a transgression",https://koeblergerhard.de/wikiling/?f=got&page=77
1523,fraweit 4,got,N.,"Strafe, Rache","punishment, revenge (N.), vengeance, retribution",https://koeblergerhard.de/wikiling/?f=got&page=77
1524,fraweitan 5,got,V.,"rächen, Recht verschaffen, strafen","avenge, wreak vengeance",https://koeblergerhard.de/wikiling/?f=got&page=77
1525,frawilwan 8,got,V.,"fortreißen, gewaltsam ergreifen","grab away, snatch up, seize, wrest away",https://koeblergerhard.de/wikiling/?f=got&page=77
1526,frawisan* 1,got,V.,"verbrauchen, vergeuden, verschwenden","consume by dining, devour through epicurean living, eat up in feasting, squander",https://koeblergerhard.de/wikiling/?f=got&page=77
1527,frawrikan* 1,got,V.,"verfolgen, rächen","persecute severely, oppress intensely with persecution, drive out",https://koeblergerhard.de/wikiling/?f=got&page=77
1528,frawrōhjan* 1,got,V.,"verklagen, verdächtigen, verleumden, anzeigen","accuse maliciously, accuse calumniously, incriminate slanderously, suspect (V.)",https://koeblergerhard.de/wikiling/?f=got&page=77
1529,*freideins?,got,F.,"Schonung, Erhaltung",saving (N.),https://koeblergerhard.de/wikiling/?f=got&page=77
1530,freidjan* 6,got,V.,schonen,"keep safe, treat watchfully, take care of, act with restraint toward, spare (V.)",https://koeblergerhard.de/wikiling/?f=got&page=77
1531,*freihals (1),got,Adj.,frei,"free-necked, at liberty",https://koeblergerhard.de/wikiling/?f=got&page=77
1532,freihals (2) 8,got,M.,Freiheit,"liberty, freedom",https://koeblergerhard.de/wikiling/?f=got&page=77
1533,freis 19,got,Adj.,frei,"free (Adj.), having freedom",https://koeblergerhard.de/wikiling/?f=got&page=77
1534,*freiþs?,got,Adj.,"hübsch, schön","nice, pleasant, dear, beloved, attractive",https://koeblergerhard.de/wikiling/?f=got&page=77
1535,friaþwa?,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=77
1536,friaþwamilds* 1,got,Adj.,"zärtlich liebend, liebreich","lovingly mild, showing love, affectionately tender",https://koeblergerhard.de/wikiling/?f=got&page=77
1537,frijaþwa 85,got,F.,Liebe,love (N.),https://koeblergerhard.de/wikiling/?f=got&page=77
1538,frijei 1,got,F.,Freiheit,freedom,https://koeblergerhard.de/wikiling/?f=got&page=77
1539,frijōn 93,got,V.,"lieben, gern tun","love (V.), cherish, show affection for, like to",https://koeblergerhard.de/wikiling/?f=got&page=77
1540,frijōndi* 1,got,F.,Freundin,female friend,https://koeblergerhard.de/wikiling/?f=got&page=77
1541,frijōnds 13,got,M.,Freund,friend,https://koeblergerhard.de/wikiling/?f=got&page=78
1542,frijōns* 2,got,F.,"Kuss, Liebeszeichen","sign of love, kiss (N.)",https://koeblergerhard.de/wikiling/?f=got&page=78
1543,*frikei?,got,F.,"Gier, Sucht","greed, lust (N.), obsession, addiction",https://koeblergerhard.de/wikiling/?f=got&page=78
1544,*friks?,got,Adj.,"süchtig, gierig","lustful, greedy, addicted",https://koeblergerhard.de/wikiling/?f=got&page=78
1545,*frisahtjan?,got,V.,abbilden,"depict with a visual image, form (V.), pattern (V.)",https://koeblergerhard.de/wikiling/?f=got&page=78
1546,*frisahtnan?,got,V.,"abgebildet werden, Gestalt annehmen","be depicted in a visual image, become depicted in a visual image, be configured,>>>",https://koeblergerhard.de/wikiling/?f=got&page=78
1547,frisahts 12,got,F.,"Bild, Beispiel, Rätsel, dunkles Bild","visual image, representation, example, depiction, effigy, visualization, typical>>>",https://koeblergerhard.de/wikiling/?f=got&page=78
1548,*frisks?,got,Adj.,frisch,fresh (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=78
1549,*friþōn?,got,V.,schützen?,"protect, shelter (V.)",https://koeblergerhard.de/wikiling/?f=got&page=78
1550,*friþōns?,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=78
1551,*friþus,got,M.,"Friede, Schutz","protection, shelter (N.), peace",https://koeblergerhard.de/wikiling/?f=got&page=78
1552,frius* 1,got,N.,"Frost, Kälte","coldness, freezing (weather), frost (N.)",https://koeblergerhard.de/wikiling/?f=got&page=78
1553,*friusan?,got,V.,frieren,freeze (V.),https://koeblergerhard.de/wikiling/?f=got&page=78
1554,frōdaba 2,got,Adv.,"klug, verständig, weise",intelligently,https://koeblergerhard.de/wikiling/?f=got&page=78
1555,frōdei* 9,got,F.,"Klugheit, Verstand","intellect, intelligence, wisdom",https://koeblergerhard.de/wikiling/?f=got&page=78
1556,frōþs 10,got,Adj.,"klug, verständig, weise","intelligent, wise",https://koeblergerhard.de/wikiling/?f=got&page=78
1557,*frum?,got,N.,Anfang,"beginning (N.), start (N.), inception",https://koeblergerhard.de/wikiling/?f=got&page=78
1558,fruma 18,got,"Adj., Adj.",erste,"first, former, prior",https://koeblergerhard.de/wikiling/?f=got&page=78
1559,frumabaúr 3,got,M.,Erstgeborener,first-born (M.),https://koeblergerhard.de/wikiling/?f=got&page=78
1560,frumadei* 1,got,F.,Vorrang,"primacy, pre-eminence",https://koeblergerhard.de/wikiling/?f=got&page=78
1561,*frumadeis?,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=79
1562,*frumajiuleis?,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=79
1563,*frumaþ?,got,Adv.,vorwärts,"forwards, towards the front",https://koeblergerhard.de/wikiling/?f=got&page=79
1564,"*frumaþeis, *frumaþs, *frumadeis",got,Adj.,erste,"first, prior, prime",https://koeblergerhard.de/wikiling/?f=got&page=79
1565,*frumaþs,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=79
1566,*frumei,got,F.,Anfang,"beginning (N.), start (N.)",https://koeblergerhard.de/wikiling/?f=got&page=79
1567,frumist 14,got,"Adv., Adj.",zuerst,"firstly, at first, before everything, first of all",https://koeblergerhard.de/wikiling/?f=got&page=79
1568,frumisti* 3,got,N.,Anfang,"outset, beginning (N.), start (N.)",https://koeblergerhard.de/wikiling/?f=got&page=79
1569,frumists 19,got,"Adj., Adj.",der erste,"foremost, first, of first rank",https://koeblergerhard.de/wikiling/?f=got&page=79
1570,*frumjan,got,V.,"fördern, vollbringen","support (V.), accomplish",https://koeblergerhard.de/wikiling/?f=got&page=79
1571,fugls* 6,got,M.,Vogel,"bird, fowl",https://koeblergerhard.de/wikiling/?f=got&page=79
1572,fula* 10,got,M.,"Fohlen, Füllen (N.) (1)","foal, colt",https://koeblergerhard.de/wikiling/?f=got&page=79
1573,fulcus*,got,M.,Volk,people,https://koeblergerhard.de/wikiling/?f=got&page=79
1574,fulgins* 3,got,Adj.,verborgen,"hidden, concealed, covert, secret (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=79
1575,fulhsni* 7,got,N.,Geheimnis,"secrecy, concealment",https://koeblergerhard.de/wikiling/?f=got&page=79
1576,*fulk,got,N.,"Kriegsvolk, Schar (F.) (1)","war people, crowd (N.)",https://koeblergerhard.de/wikiling/?f=got&page=79
1577,fullafahjan 3,got,V.,"Genüge leisten, dienen, Genüge tun, befriedigen, zufriedenstellen","satisfy, serve (V.), please fully, cause to be completely happy, gladden fully",https://koeblergerhard.de/wikiling/?f=got&page=79
1578,fullafraþjan* 1,got,V.,"bei Verstand sein (V.), bei Sinnen sein (V.)","be of sound mind, have full command of one’s mental faculties, be intellectual i>>>",https://koeblergerhard.de/wikiling/?f=got&page=79
1579,fullatōjis 2,got,Adj.,vollkommen,"perfect (Adj.), perfectly wrought",https://koeblergerhard.de/wikiling/?f=got&page=79
1580,fullaweis* 1,got,Adj.,vollkommen,"mature (Adj.), thoroughly instructed, fully educated, fully informed, fully wise",https://koeblergerhard.de/wikiling/?f=got&page=79
1581,fullaweisjan* 1,got,V.,"überreden, überzeugen","instruct thoroughly, indoctrinate fully, make fully informed",https://koeblergerhard.de/wikiling/?f=got&page=80
1582,fullawita* 3,got,"Adj., M.",vollkommen,"complete (Adj.), perfect",https://koeblergerhard.de/wikiling/?f=got&page=80
1583,*fullei?,got,F.,Fülle,fullness,https://koeblergerhard.de/wikiling/?f=got&page=80
1584,*fulleins?,got,F.,"Füllung, Erfüllung","filling (N.), fulfillment",https://koeblergerhard.de/wikiling/?f=got&page=80
