#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung
693,"*balþs, *bald-",got,Adj.,"„geschwollen“, kühn",bold (Adj.)
694,*balu?,got,N.,"Unglück, Übel","bale (N.), viciousness, balefulness"
695,*balus,got,Adj.,"böse, übel","baleful, pernicious"
696,*balwaweis,got,Adj.,"böse, übel","baleful, wicked, malicious"
697,balwaweisei*,got,F.,,
698,"balwawēsei* 1, balwaweisei*",got,F.,Bosheit,"malice, wickedness, evil (N.)"
699,balweins* 2,got,F.,"Pein, Strafe, Folter, Qual","torture (N.), torment (N.), punishment"
700,balwjan 4,got,V.,"martern, quälen, plagen","torture (V.), torment (V.), martyr (V.)"
701,bandi 7,got,F.,"Band (N.), Fessel (F.) (1)","bond, fetter"
702,bandja 6,got,M.,"Gefangener, Gebundener","person in bonds, prisoner, captive (M.)"
703,bandwa* 1,got,F.,Zeichen,"sign (N.), token (N.)"
704,bandwjan* 11,got,V.,"ein Zeichen geben, Wink geben, andeuten, bezeichnen","mark (V.), designate, indicate, make a sign, signify"
705,bandwō 2,got,F.,"Zeichen, verabredetes Zeichen","mark (N.), token (N.), sign (N.)"
706,banja* 3,got,F.,"Schlag, Wunde, eiternde Wunde, Geschwür","open wound, sore (N.)"
707,*bannwīda,got,F.,Bannweite,reach of ban
708,bansts* 2,got,M.,"Scheuer, Scheune","barn, storehouse"
709,bar,got,N.,,
710,*bara?,got,M.,Mann,man
711,barbarus 1,got,M.,"Nichtgrieche, Barbar, Ausländer, Fremder","foreigner, barbarian"
712,*bards (1) 1,got,M.,Bart,beard
713,*bards (2),got,M.,Riese (M.),giant (M.)
714,*baris,got,N.,Gerste,barley
715,barizeins* 4,got,Adj.,"von Gerste bereitet, gersten, Gersten...","of barley, made of barley flour"
716,barms* 5,got,M.,"Busen, Schoß (M.) (1), Brust","lap (N.), bosom, breast (N.)"
717,barn 78,got,N.,Kind,child
718,*barnahs?,got,Adj.,bekindet,with children
719,barnilō 8,got,N.,"Kindlein, Kindchen, Knäblein","little child, son"
720,barniskei* 1,got,F.,"kindliches Wesen, Kinderei","childishness, childish nature, childlike matters"
721,barniski* 2,got,N.,Kindheit,childhood
722,barnisks* 2,got,Adj.,"kindlich, kindisch","childish, childlike"
723,bars,got,M.,,
724,*barsiks?,got,M.,Barsch,perch
725,barusnjan 1,got,V.,"fromm verehren, verehren, kindlich ehren","show loyalty, show filial piety towards, acknowledge the parental prerogatives o>>>"
726,*bas,got,Adj.,"bar (Adj.), bloß",bare (Adj.)
727,basi*,got,N.,Beere,berry
728,*bata,got,M.,"Nutzen, Vorteil","benefit (N.), worthiness, avail (N.), advantage, profit (N.)"
729,"*batis, *bats?",got,Adj.,"gut, bessere","good, better (Adj.)"
730,batista,got,"Adj., Adj.",,
731,batists*,got,"Adj., Adj.",,
732,batiza* 11,got,"Adj., Adj.",bessere,better (Adj.)
733,*batnan?,got,V.,besser werden,become better off
734,*bats,got,Adj.,,
735,báuains 4,got,F.,Wohnung,"dwelling, habitation, living quarters, dwelling place, home (N.)"
736,báuan 14,got,V.,"wohnen, bewohnen","dwell, inhabit, live"
737,"*-baudes, *baudes",got,M.,Gebieter,"master (M.), lord"
738,*baugjan,got,V.,fegen,sweep
739,*baugs,got,M.,Ring,ring (N.)
740,*bauhtabōka,got,"F., N.",,
741,*baúhts?,got,F.,,
742,*bauljan?,got,V.,blasen,blow (V.)
743,*bauljō,got,F.,"Blase, Beule","bubble (N.), boil (N.), blister (N.)"
744,baúr* (1) 2,got,M.,Geborener,"he who is born, person given birth"
745,*baúr (2),got,M.,,
746,*baúr (3),got,N.,,
747,"*-baúrans?, *baúrans?",got,"V., Adj.",geboren,born
748,*baúrd (1),got,N.,Brett,board (N.)
749,*baúrd (2),got,N.,"Bord, Rand","ledge, edge"
750,*baúrgeins?,got,F.,,
751,baúrgja* 2,got,M.,Bürger,"citizen, burgher"
752,*baúrgjan?,got,V.,bergen,save (V.)
753,baúrgs (1) 59,got,"F., Sb.","Turm, Burg, Stadt","castle, citadel, city, tower (N.) (1)"
754,*baúrgs (2),got,Adj.,,
755,baúrgswaddjus 4,got,F.,Stadtmauer,"town wall, city circumvallation, city wall"
756,*baúrjaba?,got,Adv.,,
757,*baúrjō?,got,Adv.,,
758,*baúrjōn,got,V.,,
759,*baúrjōþus 1,got,M.,Lust,"pleasure, enjoyment"
760,*baurs?,got,M.,Wind,wind (N.)
761,*baúrsti?,got,F.,Bürste,"bristle (N.), brush (N.)"
762,*baurtils?,got,M.,Bürzel,rump
763,baúrþei* 1,got,F.,"Bürde, Last","burden (N.), load (N.)"
764,*baúrþiwaurd?,got,N.,,
765,*baúrþs (1),got,Adj.,getragen,"borne, carried"
766,*baúrþs (2),got,F.,,
767,*bausei?,got,F.,"Bosheit, List, Betrug","malice, nastiness, cunning, deceit, deception"
768,*bautan?,got,V.,"stoßen, schlagen, werfen","punch (V.), beat (V.)"
769,bauþs 7,got,Adj.,"stumm, taub, dumm, dumpf","deaf, deaf-mute, dumb, dulled in hearing, dulled"
770,*bawiþa?,got,F.,"Hütte, Bau","hut, building"
771,*bazjan?,got,V.,"leeren, entkräften, entblößen","empty (V.), weaken, debilitate, bare (V.), expose, uncover"
772,*bēga?,got,F.,Streit,"quarrel (N.), squabble (N.)"
773,beidan* 8,got,V.,"warten, erwarten","await, wait for, look for"
774,*beisnei?,got,F.,,
775,*beisneigs?,got,Adj.,,
776,*beisns?,got,F.,,
777,beist* 7,got,N.,"Sauerteig, Biestmilch","yeast, leaven (N.)"
778,*beistei?,got,F.,"Gesäuertes, Gesäuertsein","leavenedness, fermentedness"
779,*beistjan?,got,V.,säuern,leaven (V.)
780,*beistjōþs?,got,"V., Adj.",gesäuert,"leavened, fermented"
781,"*-beit?, *beit?",got,N.,,
782,beitan* 1,got,V.,beißen,bite (V.)
783,*bel-,got,Sb.,"Streitaxt, Bär (M.) (1)?","battleaxe, bear (N.)?"
784,belagines,got,F.,Recht,law
785,*bera?,got,M.,,
786,"bercna 1, bairkan*?",got,N.,"Birkenreis, b-Rune","birch seedling, name of b-rune"
787,*bere-,got,M.,,
788,*bergō?,got,F.,,
789,berhts*,got,Adj.,,
790,*bērs?,got,M.,Eber,boar
791,*bērusi?,got,F.,"Gebärende, Mutter (F.) (1)","she having borne, she who has borne"
792,"bērusjōs 3, bīrusjōs",got,M.,Eltern,parents
793,bi 384381,got,"Präp., V.","um, herum, an, in, innerhalb, inbetreff, über, gemäß, bei, nach, betreffs, zu","by, at, around, near, round about, about, over, concerning, approximately, withi>>>"
794,biabrjan* 1,got,V.,"außer sich geraten über, sich entsetzen, heftig werden","be shocked, be struck aback, be taken aback, be agitated severely, be astonished"
795,biarbaidjan 1,got,V.,"trachten nach, sich bemühen","strive after, work towards"
796,*biari?,got,N.,,
797,biaukan* 3,got,V.,hinzufügen,"add, enlarge, expand"
798,biauknan 2,got,V.,"sich vermehren, zunehmen","increase (V.), abound, grow in abundance"
799,bibaúrgeins* 1,got,F.,Lager,"camp (N.), circumvallated stronghold"
800,*bibaúrgjan?,got,V.,"„bergen“, zur Stadt machen, befestigen","protect, make into a walled city, make into a fortified residential stronghold"
801,bibindan* 1,got,V.,"umbinden, umwickeln","bind about, bind around, bind up"
802,bida 29,got,F.,"Bitte, Gebet, Aufforderung","request (N.), supplication, prayer, demand (N.), entreaty, exhortation"
803,bidagwa 1,got,M.,Bettler,beggar
804,*bidan?,got,V.,bitten,"ask for, beseech"
805,bidjan 134133,got,V.,"bitten, beten, betteln","pray, beseech, request (V.), entreat, ask, ask a favour, ask for, beg, petition >>>"
806,bidōmjan* 1,got,V.,verurteilen,"judge (V.), criticize, pass judgement on, sit in judgement on"
807,bifaih* 1,got,N.,Übervorteilung,"exaction, self-enrichment at others expense"
808,bifaihō* 1,got,F.,,
809,bifaihōn* 3,got,V.,übervorteilen,"take advantage of, defraud, exploit s.o. financially, enrich o.s. at the expense>>>"
810,"bifaihōns* 1, bifaihō* 1",got,F.,Übervorteilung,"financial exploitation, self-enrichment at others expense"
811,bigaírdan* 1,got,V.,umgürten,gird
812,bigardio*,got,Sb.,"Gehege, Garten","reserve (N.), garden"
813,bigitan 66,got,V.,"finden, antreffen, auffinden","find (V.), discover"
814,bigraban* 1,got,V.,mit einem Graben umgeben (V.),"surround by digging, dig around s.th., dig so as to surround, surround with a ra>>>"
815,bihait* 1,got,N.,üble Nachrede,"obloquy, defamation, slander (N.), evil report"
816,*bihaitan?,got,V.,"prahlen, verleumden","proclaim about, call out about, speak vociferously"
817,bihaitja 2,got,M.,"Prahler, streitsüchtiger Mensch","boaster, braggart"
818,bihlahjan* 3,got,V.,"verlachen, verspotten, auslachen","laugh at, deride"
819,biƕaírban* 1,got,V.,umdrängen,"encircle, surround (V.)"
820,biƕē 1,got,Adv.,woran,"whereby, by means of what, how"
821,*bijands,got,"Adv., V.",,
822,bijandzuþþan 1,got,Adv.,zugleich aber auch,"but then along with that, and at the same time, but then simultaneously, but the>>>"
823,bikukjan 1,got,V.,mit Küssen bedecken,cover with kisses
824,*bilageins?,got,F.,Gesetz?,law
825,*bilagjan?,got,V.,auferlegen,"lay down, impose"
826,bilaibjan* 1,got,V.,übriglassen,"leave over, leave behind, leave remaining"
827,"bilaif* 1, bilaifs* 1?",got,N.,"Überrest, Rest","what remains behind, surviving remnant, remains (N.)"
828,bilaifs*,got,N.,,
829,bilaigōn* 1,got,V.,"belecken, ablecken",lick (V.)
830,bilaikan* 6,got,V.,verspotten,"poke fun at, mock (V.)"
831,*bilaistiþs?,got,"V., Adj.","aufspürbar, erforscht, begreiflich","traced, tracked down, explored"
832,*bileiban,got,V.,bleiben,"remain (V.), be left"
833,bileiþan* 26,got,V.,"verlassen (V.), zurücklassen, hinterlassen","leave behind, relinquish, abandon (V.)"
834,*bilgan?,got,V.,schwellen,swell (V.)
835,*bilisa?,got,F.,Bilsenkraut,henbane
836,bimait 18,got,N.,Beschneidung,circumcision
837,bimaitan 11,got,V.,beschneiden,circumcise
838,bimaitans?,got,"V., Adj.",,
839,bimampjan* 1,got,V.,"verhöhnen, verspotten","mock (V.), scoff at, turn up the nose at, make a face at, sneer at"
840,binah-,got,V.,,
841,binaúhan* 3,got,V.,"dürfen, erlaubt sein (V.), nötig sein (V.)","be permitted, be allowed, be just enough, be barely adequate, satisfy requiremen>>>"
842,*binda?,got,F.,"Binde, Band (N.)","band, ligament (N.), ligature"
843,bindan* 1,got,V.,binden,bind
844,*bindi?,got,F.,,
845,biniman* 1,got,V.,"wegnehmen, stehlen","take away, purloin, steal away"
846,biniuhsjan 1,got,V.,"auskundschaften, ausspionieren, ausforschen","reconnoiter, scout out, spy out"
847,biqiman* 1,got,V.,überfallen (V.),"come round about, encompass, envelop (V.), attack (V.)"
848,biraubōn* 2,got,V.,"berauben, ausziehen","rob, strip of"
849,"bireikei* 1, bireiki*",got,F.,Gefahr,"peril, danger"
850,"bireikeis* 2, birēkeis*",got,Adj.,gefährdet,"imperiled, in danger, endangered"
851,birēkeis*,got,Adj.,,
852,birinnan* 2,got,V.,"umringen, herumlaufen, durchstreifen, umdrängen, umgeben (V.), umherlaufen","run around, run about, surround (V.), gather around"
853,birōdeins 43,got,F.,"Murren, Verleumdung","grumbling (N.), murmuring (N.), whispering (N.), complaining (N.)"
854,birōdjan* 7,got,V.,"murrend reden, murren","grumble (V.), murmur (V.), whisper (V.), complain, mutter (V.)"
855,birūnains* 1,got,F.,"Nachstellung, Anschlag","plotting (N.), intrigue (N.), beguiling"
856,*birūnan?,got,V.,"leise sprechen, sich verschwören, beschließen","conspire, take secret counsel about, consult secretly about, plan together secre>>>"
857,bīrusjōs?,got,M.,,
858,bisaíƕan* 5,got,V.,"umsehen, ansehen, bemerken, sorgen für, sich vorsehen, erkennen, betrachten","look around, look round about, descry, discern (V.), take notice of, perceive, p>>>"
859,bisatjan* 1,got,V.,umgeben (V.),"set around, surround (V.)"
860,bisauleins* 1,got,F.,Befleckung,"spotting (N.), defilement"
861,bisauljan* 1,got,V.,"besudeln, beflecken","spot (V.), pollute, contaminate, sully (V.)"
862,bisaulnan* 1,got,V.,"besudelt werden, befleckt werden, verunreinigt werden","be contaminated, become contaminated, be spotted, become spotted, be sullied, be>>>"
863,bisitan* 5,got,V.,"herumsitzen, herumwohnen, umwohnen, nahe wohnen","be situated around, neighbour (V.), dwell round about"
864,bisitands?,got,M.,,
865,biskaban* 1,got,V.,"schaben, scheren (V.) (1), Haare abschneiden","shave around the head, shave bald, shear (V.)"
866,biskeinan* 1,got,V.,umleuchten,shine around
867,bismeitan* 1,got,V.,"bestreichen, beschmieren, aufstreichen","besmear, anoint, smear on, daub on"
868,bisniwan* 1,got,V.,"zuvorkommen, zuvoreilen","speed on by, precede"
869,bispeiwan* 2,got,V.,"bespeien, anspeien","spit upon, spit at, cover with spit"
870,bistandan* 2,got,V.,"herumstehen, umringen","stand around, surround (V.)"
871,bistigqan* 5,got,V.,"anstoßen, anprellen","impinge, collide, stumble (V.), strike against"
872,"bistugq* 54, bistuggq",got,N.,Anstoß,"stumbling-block, hitting against, striking against, obstacle"
873,bisunjanē 8,got,Adv.,ringsum,"round about, in the hear (N.) of, neighbouring (Adv.)"
874,*-bisuus?,got,Adj.,geschäftig?,busy
875,biswaírban* 4,got,V.,"abwischen, abtrocknen","wipe around, wipe all around, wipe off, dry (V.)"
876,biswaran* 2,got,V.,beschwören,"adjure, put under oath"
877,bitiuhan 3,got,V.,"umherführen, umherziehen, durchziehen, mitführen, durchwandern","lead around, traverse (V.), move about through, go around, take along"
878,biþagkjan* 1,got,V.,"bedenken, überlegen (V.)","think over, think about, meditate on, consider"
879,biþē 69,got,"Adv., Konj.","nachher, später, während (Konj.), als, sobald als, nachdem, da","therewith, at the point where, at the point when, thereafter, afterward, after t>>>"
880,biþragjan* 1,got,V.,"herbeilaufen, vorauslaufen, hinzulaufen","run up to, run up close by, run on"
881,biþwahan* 1,got,V.,"abwaschen, waschen","wash all around, wash (V.)"
882,*biudan,got,V.,"bieten, entbieten",bid (V.)
883,biugan* 2,got,V.,"beugen, sich beugen","bow (V.), bend (V.)"
884,biūhti 6,got,N.,Gewohnheit,"custom, usage, practice (N.)"
885,biūhts 2,got,Adj.,gewohnt,"accustomed, used to, wont"
886,biuþs* 5,got,M.,"Tisch, Platte",eating table
887,biwaibjan* 3,got,V.,"umwinden, umgeben (V.), umkleiden","surround (V.), clothe, wrap around, envelop, wind round about"
888,biwandjan* 5,got,V.,vermeiden,"avoid, circumvent, shun"
889,biwindan* 4,got,V.,"umwinden, einwickeln, umwickeln, in Windeln wickeln","wind around, wrap around, swaddle (V.)"
890,biwisan* 1,got,V.,"sich erfreuen, sich vergnügen","dine together, dine convivially, have a festive get-together, make merry"
891,*blagks?,got,Adj.,"weiß, glänzend","white, shining (Adj.)"
892,blandan (sik) 3,got,V.,"sich vermischen mit, mischen","mix (V.), mingle, commix, intermingle, associate with"
893,*blas?,got,Sb.,"Fackel, Flamme","torch (N.), flame"
894,*blauts?,got,Adj.,bloß,bare (Adj.)
895,blauþjan* 1,got,V.,"abschaffen, aufheben","make powerless, bring to naught, defeat (V.)"
896,"*blauþs, *blauþus",got,Adj.,"schwach, kraftlos","powerless, beaten, stricken from power"
897,*blauþus,got,Adj.,,
898,*bleis,got,Adj.,farbig,coloured
899,bleiþei 4,got,F.,"Wohlwollen, Güte, Mitleid, Erbarmen","benevolence, good will, kind-heartedness, mercy (N.), clemency"
900,*bleiþeins,got,F.,"Erbarmen, Mitleid","pity (N.), compassion, mercy (N.)"
901,bleiþjan* 2,got,V.,"barmherzig sein (V.), sich erbarmen, Mitleid hegen","take pity, be kind-hearted, be merciful, be clement"
902,bleiþs 2,got,Adj.,"dem Guten zugetan, barmherzig, fromm, gütig, mild, mitleidig","kind-hearted, merciful"
903,*blēsan?,got,V.,blasen,blow (V.)
904,*blēsi,got,Sb.,"Fackel, Feuer","torch (N.), fire (N.)"
905,*blēsjan?,got,V.,"versengen, ätzen","singe, etch (V.)"
906,*blēstjan?,got,V.,"blasen, schnauben","blow (V.), snort (V.)"
907,*blēsts?,got,M.,"Blasen (N.), Schnauben","blow (N.), snort (N.)"
908,bliggwan* 6,got,V.,schlagen,"beat (V.), flog, strike (V.), beat to death, slay"
909,*blindjan?,got,V.,blenden,blind (V.)
910,*blindnan?,got,V.,"erblinden, blind werden",grow blind
911,blinds 32,got,Adj.,blind,"blind (Adj.), sightless"
912,blōma* 1,got,M.,"Blume, Lilie",flower (N.)
913,*blōstr?,got,N.,Opfer,"rite, sacrificial ceremony"
914,*blōstreis?,got,M.,Verehrer,worshipper
915,blōtan 3,got,V.,"verehren, opfern","serve, honour (V.), worship (V.)"
916,*blōteins?,got,F.,Verehrung,worship (N.)
917,blōtinassus* 3,got,M.,"Verehrung, Gottesverehrung","sacrifice (N.), worship (N.), religious veneration"
918,blōþ 2120,got,N.,Blut,blood
919,blōþarinnandei?,got,"V., F.",,
920,blōþarinnands 2,got,"V., Adj.",blutflüssig,"blood-running (Adj.), bleeding (Adj.), hemmorrhaging (Adj.)"
921,*blunds?,got,Adj.,blond,blond (Adj.)
922,bnáuan* 1,got,V.,zerreiben,rub (V.)
923,boga* 1,got,M.,Bogen,bow (N.)
924,bōka 3433,got,F.,"Buchstabe, Schrift (= bōkōs), Brief (= bōkōs), Buch (= bōkōs), Urkunde (= bōkōs)>>>","script (= bōkōs), written passage (= bōkōs), something written (= bōkōs), writte>>>"
925,bōkāreis 39,got,M.,"Schriftgelehrter, Schreiber","writer, scribe, secretary-lector of a religious community"
926,borrotsch,got,M.,,
927,bōta* 3,got,F.,Nutzen,"advantage (N.), benefit (N.), good (N.), aid (N.), usefulness, profit (N.)"
928,bōtjan* 4,got,V.,"nützen, bessern","do good to, bring good to, be of use, aid (V.), improve, benefit (V.), profit (V>>>"
929,braƕ* 21,got,N.,"Braue, Zwinkern, Blick","flicker (N.), blink (N.), twinkling (N.), glance (N.)"
930,braidei 1,got,F.,Breite,"bredth, width"
931,*braidjan?,got,V.,breiten,spread (V.)
932,*braiƕan?,got,V.,"strahlen, glänzen","shine (V.), gleam (V.)"
933,braiþs* 1,got,Adj.,breit,"broad (Adj.), wide"
934,brakja 1,got,F.,"Ringen, Ringkampf, Kampf","wrestling (N.), struggle (N.)"
935,*bramjan?,got,V.,brüllen,roar (V.)
936,*brammōn?,got,V.,brüllen,roar (V.)
937,*branda?,got,M.,"Feuerbrand, Brand",fire (N.)
938,*brands (1),got,M.,Brand,fire (N.)
939,"*brands (2), *branþs",got,M.,Schwert,sword
940,*brannjan?,got,V.,verbrennen,burn (V.)
941,*branþs?,got,M.,,
942,*brasa?,got,F.,glühende Kohle,red-hot coal
943,*brasōn,got,V.,braten,roast (V.)
944,*brauþ?,got,N.,Brot,bread
945,breen 1,got,V.,schmoren,roast
946,*breuwan,got,V.,"wallen (V.) (1), sieden","surge, seethe, boil"
947,*bridila,got,M.,"Brettchen, Schemel","platter, stool"
948,*brigdil,got,M.,Zügel,rein (N.)
949,briggan 39,got,"V., V.","bringen, führen machen","bring, lead (V.), conduct (V.), render, cause to become"
950,brikan* 3,got,V.,"brechen, zerstören, kämpfen, ringen, zerbrechen, vernichten","break (V.), wreck (V.), demolish, wrestle (V.), fight (V.), battle (V.)"
951,brinnan* 1,got,V.,brennen,"burn (V.), be afire"
952,brinnō 4,got,F.,Fieber,"fever (N.), pyrexia"
953,*bristan?,got,V.,"bersten, brechen",burst (V.)
954,*briþ?,got,N.,Brett,board (N.)
955,broe 1,got,Sb.,Brot,bread
956,*brōjan?,got,V.,brühen,scald (V.)
957,*broks,got,Sb.,Hose,trousers
958,"brōþar, 150149",got,M.,Bruder,brother
959,brōþrahans 1,got,M.,Brüder,brethren
960,*brōþrahs?,got,Adj.,brüderlich,"fraternal, brotherly"
961,brōþrulubō* 2,got,F.,Bruderliebe,brotherly love
962,bruder,got,M.,,
963,*brugdjan?,got,V.,"schwingen, bewegen",swing (V.)
964,*bruka?,got,F.,Brocken,"broken piece, fragment"
965,*brukja?,got,M.,Brocken,"broken piece, fragment"
966,brūkjan 10,got,V.,"gebrauchen, brauchen, anwenden","use (V.), make use of"
967,*bruknan?,got,V.,gebrochen werden,become broken
968,brūks 7,got,Adj.,brauchbar,"useful, serviceable, usable"
969,brunjō* 2,got,F.,"Brustharnisch, Brünne","breastplate, byrnie"
970,brunna 2,got,M.,"Brunnen, Quelle, Born","fountain, source, well (N.)"
971,*brūns,got,Adj.,"braun, glänzend","brown, shining (Adj.)"
972,*brunsts,got,F.,"Brennen, Brand","burn (N.), fire (N.)"
973,*brust,got,Sb.,Bersten,burst (N.)
974,"*brusti, *brustja",got,Sb.,"Bürste, Striegel","brush (N.), currycomb"
975,*brustja,got,Sb.,,
976,*brustjan,got,V.,sprossen,bud (V.)
977,brusts 6,got,"F., Sb.","Brust, (Eingeweide), Herz, Gemüt","breast (N.), heart, thorax, chest"
978,*brutilō,got,F.,Spross,shoot (N.)
979,*brutōn?,got,V.,knospen,bud (V.)
980,*bruts?,got,Sb.,Knospe,bud (N.)
981,*bruþ?,got,N.,Brühe,soup
982,brūþfaþs 10,got,M.,"„Brautführer“, Bräutigam, Hochzeiter, Brautgemach",bridegroom
983,brūþs* 1,got,F.,"Neuvermählte, Schwiegertochter, junge Frau","bride, young wife"
984,*bruzdōn?,got,V.,sticken,embroider
985,*buggja?,got,M.,"Knolle, Schwellung","nodule, tuber, swelling"
986,bugjan* 9,got,V.,"kaufen, verkaufen","buy (V.), purchase (V.)"
987,*būks,got,M.,Bauch,"stomach, belly"
988,*Bulgar,got,M.,Bulgar,Bulgarian
989,*bundi?,got,F.,,
990,*bundnan?,got,V.,gebunden werden,"be bound, become bound"
991,*būrjō,got,F.,Gebäude,building (N.)
992,*būska,got,F.,Scheit,"log (N.), piece of wood"
993,*būsns,got,F.,Gebot,"command (N.), commandment"
994,"bwssaún, 1",got,F.,"feines Linnen, feine Leinwand","fine linen, byssus"
995,cadariou 1,got,M.,Soldat,soldier
996,Chinda-,got,PN,,
997,Chint-,got,PN,,
998,chozma,got,M.,,
999,contropare 3,got,V.,vergleichen,compare
1000,contropatio 11,got,F.,Vergleich,comparison
1001,"criten* 1, kriten*",got,V.,weinen,cry (V.)
1002,d 1,got,Buchstabe,"d, Abkürzung für 4","d, abbreviation for 4"
1003,daaz,got,M.,,
1004,*daban?,got,V.,"sich ereignen, passen","pertain properly to, be appertinent to, be appropriate to"
1005,daddjan* 1,got,V.,säugen,"suckle (V.), give suck"
1006,*dagis?,got,Adv.,tags,"in the daytime, by day"
1007,dags 186,got,M.,"Tag, d-Rune","day, name of d-rune"
1008,daigs 6,got,M.,Teig,"plastic mass, mouldable mass, mouldable batch, dough, batch of dough, lump of do>>>"
1009,daila* (1) 4,got,F.,"Teilnahme, Gemeinschaft, Mine (= Münze), Pfund","partaking (N.), participation, community, partnership, incompleteness, fragmenta>>>"
1010,*daila (2),got,M.,,
1011,dailjan 3,got,V.,"teilen, einem zuteilen, mitteilen","share (V.), divide, impart, deal out, distribute"
1012,dails* 7,got,F.,"Teil, Anteil","part (N.), portion (N.), share (N.)"
1013,daimōnāreis 5,got,M.,Besessener,"person possessed by the devil, demoniac"
1014,dal,got,N.,,
1015,dalaþ 17,got,Adv.,"zu Tal, abwärts, nieder, herab, hinunter, hinab","downward, onto the ground, down (Adv.)"
1016,dalaþa 1,got,Adv.,unten,"below, beneath, down below"
1017,dalaþrō 1,got,Adv.,"von unten, unten","from below, from beneath"
1018,*dalja?,got,"M., N.",,
1019,"dals* 3, dal (?)",got,M.,"Grube, Schlucht, Tal","ravine, pit (N.), ditch (N.), trench (N.), dale, valley"
1020,*dammjan?,got,V.,dämmen,dam (V.)
1021,*damms?,got,M.,Damm,"dam (N.), dike (N.)"
1022,*Danila?,got,M.,Dänlein,little Dane
1023,*Dans?,got,M.,Däne,Dane
1024,*Danus?,got,M.,Däne,Dane
1025,*darnjan?,got,V.,verheimlichen,"keep secret, conceal"
1026,*darns?,got,Adj.,zauberisch,enchanting
1027,daubei 1,got,F.,"Taubheit, Verhärtung, Verstocktheit","stubbornness, insensitivity, insensibility, numbness"
1028,daubiþa* 2,got,F.,"Verstocktheit, Verhärtung, Taubheit","insensitivity, dullness, numbness, stubbornness"
1029,*daubjan?,got,V.,"taub sein (V.), verstocken","be insensitive, be numb, harden"
1030,*daubnan?,got,V.,"verstockt werden, taub werden","grow insensitive, become numb, become hardened"
1031,*daudei?,got,F.,,
1032,*daudjan?,got,V.,,
1033,*daudō?,got,Adv.,,
1034,daufs* 1,got,Adj.,"taub, verstockt","insensitive, insensate, dull (Adj.), numb (Adj.), deaf, stubborn, numbed, deaden>>>"
1035,daug?,got,V.,,
1036,daúhtar 20,got,F.,Tochter,daughter
1037,daúhts* 2,got,F.,"Bewirtung, Mahl, Gastmahl, Mahlzeit","feast (N.), banquet"
1038,*dauiþs?,got,"V., Adj.",,
1039,*daujan?,got,V.,,
1040,*dauka (1),got,Sb.,"Erdhöhle, Wohnung","dwelling (N.), lodging (N.), cave (N.)"
1041,*dauka (2),got,M.,,
1042,dauns 7,got,F.,"Geruch, Wohlgeruch, Dunst","odour (N.), aroma, fragrance, smell (N.), sense of smell"
1043,daupeins 19,got,F.,"Abwaschung, Taufe, Waschung","immersion, washing (N.), cleansing immersion, baptism"
1044,daupjan 24,got,V.,"taufen, tauchen, sich taufen lassen","immerse, baptize, wash o.s., be baptized, become baptized"
1045,daupjands 10,got,M.,Täufer,"baptist, baptizer"
1046,daúr 15,got,N.,"einflügeliges Tor, Tür, Pforte","door of one piece not double, gate, gateway"
1047,daúrawarda* 1,got,F.,"Türhüterin, Pförtnerin","female doorkeeper, portress"
1048,daúrawardō 1,got,F.,"Türhüterin, Pförtnerin","female doorkeeper, portress"
1049,daúrawards 3,got,M.,"„Torwart“, Türhüter","doorkeeper, gatekeeper, porter"
1050,*daúri?,got,N.,Tor (N.),"door, gate"
1051,daúrō* 4,got,F.,"zweiflügeliges Tor, Tür, Pforte","double door, double gate, gates"
1052,*daúrsan?,got,V.,wagen,dare
1053,dauþeins* 2,got,F.,"Absterben, Sterben, Tod, Todesgefahr","killing (N.), putting to death"
1054,dauþjan* 21,got,V.,töten,"kill (V.), put to death, mortify"
1055,dauþnan* 1,got,V.,sterben,die
1056,dauþs (1) 56,got,Adj.,tot,"dead, having died"
1057,*dauþs (2),got,Adj.,,
1058,dauþubleis* 1,got,Adj.,"zum Tode bestimmt, dem Tode geweiht, zum Tode verurteilt","sentenced to death, marked for death"
1059,dauþus 4746,got,M.,Tod,death
1060,*dēdja?,got,M.,Täter,"„doer“, culprit"
1061,"*deinō, (deina?)",got,"F., F.",Distel,thistle
1062,*deis?,got,Adj.,"weise, klug","wise, clever, intelligent"
1063,*deisei,got,F.,Schlauheit,"craftiness, cunning (N.)"
1064,*deltha,got,Adj.,,
1065,*dēþs,got,F.,Tat,"making (N.), rendering (N.), deed (N.)"
1066,"diabaúlus 13, diabulus",got,M.,Teufel,"slanderer, devil"
1067,diabula* 1,got,F.,Verleumderin,"slanderer, slanderess"
1068,diabulus,got,M.,,
1069,diakaúnus* 9,got,M.,"Diakon, Pfleger","deacon, servant"
1070,digan* 2,got,V.,"kneten, aus Ton bilden, bilden, formen","knead, mold, form out of clay"
1071,digands*,got,M.,,
1072,*digis?,got,N.,,
1073,digrei* 1,got,F.,Fülle,"plumpness, abundance, stoutness, thickness"
1074,*digrs?,got,Adj.,"voll, zusammengeknetet, dicht","plump, stout, thick, kneaded all together"
1075,dis-,got,V.,"zer..., auseinander..., ver...","asunder, apart, away"
1076,disdailjan* 3,got,V.,"verteilen, zerteilen, teilen","distribute, divide up, partition, parcel out, apportion"
