hun_lemma,hun_year,info,info_en,disambiguated,hun_suffix,en_human,hun_en,orig,hun_orig_en,orig_tag,hun_pos,wordipa
elég,1372,"13. sz. második fele (?), 1372 u.","13. century második fele (?), after  1372 ",elég,,"['to burn, burnt', 'to burn', 'to burn away', 'to burn out', 'enough', 'fairly', 'to last', 'to last out', 'no more', 'not any more', 'rather', 'suffice', 'to suffice', 'sufficient']","burn, burnt, burn, burn_away, burn_out, enough, fairly, last, last_out, no_more, not_any_more, rather, suffice, suffice, sufficient",3. Megszilárdult ragos alak ,3. Solidified sticky shape,,a,ɛleːɡ
árt,1300,13. sz. második fele,13. century második fele,árt1,,"['to disagree', 'to harm', 'to hurt, hurt', 'to injure', 'to wrong']","disagree, harm, hurt, hurt, injure, wrong",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,v,aːrt
egész,1300,13. sz. második fele,13. century második fele,egész,,"['all', 'clear', 'complete', 'complex', 'entire', 'fairly', 'integral', 'plumb', 'round', 'some', 'total', 'whole']","all, clear, complete, complex, entire, fairly, integral, plumb, round, some, total, whole",II. Iráni (például alán) jövevényszavak ?,"II. Iranian (for example, under) newcomer words?",,a,ɛɡeːs
ige,1300,13. sz. második fele,13. century második fele,ige,,"['verb', 'word']","verb, word",b) Csuvasos típusú jövevényszavak ?,b) Chuvash type newcomer words?,,n,iɡɛ
kór,1300,13. sz. második fele,13. century második fele,kór,,['disease'],disease,d) Nyugati szláv jövevényszavak (általában) ,d) West Slavic newcomer words (usually),,n,koːr
nemz,1300,13. sz. második fele,13. century második fele,nemz,,"['to beget, begat, begotten', 'to beget, begot, begotten', 'to breed, bred', 'to engender', 'to father', 'to gender', 'to get, got', 'interface', 'to iron out', 'to procreate', 'to reproduce', 'to sire']","beget, begat, begotten, beget, begot, begotten, breed, bred, engender, father, gender, get, got, interface, iron_out, procreate, reproduce, sire",1. Származékszavak ,1. Derivatives,,v,nɛmz
száj,1300,13. sz. második fele,13. century második fele,száj,,"['chops', 'gob', 'gullet', 'kisser', 'lip', 'lips', 'mouth', 'mug', 'mush', 'muss', 'muzzle', 'rattletrap', 'trap']","chops, gob, gullet, kisser, lip, lips, mouth, mug, mush, muss, muzzle, rattletrap, trap","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,saːj
szid,1300,13. sz. második fele,13. century második fele,szid,,"['to chide, chid, chidden', 'to cuss', 'to lash', 'to scold', 'to swear at', 'to zonk it to sy']","chide, chid, chidden, cuss, lash, scold, swear_at, zonk_it_sy",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,v,sid
szűk,1300,13. sz. második fele,13. century második fele,szűk,,"['close', 'cramp', 'cramped', 'to fit tight', 'narrow', 'pokey', 'poky', 'scanty', 'skimpy', 'strait', 'tight']","close, cramp, cramped, fit_tight, narrow, pokey, poky, scanty, skimpy, strait, tight",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,a,syːk
tanít,1300,13. sz. második fele,13. century második fele,tanít,,"['to edify', 'to educate', 'to indoctrinate', 'to instruct', 'to profess', 'to school', 'to teach, taught']","edify, educate, indoctrinate, instruct, profess, school, teach, taught","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,v,tɒniːt
tanú,1300,13. sz. második fele,13. century második fele,tanú,,"['test', 'witness']","test, witness",a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,tɒnuː
vádol,1300,13. sz. második fele,13. century második fele,vádol,,"['to accuse', 'to charge', 'to impeach', 'to incriminate', 'to indict']","accuse, charge, impeach, incriminate, indict",a) Bolgár jövevényszavak ?,a) Bulgarian newcomer words?,,v,vaːdol
angyal,1300,13. sz.  vége,end of 13. century  ,angyal,,"['angel', 'cherub, cherubim']","angel, cherub, cherubim",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,ɒnɟɒl
hord,1372,"1300 k. tn.,  1372 u.","ca. 1300  placename, after   1372 ",hord,,"['to bear, bore, borne', 'to carry', 'to cart', 'to convey', 'to hold, held', 'to port', 'to tote', 'to wear, wore, worn']","bear, bore, borne, carry, cart, convey, hold, held, port, tote, wear, wore, worn","3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,v,hord
súg,1470,"1300 k. tn.,  1470","ca. 1300  placename,   1470",súg,,"['to cheat', 'to prompt', 'to whisper']","cheat, prompt, whisper","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,ʃuːɡ
fogoly,1300,1300 k.,ca. 1300 ,fogoly1,,"['captive', 'prisoner']","captive, prisoner",1. Származékszavak ,1. Derivatives,,n,foɡoj
hernyó,1300,1300 k.,ca. 1300 ,hernyó,,"['caterpillar', 'grub', 'worm']","caterpillar, grub, worm",9. Szófajváltással keletkezett szavak ?,9. Words formed by word change?,,n,hɛrɲoː
pitvar,1300,1300 k.,ca. 1300 ,pitvar,,court,court,,,,n,pitvɒr
ragya,1300,1300 k.,ca. 1300 ,ragya,,"['pit', 'pitting']","pit, pitting",c) Szlovén jövevényszavak ?,c) Slovenian newcomer words?,,n,rɒɟɒ
szerű,1300,1300 k.,ca. 1300 ,-szerű,+,threshing floor,threshing_floor,,,,a,sɛryː
zafír,1395,"1300 tn., 1395 k.","1300 placename, ca.  1395 ",zafír,,['sapphire'],sapphire,D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,zɒfiːr
apród,1416,"1300 tn., 1416 u.","1300 placename, after  1416 ",apród,,['page'],page,1. Származékszavak ,1. Derivatives,,n,ɒproːd
cinege,1533,"1300 tn., 1533","1300 placename,  1533",cinege,,['tit'],tit,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,t͡sinɛɡɛ
kincs,1372,"1301 tn., 1372 u.","1301 placename, after  1372 ",kincs,,"['hoard', 'treasure']","hoard, treasure",II. Iráni (például alán) jövevényszavak ?,"II. Iranian (for example, under) newcomer words?",,n,kint͡ʃ
özvegy,1372,"1302 tn., 1372 u.","1302 placename, after  1372 ",özvegy,,['relict'],relict,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,øzvɛɟ
szirt,1405,"1302 tn., 1405 k.","1302 placename, ca.  1405 ",szirt,,"['cliff', 'ledge', 'rock']","cliff, ledge, rock",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,sirt
fiatal,1302,1302,1302,fiatal,,"['to be in the green', 'to be of tender age', 'juvenile', 'tender', 'vealy', 'young', 'youthful']","be_in_the_green, be_of_tender_age, juvenile, tender, vealy, young, youthful",1. Származékszavak ,1. Derivatives,,a,fiɒtɒl
pázsit,1303,1303,1303,pázsit,,"['green', 'lawn', 'sward', 'turf', 'turf, turves']","green, lawn, sward, turf, turf, turves",,,,n,paːʒit
nyak,1372,"1304 tn., 1372 u.","1304 placename, after  1372 ",nyak,,"['barrel', 'collar', 'crag', 'nab', 'neck', 'scrag', 'stud', 'tang']","barrel, collar, crag, nab, neck, scrag, stud, tang","1. Ősi, uráli kori szavak ?",1. Ancient Uralic words?,U?,n,ɲɒk
kalmár,1304,1304,1304,kalmár,,['trafficker'],trafficker,7. Hazai német jövevényszavak ,7. Domestic German newcomer words,,n,kɒlmaːr
kutya,1511,"1305 k. tn. (?), 1511","ca. 1305  placename (?),  1511",kutya,,['dog'],dog,1. Származékszavak ?,1. Derivatives?,,n,kucɒ
csúcs,1536,"1305 tn., 1536","1305 placename,  1536",csúcs,,"['aces', 'apex, apices', 'to be all aces', 'crest', 'crown', 'culmination', 'head', 'max', 'peak', 'pinnacle', 'pitch', 'summit', 'tiptop', 'top', 'topgallant', 'vertex', 'vertex, vertices']","aces, apex, apices, be_all_aces, crest, crown, culmination, head, max, peak, pinnacle, pitch, summit, tiptop, top, topgallant, vertex, vertex, vertices","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,t͡ʃuːt͡ʃ
tat,1836,"1305 tn., 1836","1305 placename,  1836",tat1,,"['aft end', 'poop', 'stern']","aft_end, poop, stern","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,tɒt
bíró,1372,"1306 tn., 1372 u.","1306 placename, after  1372 ",bíró,,"['adjudicator', 'judge', 'magistrate', 'referee', 'umpire']","adjudicator, judge, magistrate, referee, umpire",9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,a,biːroː
puszta,1416,"1306 tn.,  1416 u.","1306 placename, after   1416 ",puszta,,"['bare', 'bare', 'barren', 'bleak', 'desert', 'mere', 'sheer', 'waste']","bare, bare, barren, bleak, desert, mere, sheer, waste",,,,a,pustɒ
süveg,1395,"1307  tn.  (?),  1395 k.","1307  placename  (?), ca.   1395 ",süveg,,['poling'],poling,b) Csuvasos típusú jövevényszavak ?,b) Chuvash type newcomer words?,,n,ʃyvɛɡ
domb,1329,"1307 tn.,  1329","1307 placename,   1329",domb,,"['elevation', 'eminence', 'hill', 'knoll', 'mound', 'rise']","elevation, eminence, hill, knoll, mound, rise","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,n,domb
szőr,1416,"1307 tn.,  1416 u.","1307 placename, after   1416 ",szőr,,"['fur', 'hair', 'nap', 'ooze', 'pubescence']","fur, hair, nap, ooze, pubescence","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,n,søːr
retesz,1395,"1308 tn. (?), 1395 k.","1308 placename (?), ca.  1395 ",retesz,,"['bar of a door', 'bolt', 'bolting', 'catch', 'fastener', 'fastening', 'finger', 'hasp', 'latch', 'slide', 'slot', 'tumbler']","bar_of_a_door, bolt, bolting, catch, fastener, fastening, finger, hasp, latch, slide, slot, tumbler",c) Szlovák jövevényszavak ?,c) Slovak newcomer words?,,n,rɛtɛs
omlik,1372,"1309 tn., 1372 u.","1309 placename, after  1372 ",omlik,,"['to come down', 'to pour']","come_down, pour",1. Származékszavak ,1. Derivatives,,v,omlik
olaj,1395,"1309 tn., 1395 k.","1309 placename, ca.  1395 ",olaj,,['oil'],oil,,,,n,olɒj
répa,1395,"1310 tn., 1395 k.","1310 placename, ca.  1395 ",répa,,['beet'],beet,,,,n,reːpɒ
nyakas,1550,"1312 tn.  (?),  1550 k.","1312 placename  (?), ca.   1550 ",nyakas,,"['contrary', 'cussed', 'headstrong', 'stubborn', 'unruly']","contrary, cussed, headstrong, stubborn, unruly",11. Jelentéselkülönüléssel keletkezett szavak ,11. Words formed by difference of meaning,,a,ɲɒkɒʃ
verőfény,1577,"1312 tn.,  1577 k.","1312 placename, ca.   1577 ",verőfény,,glare,glare,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,vɛrøːfeːɲ
középút,1312,1312,1312,középút,,['mean'],mean,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,køzeːpuːt
ferde,1791,"1313  tn.  (?),  1791","1313  placename  (?),   1791",ferde,,"['aslope', 'awry', 'beveled', 'bevelled', 'cockeyed', 'cross', 'inclined', 'leaning', 'oblique', 'out of true', 'perverse', 'sidelong', 'skew', 'slant', 'slanting', 'splay', 'splayed', 'wry']","aslope, awry, beveled, bevelled, cockeyed, cross, inclined, leaning, oblique, out_of_true, perverse, sidelong, skew, slant, slanting, splay, splayed, wry",1. Származékszavak ,1. Derivatives,,a,fɛrdɛ
hangya,1313,1313,1313,hangya,,['ant'],ant,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,hɒnɟɒ
kántor,1527,"1314 tn. (?), 1527","1314 placename (?),  1527",kántor,,"['chorister', 'clerk']","chorister, clerk",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,kaːntor
agg,1372,"1315 tn. (?), 1372 u.","1315 placename (?), after  1372 ",agg,,agg,agg,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,a,ɒɡɡ
ajtó,1372,"1315 tn., 1372 u.","1315 placename, after  1372 ",ajtó,,['door'],door,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,ɒjtoː
nyaláb,1416,"1315 tn., 1416 u.","1315 placename, after  1416 ",nyaláb,,"['band', 'bar', 'bunch', 'bundle', 'cluster', 'pile', 'sheaf', 'truss']","band, bar, bunch, bundle, cluster, pile, sheaf, truss","3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,n,ɲɒlaːb
láng,1372,"1316 (?), 1372 u.","1316 (?), after  1372 ",láng,,"['blaze', 'flame', 'light']","blaze, flame, light",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,n,laːnɡ
köszön,1372,"1316 tn. (?), 1372 u.","1316 placename (?), after  1372 ",köszön,,thank,thank,a) Török jövevényszavak általában ?,a) Turkish newcomers in general?,,v,køsøn
toll,1395,"1316 tn. (?), 1395 k.","1316 placename (?), ca.  1395 ",toll,,"['pen', 'plume']","pen, plume","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,toll
ködmön,1416,"1317 tn., 1416 u.","1317 placename, after  1416 ",ködmön,,frock,frock,b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,kødmøn
begy,1525,"1318 tn. (?), 1525 k.","1318 placename (?), ca.  1525 ",begy,,"['crag', 'craw', 'crop', 'maw']","crag, craw, crop, maw",,,,n,bɛɟ
asz,1318,1318,1318,-asz/-esz,+,['a flat'],a_flat,,,,v,ɒs
esz,1318,1318,1318,-asz/-esz,+,equ,equ,,,,r,ɛs
jász,1318,1318,1318,jász1,,jász,jász,a) Orosz jövevényszavak ,a) Russian newcomer words,,n,jaːs
gereblye,1395,"1319 tn. (?), 1395 k.","1319 placename (?), ca.  1395 ",gereblye,,['rake'],rake,c) Szlovák jövevényszavak ?,c) Slovak newcomer words?,,n,ɡɛrɛbjɛ
egyenlő,1405,"1319 tn. (?), 1405 k.","1319 placename (?), ca.  1405 ",egyenlő,,"['co-ordinate', 'equal', 'equal to', 'even', 'level']","co-ordinate, equal, equal_to, even, level",1. Származékszavak ,1. Derivatives,,a,ɛɟɛnløː
lép,1490,"1319 tn. (?), 1490 k.","1319 placename (?), ca.  1490 ",lép4,,"['honeycomb', 'spleen', 'to step']","honeycomb, spleen, step",10. Szóhasadással keletkezett szavak ?,10. Words formed by splitting?,,v,leːp
mentő,1544,"1319  tn.(?),  1544","1319  placename(?),   1544",mentő,,"['justificatory', 'rescuer', 'stretcher-bearer']","justificatory, rescuer, stretcher-bearer",1. Származékszavak ,1. Derivatives,,n,mɛntøː
kard,1405,"1319 tn.,  1405 k.","1319 placename, ca.   1405 ",kard,,"['brand', 'iron', 'saber', 'skewer', 'steel', 'sword']","brand, iron, saber, skewer, steel, sword",II. Iráni (például alán) jövevényszavak ,"II. Iranian (for example, under) newcomer words",,n,kɒrd
lép,1319,1319,1319,lép2,,"['honeycomb', 'spleen', 'to step']","honeycomb, spleen, step","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,v,leːp
lép,1319,1319,1319,lép3,,"['honeycomb', 'spleen', 'to step']","honeycomb, spleen, step",c) Szlovén jövevényszavak ,c) Slovenian newcomer words,,v,leːp
ifjú,1372,"1320  tn.  (?),  1372 u.","1320  placename  (?), after   1372 ",ifjú,,"['juvenile', 'lad', 'stripling', 'youngster', 'youthful']","juvenile, lad, stripling, youngster, youthful",13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,ifjuː
vág,1372,"1320 tn., 1372 u.","1320 placename, after  1372 ",vág,,"['to carve', 'to chip', 'to chop', 'to clip', 'to cut, cut', 'to hew', 'to hew, hewed, hewn', 'to pare', 'to saw, sawed, sawn', 'to section', 'to slice off']","carve, chip, chop, clip, cut, cut, hew, hew, hewed, hewn, pare, saw, sawed, sawn, section, slice_off","3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,v,vaːɡ
gerenda,1395,"1320 tn., 1395 k.","1320 placename, ca.  1395 ",gerenda,,"['balk', 'beam', 'joist', 'lumber', 'spar', 'spile', 'timber', 'tree']","balk, beam, joist, lumber, spar, spile, timber, tree",,,,n,ɡɛrɛndɒ
gyalogút,1435,"1320 tn., 1435","1320 placename,  1435",gyalogút,,"['footpath', 'path']","footpath, path",13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,ɟɒloɡuːt
tengelic,1525,"1320 tn., 1525 k.","1320 placename, ca.  1525 ",tengelic,,goldfinch,goldfinch,d) Nyugati szláv jövevényszavak (általában) ?,d) West Slavic newcomer words (usually)?,,n,tɛnɡɛlit͡s
guba,1387,"1321 tn. (?),  1387","1321 placename (?),   1387",guba1,,"['bean', 'chips', 'dough', 'dumps', 'lolly', 'rhino', 'wampum']","bean, chips, dough, dumps, lolly, rhino, wampum",1. Származékszavak ,1. Derivatives,,n,ɡubɒ
ír,1395,"1321  tn.  (?),  1395 k.","1321  placename  (?), ca.   1395 ",ír2,,"['to address', 'to keep the score', 'ointment', 'paddy', 'to pen', 'salve', 'to scribble', 'to trace', 'to trail a pen', 'to wield the pen', 'to write, wrote, written', 'to write out']","address, keep_the_score, ointment, paddy, pen, salve, scribble, trace, trail_a_pen, wield_the_pen, write, wrote, written, write_out",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,v,iːr
csupor,1570,"1321 tn.,  1570","1321 placename,   1570",csupor,,jar,jar,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,t͡ʃupor
csirke,1568,"1322  tn  (?),  1568","1322  placename (?),   1568",csirke,,['chicken'],chicken,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,n,t͡ʃirkɛ
cékla,1405,"1322  tn.  (?), 1405 k.","1322  placename  (?), ca.  1405 ",cékla,,"['beet', 'beetroot', 'red beet']","beet, beetroot, red_beet",,,,n,t͡seːklɒ
szárcsa,1395,"1322 tn., 1395 k.","1322 placename, ca.  1395 ",szárcsa,,['coot'],coot,1. Származékszavak ,1. Derivatives,,n,saːrt͡ʃɒ
gyárt,1506,"1322 tn., 1506","1322 placename,  1506",gyárt,,"['to fabricate', 'to make, made', 'to mint', 'to produce', 'to turn out']","fabricate, make, made, mint, produce, turn_out",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,v,ɟaːrt
girhes,1561,"1322 tn., 1561","1322 placename,  1561",girhes,,['lean'],lean,,,,a,ɡirhɛʃ
kény,1322,1322,1322,kény,,com,com,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,keːɲ
mód,1372,"1323 tn. (?), 1372 u.","1323 placename (?), after  1372 ",mód,,"['fashion', 'manner', 'method', 'mode', 'modus, modi', 'sort', 'style', 'way']","fashion, manner, method, mode, modus, modi, sort, style, way",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,moːd
koszorú,1395,"1323  tn.  (?),  1395 k.","1323  placename  (?), ca.   1395 ",koszorú,,"['girdle', 'roller ring', 'rope', 'wreath']","girdle, roller_ring, rope, wreath",9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,kosoruː
harkály,1560,"1323  tn.  (?),  1560 k.","1323  placename  (?), ca.   1560 ",harkály,,"['pecker', 'woodpecker']","pecker, woodpecker","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,n,hɒrkaːj
hág,1372,"1323 tn.,  1372 u.","1323 placename, after   1372 ",hág,,climbs,climbs,"3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,v,haːɡ
kormány,1405,"1323 tn., 1405 k.","1323 placename, ca.  1405 ",kormány,,"['administration', 'cabinet', 'wheel']","administration, cabinet, wheel",d) Déli szláv jövevényszavak (általában) ,d) South Slavic newcomer words (usually),,n,kormaːɲ
korlát,1395,"1324  tn.  (?),  1395 k.","1324  placename  (?), ca.   1395 ",korlát,,"['balustrade', 'banister', 'bar', 'barrier', 'confine', 'delimination', 'guard', 'handrail', 'limit', 'parapet', 'rail', 'shackle']","balustrade, banister, bar, barrier, confine, delimination, guard, handrail, limit, parapet, rail, shackle",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,korlaːt
fakó,1536,"1324  tn.  (?),  1536","1324  placename  (?),   1536",fakó,,"['dim', 'doughy', 'dull', 'flat', 'lack-lustre', 'lustreless', 'muddy', 'pale', 'pallid', 'rusty', 'washed-out']","dim, doughy, dull, flat, lack-lustre, lustreless, muddy, pale, pallid, rusty, washed-out",1. Származékszavak ,1. Derivatives,,a,fɒkoː
fortyan,1613,"1325  tn.  (?),  1613","1325  placename  (?),   1613",fortyan,,Forty,Forty,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,forcɒn
vessző,1363,"1325 tn., 1363","1325 placename,  1363",vessző,,"['comma', 'dash', 'rod', 'stick', 'wand']","comma, dash, rod, stick, wand","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,vɛʃsøː
lencse,1395,"1325 tn.,  1395 k.","1325 placename, ca.   1395 ",lencse,,['lens'],lens,,,,n,lɛnt͡ʃɛ
válaszút,1763,"1325–1326 tn.,  1763","1325–1326 placename,   1763",válaszút,,crossroads,crossroads,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,vaːlɒsuːt
pinty,1533,"1326  tn.  (?),  1533","1326  placename  (?),   1533",pinty,,finch,finch,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,n,pinc
pákász,1607,"1326  tn.  (?), 1607","1326  placename  (?),  1607",pákász,,Pákász,Pákász,1. Származékszavak ,1. Derivatives,,n,paːkaːs
jog,1372,"1326 tn., 1372 u.","1326 placename, after  1372 ",jog,,"['legal', 'right']","legal, right",1. Származékszavak ,1. Derivatives,,n,joɡ
szentjobb,1897,"1326 tn., 1897","1326 placename,  1897",szentjobb,,sacred right,sacred_right,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,a,sɛntjobb
címer,1326,1326,1326,címer,,"['bearings', 'blazon', 'coat of arms', 'cognizance', 'crest', 'hatchment']","bearings, blazon, coat_of_arms, cognizance, crest, hatchment",D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,t͡siːmɛr
here,1326,1326,1326,here,,"['lounger', 'stone', 'testicle']","lounger, stone, testicle","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,hɛrɛ
lóhere,1326,1326,1326,lóhere,,"['clover', 'trefoil']","clover, trefoil",13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,loːhɛrɛ
garda,1525,"1327 tn. (?), 1525 k.","1327 placename (?), ca.  1525 ",garda,,garda,garda,,,,n,ɡɒrdɒ
morzsa,1598,"1327  tn.  (?),  1598","1327  placename  (?),   1598",morzsa,,"['crumb', 'morsel']","crumb, morsel",1. Származékszavak ,1. Derivatives,,n,morʒɒ
durrog,1651,"1327  tn.  (?),  1651","1327  placename  (?),   1651",durrog,,Crackling,Crackling,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,durroɡ
buzog,1372,"1327 tn.,  1372 u.","1327 placename, after   1372 ",buzog,,['to seethe'],seethe,"3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,v,buzoɡ
rúd,1372,"1327 tn.,  1372 u.","1327 placename, after   1372 ",rúd,,"['bar', 'handle', 'pole', 'rod', 'slot', 'spar', 'staff', 'stick']","bar, handle, pole, rod, slot, spar, staff, stick",1. Német jövevényszavak általában ?,1. German newcomer words in general?,,n,ruːd
inog,1416,"1327 tn.,  1416 u.","1327 placename, after   1416 ",inog,,"['to judder', 'to sway', 'to swing, swung', 'to teeter', 'to tilt', 'to totter', 'to wabble', 'to waggle', 'to wobble']","judder, sway, swing, swung, teeter, tilt, totter, wabble, waggle, wobble",1. Származékszavak ,1. Derivatives,,v,inoɡ
galagonya,1327,1327,1327,galagonya,,"['hawthorn', 'may']","hawthorn, may",,,,n,ɡɒlɒɡoɲɒ
pukkan,1754,"1328  tn.  (?),  1754","1328  placename  (?),   1754",pukkan,,"['to go pop', 'to pop']","go_pop, pop","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,pukkɒn
mandula,1395,"1328 tn.,  1395 k.","1328 placename, ca.   1395 ",mandula,,['almond'],almond,1. Olasz (többnyire északolasz) jövevényszavak ,1. Italian (mostly Northern Italian) newcomer words,,n,mɒndulɒ
kapor,1405,"1329  tn.  (?),  1405 k.","1329  placename  (?), ca.   1405 ",kapor,,dill,dill,,,,r,kɒpor
mellék,1405,"1329 tn., 1405 k.","1329 placename, ca.  1405 ",mellék,,"['accidental', 'extra-curricular']","accidental, extra-curricular",1. Származékszavak ,1. Derivatives,,n,mɛlleːk
vármegye,1504,"1329 tn., 1504","1329 placename,  1504",vármegye,,county,county,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,vaːrmɛɟɛ
bádog,1329,1329,1329,bádog,,['tin'],tin,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,a,baːdoɡ
érik,1329,1329,1329,érik,,"['to addle', 'to ripen']","addle, ripen",10. Szóhasadással keletkezett szavak ,10. Words formed by cleavage,,v,eːrik
párta,1395,"1330 tn. (?), 1395 k.","1330 placename (?), ca.  1395 ",párta,,['drip'],drip,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,paːrtɒ
kazal,1463,"1330 tn. (?), 1463","1330 placename (?),  1463",kazal,,['stack'],stack,c) Szlovák jövevényszavak ,c) Slovak newcomer words,,n,kɒzɒl
hurka,1490,"1330 tn. (?), 1490","1330 placename (?),  1490",hurka,,sausage,sausage,1. Származékszavak ,1. Derivatives,,n,hurkɒ
küsz,1800,"1330 tn. (?), 1800","1330 placename (?),  1800",küsz,,bleak,bleak,"2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,n,kys
major,1332,"1330 tn., 1332","1330 placename,  1332",major,,"['croft', 'farm']","croft, farm",4. Bajor jövevényszavak ,4. Bavarian newcomer words,,n,mɒjor
dönt,1416,"1330 tn., 1416 u.","1330 placename, after  1416 ",dönt,,"['to adjudge', 'to choose, chose, chosen', 'to decide', 'to decree', 'to determine', 'to hew', 'to hew, hewed, hewn', 'to rule']","adjudge, choose, chose, chosen, decide, decree, determine, hew, hew, hewed, hewn, rule",1. Származékszavak ,1. Derivatives,,v,dønt
odú,1519,"1330 tn., 1519","1330 placename,  1519",odú,,"['cavity', 'den', 'earth', 'hangout', 'haunt', 'hold', 'hole', 'hovel', 'lair', 'rot', 'shithole']","cavity, den, earth, hangout, haunt, hold, hole, hovel, lair, rot, shithole","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,oduː
zuhan,1604,"1330 tn., 1604","1330 placename,  1604",zuhan,,"['to dive', 'to dive, dove, dived', 'to hurtle down', 'to plummet']","dive, dive, dove, dived, hurtle_down, plummet","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,zuhɒn
eke,1395,"1331 tn., 1395 k.","1331 placename, ca.  1395 ",eke,,"['plough', 'plow']","plough, plow",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,r,ɛkɛ
köszörű,1395,"1331 tn., 1395 k.","1331 placename, ca.  1395 ",köszörű,,wreath,wreath,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,køsøryː
cserge,1331,1331,1331,cserge,,Csergő,Csergő,D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,t͡ʃɛrɡɛ
murva,1553,"1332 tn. (?), 1553","1332 placename (?),  1553",murva,,['rubble'],rubble,,,,r,murvɒ
kajla,1577,"1332 tn. (?), 1577","1332 placename (?),  1577",kajla,,slapstick,slapstick,1. Származékszavak ,1. Derivatives,,v,kɒjlɒ
